		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	0.012	0.033	0.012	0.033	0.012	0.033	0.012	0.033
		[0.035]	[0.039]	[0.035]	[0.039]	[0.035]	[0.039]	[0.035]	[0.039]
xaReggioSome	Reggio other ITC	-0.023	-0.067	-0.023	-0.067	-0.023	-0.067	-0.023	-0.067
		[0.047]	[0.058]	[0.047]	[0.058]	[0.047]	[0.058]	[0.047]	[0.058]
xaParmaMuni	Parma Muni ITC	-0.001	-71.842	-0.001	-71.842	-0.001	-71.842	-0.001	-71.842
		[0.047]	[85.657]	[0.047]	[85.657]	[0.047]	[85.657]	[0.047]	[85.657]
xaPadovaMuni	Padova Muni ITC	0.013	-87.548	0.013	-87.548	0.013	-87.548	0.013	-87.548
		[0.055]	[75.955]	[0.055]	[75.955]	[0.055]	[75.955]	[0.055]	[75.955]
xaParmaSome	Parma other ITC	0.119	-71.625	0.119	-71.625	0.119	-71.625	0.119	-71.625
		[0.140]	[85.625]	[0.140]	[85.625]	[0.140]	[85.625]	[0.140]	[85.625]
xaPadovaSome	Padova other ITC	-0.057	-87.544	-0.057	-87.544	-0.057	-87.544	-0.057	-87.544
		[0.052]	[75.956]	[0.052]	[75.956]	[0.052]	[75.956]	[0.052]	[75.956]
xaParmaNone	Parma None ITC	0.014	-71.815	0.014	-71.815	0.014	-71.815	0.014	-71.815
		[0.050]	[85.653]	[0.050]	[85.653]	[0.050]	[85.653]	[0.050]	[85.653]
xaPadovaNone	Padova None ITC	0.005	-87.566	0.005	-87.566	0.005	-87.566	0.005	-87.566
		[0.061]	[75.960]	[0.061]	[75.960]	[0.061]	[75.960]	[0.061]	[75.960]
Constant	Constant	12.291	63.034	12.291	63.034	12.291	63.034	12.291	63.034
		[35.958]	[70.404]	[35.958]	[70.404]	[35.958]	[70.404]	[35.958]	[70.404]
									
Observations		367	367	367	367	367	367	367	367
R-squared		0.219	0.405	0.219	0.405	0.219	0.405	0.219	0.405
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
