		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
xmReggioNone	Reggio None Preschool	-1.698	-0.016	-1.698	-0.016	-1.698	-0.016
		[2.602]	[2.489]	[2.602]	[2.489]	[2.602]	[2.489]
xmReggioReli	Reggio Reli Preschool	2.433**	2.764**	2.433**	2.764**	2.433**	2.764**
		[0.955]	[1.068]	[0.955]	[1.068]	[0.955]	[1.068]
xmParmaMuni	Parma Muni Preschool	-0.629	-491.169	-0.629	-491.169	-0.629	-491.169
		[1.231]	[1,538.387]	[1.231]	[1,538.387]	[1.231]	[1,538.387]
xmPadovaMuni	Padova Muni Preschool	2.318	-243.391	2.318	-243.391	2.318	-243.391
		[1.548]	[1,600.483]	[1.548]	[1,600.483]	[1.548]	[1,600.483]
xmParmaStat	Parma Stat Preschool	-2.192	-491.954	-2.192	-491.954	-2.192	-491.954
		[1.612]	[1,538.527]	[1.612]	[1,538.527]	[1.612]	[1,538.527]
xmPadovaStat	Padova Stat Preschool	-0.587	-245.673	-0.587	-245.673	-0.587	-245.673
		[1.758]	[1,600.516]	[1.758]	[1,600.516]	[1.758]	[1,600.516]
xmReggioStat	Reggio Stat Preschool	-1.453	-0.343	-1.453	-0.343	-1.453	-0.343
		[1.567]	[1.857]	[1.567]	[1.857]	[1.567]	[1.857]
xmParmaReli	Parma Reli Preschool	0.226	-490.252	0.226	-490.252	0.226	-490.252
		[1.304]	[1,538.639]	[1.304]	[1,538.639]	[1.304]	[1,538.639]
xmPadovaReli	Padova Reli Preschool	4.020***	-241.570	4.020***	-241.570	4.020***	-241.570
		[1.525]	[1,600.631]	[1.525]	[1,600.631]	[1.525]	[1,600.631]
xmParmaPriv	Parma Priv Preschool	5.791***	-486.719	5.791***	-486.719	5.791***	-486.719
		[1.400]	[1,537.680]	[1.400]	[1,537.680]	[1.400]	[1,537.680]
xmPadovaPriv	Padova Priv Preschool	0.246	-244.437	0.246	-244.437	0.246	-244.437
		[2.003]	[1,600.699]	[2.003]	[1,600.699]	[2.003]	[1,600.699]
xmReggioPriv	Reggio Priv Preschool	-0.142	-0.709	-0.142	-0.709	-0.142	-0.709
		[1.389]	[2.169]	[1.389]	[2.169]	[1.389]	[2.169]
xmParmaNone	Parma None Preschool	1.631	-490.773	1.631	-490.773	1.631	-490.773
		[2.174]	[1,539.054]	[2.174]	[1,539.054]	[2.174]	[1,539.054]
Constant	Constant	722.044	1,023.933	722.044	1,023.933	722.044	1,023.933
		[597.834]	[1,158.023]	[597.834]	[1,158.023]	[597.834]	[1,158.023]
							
Observations		363	363	363	363	363	363
R-squared		0.227	0.359	0.227	0.359	0.227	0.359
Controls		All	Inter	All	Inter	All	Inter
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
