		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
ReggioAsilo	RCH infant-toddler				1.868	0.999	0.679
					[1.379]	[0.868]	[0.812]
xaReggioNone	Reggio None ITC	-0.012	0.004	-0.001	1.765	0.946	0.644
		[0.068]	[0.071]	[0.075]	[1.307]	[0.816]	[0.760]
xaReggioReli	Reggio Reli ITC	-0.046	-0.114	-0.139			
		[0.184]	[0.210]	[0.216]			
xaParmaMuni	Parma Muni ITC	0.189***	0.222**	39.943	230.312	137.150	58.057
		[0.071]	[0.094]	[132.435]	[277.593]	[215.433]	[119.169]
xaPadovaMuni	Padova Muni ITC	-0.005	0.008	50.507	273.011	139.984	75.812
		[0.086]	[0.135]	[138.768]	[336.235]	[206.306]	[141.229]
Male	Male dummy		0.077*	0.099	0.079	0.089	0.094
			[0.041]	[0.072]	[0.080]	[0.070]	[0.067]
xaParmaReli	Parma Reli ITC	0.009	0.076	39.669	230.030	136.870	57.784
		[0.173]	[0.187]	[132.425]	[277.576]	[215.416]	[119.161]
xaPadovaReli	Padova Reli ITC	0.254	0.177	50.751	273.262	140.230	76.056
		[0.186]	[0.194]	[138.778]	[336.252]	[206.316]	[141.239]
xaParmaPriv	Parma Priv ITC	-0.102	-0.136	39.563	229.926	136.766	57.677
		[0.173]	[0.182]	[132.432]	[277.584]	[215.425]	[119.166]
xaReggioPriv	Reggio Priv ITC	0.120	0.002	-0.003	1.634	0.881	0.604
		[0.278]	[0.298]	[0.314]	[1.245]	[0.806]	[0.754]
xaParmaNone	Parma None ITC	0.041	0.069	39.760	230.128	136.966	57.874
		[0.068]	[0.094]	[132.435]	[277.592]	[215.432]	[119.170]
xaPadovaNone	Padova None ITC	0.024	0.061	50.496	272.998	139.973	75.801
		[0.060]	[0.119]	[138.760]	[336.227]	[206.299]	[141.221]
Constant	Constant	0.546***	-58.039	-48.883	-201.385	-119.211	-71.162
		[0.046]	[53.174]	[90.533]	[203.119]	[139.092]	[87.582]
							
Observations		639	639	639	639	639	639
R-squared		0.016	0.120	0.179	0.052	0.148	0.167
Controls		None	All	Inter			
IV					distance	distXsib	dist score
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
Dependent variable: Child likes math (%).							
