		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	-0.112	-0.093	-0.112	-0.093	-0.112	-0.093	-0.112	-0.093
		[0.095]	[0.103]	[0.095]	[0.103]	[0.095]	[0.103]	[0.095]	[0.103]
xaReggioSome	Reggio other ITC	0.031	0.073	0.031	0.073	0.031	0.073	0.031	0.073
		[0.230]	[0.251]	[0.230]	[0.251]	[0.230]	[0.251]	[0.230]	[0.251]
xaParmaMuni	Parma Muni ITC	-0.273*	228.900	-0.273*	228.900	-0.273*	228.900	-0.273*	228.900
		[0.139]	[171.888]	[0.139]	[171.888]	[0.139]	[171.888]	[0.139]	[171.888]
xaPadovaMuni	Padova Muni ITC	-0.046	53.402	-0.046	53.402	-0.046	53.402	-0.046	53.402
		[0.180]	[168.319]	[0.180]	[168.319]	[0.180]	[168.319]	[0.180]	[168.319]
xaParmaSome	Parma other ITC	-0.007	229.138	-0.007	229.138	-0.007	229.138	-0.007	229.138
		[0.216]	[171.862]	[0.216]	[171.862]	[0.216]	[171.862]	[0.216]	[171.862]
xaPadovaSome	Padova other ITC	0.335*	53.837	0.335*	53.837	0.335*	53.837	0.335*	53.837
		[0.174]	[168.317]	[0.174]	[168.317]	[0.174]	[168.317]	[0.174]	[168.317]
xaParmaNone	Parma None ITC	-0.023	229.111	-0.023	229.111	-0.023	229.111	-0.023	229.111
		[0.134]	[171.879]	[0.134]	[171.879]	[0.134]	[171.879]	[0.134]	[171.879]
xaPadovaNone	Padova None ITC	0.071	53.530	0.071	53.530	0.071	53.530	0.071	53.530
		[0.157]	[168.322]	[0.157]	[168.322]	[0.157]	[168.322]	[0.157]	[168.322]
Constant	Constant	12.116	-55.736	12.116	-55.736	12.116	-55.736	12.116	-55.736
		[72.817]	[122.544]	[72.817]	[122.544]	[72.817]	[122.544]	[72.817]	[122.544]
									
Observations		367	367	367	367	367	367	367	367
R-squared		0.181	0.293	0.181	0.293	0.181	0.293	0.181	0.293
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
