		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	-0.050	-0.046	-0.050	-0.046	-0.050	-0.046	-0.050	-0.046
		[0.048]	[0.051]	[0.048]	[0.051]	[0.048]	[0.051]	[0.048]	[0.051]
xaReggioSome	Reggio other ITC	-0.047	0.015	-0.047	0.015	-0.047	0.015	-0.047	0.015
		[0.052]	[0.064]	[0.052]	[0.064]	[0.052]	[0.064]	[0.052]	[0.064]
xaParmaMuni	Parma Muni ITC	-0.102	76.664	-0.102	76.664	-0.102	76.664	-0.102	76.664
		[0.078]	[134.495]	[0.078]	[134.495]	[0.078]	[134.495]	[0.078]	[134.495]
xaPadovaMuni	Padova Muni ITC	-0.162**	-5.766	-0.162**	-5.766	-0.162**	-5.766	-0.162**	-5.766
		[0.072]	[104.971]	[0.072]	[104.971]	[0.072]	[104.971]	[0.072]	[104.971]
xaParmaSome	Parma other ITC	-0.022	76.742	-0.022	76.742	-0.022	76.742	-0.022	76.742
		[0.147]	[134.462]	[0.147]	[134.462]	[0.147]	[134.462]	[0.147]	[134.462]
xaPadovaSome	Padova other ITC	-0.111	-5.737	-0.111	-5.737	-0.111	-5.737	-0.111	-5.737
		[0.080]	[104.994]	[0.080]	[104.994]	[0.080]	[104.994]	[0.080]	[104.994]
xaParmaNone	Parma None ITC	-0.020	76.751	-0.020	76.751	-0.020	76.751	-0.020	76.751
		[0.066]	[134.508]	[0.066]	[134.508]	[0.066]	[134.508]	[0.066]	[134.508]
xaPadovaNone	Padova None ITC	-0.107	-5.706	-0.107	-5.706	-0.107	-5.706	-0.107	-5.706
		[0.066]	[104.985]	[0.066]	[104.985]	[0.066]	[104.985]	[0.066]	[104.985]
Constant	Constant	52.110	36.052	52.110	36.052	52.110	36.052	52.110	36.052
		[45.119]	[80.657]	[45.119]	[80.657]	[45.119]	[80.657]	[45.119]	[80.657]
									
Observations		367	367	367	367	367	367	367	367
R-squared		0.234	0.330	0.234	0.330	0.234	0.330	0.234	0.330
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
