		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	0.014	0.025	0.014	0.025	0.014	0.025	0.014	0.025
		[0.033]	[0.029]	[0.033]	[0.029]	[0.033]	[0.029]	[0.033]	[0.029]
xaReggioSome	Reggio other ITC	0.034	0.002	0.034	0.002	0.034	0.002	0.034	0.002
		[0.044]	[0.049]	[0.044]	[0.049]	[0.044]	[0.049]	[0.044]	[0.049]
xaParmaMuni	Parma Muni ITC	-0.078*	118.650	-0.078*	118.650	-0.078*	118.650	-0.078*	118.650
		[0.040]	[99.928]	[0.040]	[99.928]	[0.040]	[99.928]	[0.040]	[99.928]
xaPadovaMuni	Padova Muni ITC	0.102	-50.586	0.102	-50.586	0.102	-50.586	0.102	-50.586
		[0.086]	[82.838]	[0.086]	[82.838]	[0.086]	[82.838]	[0.086]	[82.838]
xaParmaSome	Parma other ITC	0.206	118.979	0.206	118.979	0.206	118.979	0.206	118.979
		[0.163]	[99.907]	[0.163]	[99.907]	[0.163]	[99.907]	[0.163]	[99.907]
xaPadovaSome	Padova other ITC	0.024	-50.625	0.024	-50.625	0.024	-50.625	0.024	-50.625
		[0.085]	[82.849]	[0.085]	[82.849]	[0.085]	[82.849]	[0.085]	[82.849]
xaParmaNone	Parma None ITC	0.017	118.732	0.017	118.732	0.017	118.732	0.017	118.732
		[0.034]	[99.931]	[0.034]	[99.931]	[0.034]	[99.931]	[0.034]	[99.931]
xaPadovaNone	Padova None ITC	0.111	-50.595	0.111	-50.595	0.111	-50.595	0.111	-50.595
		[0.094]	[82.852]	[0.094]	[82.852]	[0.094]	[82.852]	[0.094]	[82.852]
Constant	Constant	44.604	19.946	44.604	19.946	44.604	19.946	44.604	19.946
		[36.857]	[48.365]	[36.857]	[48.365]	[36.857]	[48.365]	[36.857]	[48.365]
									
Observations		367	367	367	367	367	367	367	367
R-squared		0.241	0.338	0.241	0.338	0.241	0.338	0.241	0.338
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
