		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	0.200	0.754	0.200	0.754	0.200	0.754	0.200	0.754
		[1.289]	[1.439]	[1.289]	[1.439]	[1.289]	[1.439]	[1.289]	[1.439]
xaReggioSome	Reggio other ITC	6.367	5.706	6.367	5.706	6.367	5.706	6.367	5.706
		[4.554]	[4.603]	[4.554]	[4.603]	[4.554]	[4.603]	[4.554]	[4.603]
xaParmaMuni	Parma Muni ITC	-0.779	1,103.655	-0.779	1,103.655	-0.779	1,103.655	-0.779	1,103.655
		[1.732]	[2,232.453]	[1.732]	[2,232.453]	[1.732]	[2,232.453]	[1.732]	[2,232.453]
xaPadovaMuni	Padova Muni ITC	-0.959	-1,029.956	-0.959	-1,029.956	-0.959	-1,029.956	-0.959	-1,029.956
		[2.214]	[2,007.083]	[2.214]	[2,007.083]	[2.214]	[2,007.083]	[2.214]	[2,007.083]
xaParmaSome	Parma other ITC	-0.606	1,104.290	-0.606	1,104.290	-0.606	1,104.290	-0.606	1,104.290
		[2.815]	[2,232.086]	[2.815]	[2,232.086]	[2.815]	[2,232.086]	[2.815]	[2,232.086]
xaPadovaSome	Padova other ITC	0.649	-1,032.602	0.649	-1,032.602	0.649	-1,032.602	0.649	-1,032.602
		[6.293]	[2,007.072]	[6.293]	[2,007.072]	[6.293]	[2,007.072]	[6.293]	[2,007.072]
xaParmaNone	Parma None ITC	-0.120	1,103.575	-0.120	1,103.575	-0.120	1,103.575	-0.120	1,103.575
		[1.634]	[2,232.432]	[1.634]	[2,232.432]	[1.634]	[2,232.432]	[1.634]	[2,232.432]
xaPadovaNone	Padova None ITC	-1.101	-1,029.152	-1.101	-1,029.152	-1.101	-1,029.152	-1.101	-1,029.152
		[2.165]	[2,007.099]	[2.165]	[2,007.099]	[2.165]	[2,007.099]	[2.165]	[2,007.099]
Constant	Constant	551.499	461.677	551.499	461.677	551.499	461.677	551.499	461.677
		[855.597]	[1,685.678]	[855.597]	[1,685.678]	[855.597]	[1,685.678]	[855.597]	[1,685.678]
									
Observations		358	358	358	358	358	358	358	358
R-squared		0.214	0.356	0.214	0.356	0.214	0.356	0.214	0.356
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
