		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	-0.028	-0.021	-0.028	-0.021	-0.028	-0.021	-0.028	-0.021
		[0.082]	[0.084]	[0.082]	[0.084]	[0.082]	[0.084]	[0.082]	[0.084]
xaReggioSome	Reggio other ITC	-0.204	-0.163	-0.204	-0.163	-0.204	-0.163	-0.204	-0.163
		[0.182]	[0.177]	[0.182]	[0.177]	[0.182]	[0.177]	[0.182]	[0.177]
xaParmaMuni	Parma Muni ITC	0.120	-93.013	0.120	-93.013	0.120	-93.013	0.120	-93.013
		[0.125]	[144.882]	[0.125]	[144.882]	[0.125]	[144.882]	[0.125]	[144.882]
xaPadovaMuni	Padova Muni ITC	0.047	46.094	0.047	46.094	0.047	46.094	0.047	46.094
		[0.153]	[164.142]	[0.153]	[164.142]	[0.153]	[164.142]	[0.153]	[164.142]
xaParmaSome	Parma other ITC	-0.076	-93.128	-0.076	-93.128	-0.076	-93.128	-0.076	-93.128
		[0.259]	[144.879]	[0.259]	[144.879]	[0.259]	[144.879]	[0.259]	[144.879]
xaPadovaSome	Padova other ITC	0.377*	46.459	0.377*	46.459	0.377*	46.459	0.377*	46.459
		[0.195]	[164.146]	[0.195]	[164.146]	[0.195]	[164.146]	[0.195]	[164.146]
xaParmaNone	Parma None ITC	-0.016	-93.140	-0.016	-93.140	-0.016	-93.140	-0.016	-93.140
		[0.114]	[144.880]	[0.114]	[144.880]	[0.114]	[144.880]	[0.114]	[144.880]
xaPadovaNone	Padova None ITC	0.102	46.263	0.102	46.263	0.102	46.263	0.102	46.263
		[0.133]	[164.156]	[0.133]	[164.156]	[0.133]	[164.156]	[0.133]	[164.156]
Constant	Constant	79.862	112.714	79.862	112.714	79.862	112.714	79.862	112.714
		[54.647]	[104.315]	[54.647]	[104.315]	[54.647]	[104.315]	[54.647]	[104.315]
									
Observations		363	363	363	363	363	363	363	363
R-squared		0.168	0.287	0.168	0.287	0.168	0.287	0.168	0.287
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
