		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
xaReggioNone	Reggio None ITC	0.572	1.224	0.572	1.224	0.572	1.224
		[0.928]	[0.972]	[0.928]	[0.972]	[0.928]	[0.972]
xaReggioReli	Reggio Reli ITC	4.583	4.498	4.583	4.498	4.583	4.498
		[4.187]	[4.368]	[4.187]	[4.368]	[4.187]	[4.368]
xaParmaMuni	Parma Muni ITC	-0.947	65.367	-0.947	65.367	-0.947	65.367
		[1.251]	[1,420.173]	[1.251]	[1,420.173]	[1.251]	[1,420.173]
xaPadovaMuni	Padova Muni ITC	3.317*	-620.596	3.317*	-620.596	3.317*	-620.596
		[1.736]	[1,605.107]	[1.736]	[1,605.107]	[1.736]	[1,605.107]
xaParmaReli	Parma Reli ITC	-0.342	66.421	-0.342	66.421	-0.342	66.421
		[3.893]	[1,420.246]	[3.893]	[1,420.246]	[3.893]	[1,420.246]
xaPadovaReli	Padova Reli ITC	0.849	-625.176	0.849	-625.176	0.849	-625.176
		[2.199]	[1,605.132]	[2.199]	[1,605.132]	[2.199]	[1,605.132]
xaParmaPriv	Parma Priv ITC	2.438	69.179	2.438	69.179	2.438	69.179
		[1.834]	[1,420.012]	[1.834]	[1,420.012]	[1.834]	[1,420.012]
xaReggioPriv	Reggio Priv ITC	-2.028	-0.911	-2.028	-0.911	-2.028	-0.911
		[1.378]	[2.073]	[1.378]	[2.073]	[1.378]	[2.073]
xaParmaNone	Parma None ITC	-1.121	64.558	-1.121	64.558	-1.121	64.558
		[1.167]	[1,420.120]	[1.167]	[1,420.120]	[1.167]	[1,420.120]
xaPadovaNone	Padova None ITC	1.932	-621.490	1.932	-621.490	1.932	-621.490
		[1.631]	[1,605.236]	[1.631]	[1,605.236]	[1.631]	[1,605.236]
Constant	Constant	303.132	410.133	303.132	410.133	303.132	410.133
		[593.651]	[1,089.117]	[593.651]	[1,089.117]	[593.651]	[1,089.117]
							
Observations		365	365	365	365	365	365
R-squared		0.180	0.334	0.180	0.334	0.180	0.334
Controls		All	Inter	All	Inter	All	Inter
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
