		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
xaReggioNone	Reggio None ITC	0.204	0.785	0.204	0.785	0.204	0.785
		[1.292]	[1.443]	[1.292]	[1.443]	[1.292]	[1.443]
xaReggioReli	Reggio Reli ITC	5.971	4.762	5.971	4.762	5.971	4.762
		[5.418]	[5.323]	[5.418]	[5.323]	[5.418]	[5.323]
xaParmaMuni	Parma Muni ITC	-0.735	1,242.749	-0.735	1,242.749	-0.735	1,242.749
		[1.736]	[2,230.861]	[1.736]	[2,230.861]	[1.736]	[2,230.861]
xaPadovaMuni	Padova Muni ITC	-0.906	-949.530	-0.906	-949.530	-0.906	-949.530
		[2.227]	[2,005.915]	[2.227]	[2,005.915]	[2.227]	[2,005.915]
xaParmaReli	Parma Reli ITC	-0.855	1,245.040	-0.855	1,245.040	-0.855	1,245.040
		[2.546]	[2,230.773]	[2.546]	[2,230.773]	[2.546]	[2,230.773]
xaPadovaReli	Padova Reli ITC	0.712	-952.168	0.712	-952.168	0.712	-952.168
		[6.320]	[2,005.904]	[6.320]	[2,005.904]	[6.320]	[2,005.904]
xaParmaPriv	Parma Priv ITC	-0.339	1,241.966	-0.339	1,241.966	-0.339	1,241.966
		[4.331]	[2,230.160]	[4.331]	[2,230.160]	[4.331]	[2,230.160]
xaReggioPriv	Reggio Priv ITC	8.308***	10.544***	8.308***	10.544***	8.308***	10.544***
		[1.973]	[2.898]	[1.973]	[2.898]	[1.973]	[2.898]
xaParmaNone	Parma None ITC	-0.080	1,242.677	-0.080	1,242.677	-0.080	1,242.677
		[1.637]	[2,230.828]	[1.637]	[2,230.828]	[1.637]	[2,230.828]
xaPadovaNone	Padova None ITC	-1.048	-948.728	-1.048	-948.728	-1.048	-948.728
		[2.177]	[2,005.932]	[2.177]	[2,005.932]	[2.177]	[2,005.932]
Constant	Constant	537.904	383.949	537.904	383.949	537.904	383.949
		[857.077]	[1,681.862]	[857.077]	[1,681.862]	[857.077]	[1,681.862]
							
Observations		358	358	358	358	358	358
R-squared		0.215	0.359	0.215	0.359	0.215	0.359
Controls		All	Inter	All	Inter	All	Inter
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
