		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
xaReggioNone	Reggio None ITC	0.594	1.253	0.594	1.253	0.594	1.253
		[0.923]	[0.967]	[0.923]	[0.967]	[0.923]	[0.967]
xaReggioSome	Reggio other ITC	3.461	3.615	3.461	3.615	3.461	3.615
		[3.668]	[3.782]	[3.668]	[3.782]	[3.668]	[3.782]
xaParmaMuni	Parma Muni ITC	-0.831	187.131	-0.831	187.131	-0.831	187.131
		[1.260]	[1,403.369]	[1.260]	[1,403.369]	[1.260]	[1,403.369]
xaPadovaMuni	Padova Muni ITC	3.487**	-545.457	3.487**	-545.457	3.487**	-545.457
		[1.724]	[1,589.756]	[1.724]	[1,589.756]	[1.724]	[1,589.756]
xaParmaSome	Parma other ITC	1.214	189.673	1.214	189.673	1.214	189.673
		[2.276]	[1,403.258]	[2.276]	[1,403.258]	[2.276]	[1,403.258]
xaPadovaSome	Padova other ITC	0.992	-550.030	0.992	-550.030	0.992	-550.030
		[2.224]	[1,589.782]	[2.224]	[1,589.782]	[2.224]	[1,589.782]
xaParmaNone	Parma None ITC	-0.980	186.321	-0.980	186.321	-0.980	186.321
		[1.175]	[1,403.315]	[1.175]	[1,403.315]	[1.175]	[1,403.315]
xaPadovaNone	Padova None ITC	2.091	-546.353	2.091	-546.353	2.091	-546.353
		[1.621]	[1,589.886]	[1.621]	[1,589.886]	[1.621]	[1,589.886]
Constant	Constant	300.230	337.331	300.230	337.331	300.230	337.331
		[595.877]	[1,071.635]	[595.877]	[1,071.635]	[595.877]	[1,071.635]
							
Observations		365	365	365	365	365	365
R-squared		0.174	0.330	0.174	0.330	0.174	0.330
Controls		All	Inter	All	Inter	All	Inter
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
