		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	-0.010	-0.020	-0.010	-0.020	-0.010	-0.020	-0.010	-0.020
		[0.098]	[0.107]	[0.098]	[0.107]	[0.098]	[0.107]	[0.098]	[0.107]
xaReggioSome	Reggio other ITC	0.181*	0.137	0.181*	0.137	0.181*	0.137	0.181*	0.137
		[0.105]	[0.118]	[0.105]	[0.118]	[0.105]	[0.118]	[0.105]	[0.118]
xaParmaMuni	Parma Muni ITC	-0.111	-22.695	-0.111	-22.695	-0.111	-22.695	-0.111	-22.695
		[0.140]	[25.528]	[0.140]	[25.528]	[0.140]	[25.528]	[0.140]	[25.528]
xaPadovaMuni	Padova Muni ITC	-0.078	-0.483	-0.078	-0.483	-0.078	-0.483	-0.078	-0.483
		[0.215]	[25.082]	[0.215]	[25.082]	[0.215]	[25.082]	[0.215]	[25.082]
xaParmaSome	Parma other ITC	-0.050	-22.681	-0.050	-22.681	-0.050	-22.681	-0.050	-22.681
		[0.162]	[25.540]	[0.162]	[25.540]	[0.162]	[25.540]	[0.162]	[25.540]
xaPadovaSome	Padova other ITC	-0.028	-0.459	-0.028	-0.459	-0.028	-0.459	-0.028	-0.459
		[0.205]	[25.093]	[0.205]	[25.093]	[0.205]	[25.093]	[0.205]	[25.093]
xaParmaNone	Parma None ITC	-0.173	-22.797	-0.173	-22.797	-0.173	-22.797	-0.173	-22.797
		[0.140]	[25.551]	[0.140]	[25.551]	[0.140]	[25.551]	[0.140]	[25.551]
xaPadovaNone	Padova None ITC	-0.186	-0.655	-0.186	-0.655	-0.186	-0.655	-0.186	-0.655
		[0.190]	[25.086]	[0.190]	[25.086]	[0.190]	[25.086]	[0.190]	[25.086]
Constant	Constant	12.394	24.977	12.394	24.977	12.394	24.977	12.394	24.977
		[9.263]	[16.254]	[9.263]	[16.254]	[9.263]	[16.254]	[9.263]	[16.254]
									
Observations		347	347	347	347	347	347	347	347
R-squared		0.146	0.278	0.146	0.278	0.146	0.278	0.146	0.278
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
