		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	0.982	1.109	0.982	1.109	0.982	1.109	0.982	1.109
		[0.930]	[1.106]	[0.930]	[1.106]	[0.930]	[1.106]	[0.930]	[1.106]
xaReggioSome	Reggio other ITC	1.920*	2.159*	1.920*	2.159*	1.920*	2.159*	1.920*	2.159*
		[1.139]	[1.206]	[1.139]	[1.206]	[1.139]	[1.206]	[1.139]	[1.206]
xaParmaMuni	Parma Muni ITC	-0.102	-116.590	-0.102	-116.590	-0.102	-116.590	-0.102	-116.590
		[1.189]	[236.271]	[1.189]	[236.271]	[1.189]	[236.271]	[1.189]	[236.271]
xaPadovaMuni	Padova Muni ITC	2.847	41.854	2.847	41.854	2.847	41.854	2.847	41.854
		[2.392]	[255.762]	[2.392]	[255.762]	[2.392]	[255.762]	[2.392]	[255.762]
xaParmaSome	Parma other ITC	-0.945	-118.014	-0.945	-118.014	-0.945	-118.014	-0.945	-118.014
		[1.131]	[236.325]	[1.131]	[236.325]	[1.131]	[236.325]	[1.131]	[236.325]
xaPadovaSome	Padova other ITC	3.318	41.805	3.318	41.805	3.318	41.805	3.318	41.805
		[2.671]	[255.806]	[2.671]	[255.806]	[2.671]	[255.806]	[2.671]	[255.806]
xaParmaNone	Parma None ITC	-0.704	-117.337	-0.704	-117.337	-0.704	-117.337	-0.704	-117.337
		[1.321]	[236.304]	[1.321]	[236.304]	[1.321]	[236.304]	[1.321]	[236.304]
xaPadovaNone	Padova None ITC	2.086	40.731	2.086	40.731	2.086	40.731	2.086	40.731
		[2.241]	[255.761]	[2.241]	[255.761]	[2.241]	[255.761]	[2.241]	[255.761]
Constant	Constant	131.584	140.663	131.584	140.663	131.584	140.663	131.584	140.663
		[89.839]	[179.500]	[89.839]	[179.500]	[89.839]	[179.500]	[89.839]	[179.500]
									
Observations		348	348	348	348	348	348	348	348
R-squared		0.254	0.378	0.254	0.378	0.254	0.378	0.254	0.378
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
