		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS								
									
xaReggioNone	Reggio None ITC	-0.380	-0.339	-0.380	-0.339	-0.380	-0.339	-0.380	-0.339
		[0.295]	[0.334]	[0.295]	[0.334]	[0.295]	[0.334]	[0.295]	[0.334]
xaReggioSome	Reggio other ITC	-0.042	-0.101	-0.042	-0.101	-0.042	-0.101	-0.042	-0.101
		[0.315]	[0.344]	[0.315]	[0.344]	[0.315]	[0.344]	[0.315]	[0.344]
xaParmaMuni	Parma Muni ITC	-0.415	10.170	-0.415	10.170	-0.415	10.170	-0.415	10.170
		[0.383]	[86.478]	[0.383]	[86.478]	[0.383]	[86.478]	[0.383]	[86.478]
xaPadovaMuni	Padova Muni ITC	-0.575	2.076	-0.575	2.076	-0.575	2.076	-0.575	2.076
		[0.596]	[76.238]	[0.596]	[76.238]	[0.596]	[76.238]	[0.596]	[76.238]
xaParmaSome	Parma other ITC	0.243	10.867	0.243	10.867	0.243	10.867	0.243	10.867
		[0.317]	[86.525]	[0.317]	[86.525]	[0.317]	[86.525]	[0.317]	[86.525]
xaPadovaSome	Padova other ITC	-0.696	1.868	-0.696	1.868	-0.696	1.868	-0.696	1.868
		[0.627]	[76.245]	[0.627]	[76.245]	[0.627]	[76.245]	[0.627]	[76.245]
xaParmaNone	Parma None ITC	-0.543	10.047	-0.543	10.047	-0.543	10.047	-0.543	10.047
		[0.449]	[86.516]	[0.449]	[86.516]	[0.449]	[86.516]	[0.449]	[86.516]
xaPadovaNone	Padova None ITC	-0.243	2.334	-0.243	2.334	-0.243	2.334	-0.243	2.334
		[0.561]	[76.222]	[0.561]	[76.222]	[0.561]	[76.222]	[0.561]	[76.222]
Constant	Constant	-17.744	-7.746	-17.744	-7.746	-17.744	-7.746	-17.744	-7.746
		[29.068]	[58.516]	[29.068]	[58.516]	[29.068]	[58.516]	[29.068]	[58.516]
									
Observations		348	348	348	348	348	348	348	348
R-squared		0.208	0.316	0.208	0.316	0.208	0.316	0.208	0.316
Controls		All	Inter	All	Inter	All	Inter	All	Inter
Robust standard errors in brackets									
*** p<0.01, ** p<0.05, * p<0.1									
