		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
xmReggioNone	Reggio None Preschool	-1.400	0.628	-1.400	0.628	-1.400	0.628
		[1.547]	[2.746]	[1.547]	[2.746]	[1.547]	[2.746]
xmReggioSome	Reggio other preschool	1.673	2.135	1.673	2.135	1.673	2.135
		[1.370]	[1.597]	[1.370]	[1.597]	[1.370]	[1.597]
xmParmaMuni	Parma Muni Preschool	-0.181	1,155.016	-0.181	1,155.016	-0.181	1,155.016
		[1.806]	[2,346.253]	[1.806]	[2,346.253]	[1.806]	[2,346.253]
xmPadovaMuni	Padova Muni Preschool	-0.562	-1,179.309	-0.562	-1,179.309	-0.562	-1,179.309
		[2.240]	[2,104.626]	[2.240]	[2,104.626]	[2.240]	[2,104.626]
xmParmaSome	Parma other preschool	0.281	1,156.389	0.281	1,156.389	0.281	1,156.389
		[1.765]	[2,346.167]	[1.765]	[2,346.167]	[1.765]	[2,346.167]
xmPadovaSome	Padova other preschool	-0.632	-1,179.754	-0.632	-1,179.754	-0.632	-1,179.754
		[2.305]	[2,104.732]	[2.305]	[2,104.732]	[2.305]	[2,104.732]
xmParmaNone	Parma None Preschool	-0.051	1,153.459	-0.051	1,153.459	-0.051	1,153.459
		[3.070]	[2,346.964]	[3.070]	[2,346.964]	[3.070]	[2,346.964]
Constant	Constant	529.747	426.377	529.747	426.377	529.747	426.377
		[892.632]	[1,784.350]	[892.632]	[1,784.350]	[892.632]	[1,784.350]
							
Observations		356	356	356	356	356	356
R-squared		0.206	0.355	0.206	0.355	0.206	0.355
Controls		All	Inter	All	Inter	All	Inter
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
