		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
ReggioMaterna	RCH preschool				0.090	0.059	0.241
					[2.353]	[2.194]	[2.276]
xmReggioNone	Reggio None Preschool	0.977	0.827	1.484	1.175	1.095	1.198
		[1.356]	[1.141]	[1.487]	[2.028]	[1.960]	[2.009]
xmReggioReli	Reggio Reli Preschool	0.754	1.118	1.111			
		[0.660]	[0.700]	[0.789]			
xmParmaMuni	Parma Muni Preschool	-0.358	-0.026	1,196.914	1,625.024	1,147.054	1,161.008
		[0.577]	[0.742]	[1,046.426]	[1,187.411]	[829.584]	[847.483]
xmPadovaMuni	Padova Muni Preschool	-0.083	0.801	653.899	1,138.680	786.317	668.882
		[0.522]	[1.036]	[931.706]	[1,087.827]	[930.675]	[818.482]
Male	Male dummy		0.522	-0.060	-0.127	-0.113	-0.119
			[0.338]	[0.630]	[0.593]	[0.593]	[0.599]
xmParmaStat	Parma Stat Preschool	-0.252	-0.508	1,196.446	1,624.553	1,146.589	1,160.543
		[0.724]	[0.951]	[1,046.450]	[1,187.430]	[829.606]	[847.506]
xmPadovaStat	Padova Stat Preschool	0.903	2.182**	655.397	1,140.179	787.815	670.379
		[0.725]	[1.064]	[931.739]	[1,087.856]	[930.705]	[818.512]
xmReggioStat	Reggio Stat Preschool	-0.822	-0.832	-1.010	-1.364	-1.387	-1.274
		[0.727]	[0.913]	[0.960]	[1.761]	[1.691]	[1.738]
xmParmaReli	Parma Reli Preschool	0.484	0.636	1,197.436	1,625.549	1,147.573	1,161.528
		[0.719]	[0.784]	[1,046.505]	[1,187.479]	[829.650]	[847.555]
xmPadovaReli	Padova Reli Preschool	0.438	1.870	654.808	1,139.604	787.232	669.788
		[0.518]	[1.144]	[931.721]	[1,087.848]	[930.694]	[818.494]
xmParmaPriv	Parma Priv Preschool	4.619	5.491	1,201.064	1,629.136	1,151.243	1,165.184
		[4.661]	[4.950]	[1,046.316]	[1,187.293]	[829.520]	[847.398]
xmPadovaPriv	Padova Priv Preschool	-1.381	-0.026	653.254	1,138.033	785.671	668.237
		[1.093]	[1.544]	[931.786]	[1,087.894]	[930.750]	[818.556]
xmReggioPriv	Reggio Priv Preschool	0.719	1.148	1.113	0.532	0.553	0.644
		[1.399]	[1.533]	[1.605]	[1.798]	[1.756]	[1.784]
xmParmaNone	Parma None Preschool	0.619	2.620	1,199.053	1,627.233	1,149.123	1,163.101
		[3.236]	[3.266]	[1,046.841]	[1,187.804]	[829.891]	[847.838]
xmPadovaNone	Padova None Preschool	6.119***	11.659***	663.899	1,148.688	796.320	678.880
		[0.328]	[1.058]	[931.722]	[1,087.847]	[930.693]	[818.497]
Constant	Constant	7.881***	-66.482	-655.111	-968.258	-719.733	-694.300
		[0.328]	[398.587]	[645.947]	[738.196]	[592.861]	[553.835]
							
Observations		656	656	656	656	656	656
R-squared		0.018	0.151	0.215	0.210	0.210	0.209
Controls		None	All	Inter			
IV					distance	distXsib	dist score
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
Dependent variable: SDQ score (mom rep.).							
