		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS						
							
ReggioMaterna	RCH preschool				0.438*	0.337	0.281
					[0.264]	[0.253]	[0.252]
xmReggioNone	Reggio None Preschool	-0.153	-0.199	-0.202	0.031	-0.018	-0.046
		[0.225]	[0.248]	[0.275]	[0.267]	[0.268]	[0.271]
xmReggioSome	Reggio other preschool	-0.022	-0.009	-0.034			
		[0.067]	[0.069]	[0.078]			
xmParmaMuni	Parma Muni Preschool	0.106	0.120	-9.103	19.394	18.641	12.041
		[0.068]	[0.093]	[131.774]	[116.746]	[114.119]	[132.977]
xmPadovaMuni	Padova Muni Preschool	0.041	0.087	1.913	28.757	36.747	25.890
		[0.074]	[0.123]	[135.330]	[104.552]	[176.585]	[151.686]
Male	Male dummy		0.072*	0.081	0.069	0.072	0.073
			[0.041]	[0.072]	[0.070]	[0.068]	[0.067]
xmParmaSome	Parma other preschool	0.066	0.095	-9.127	19.371	18.617	12.018
		[0.066]	[0.091]	[131.782]	[116.753]	[114.125]	[132.984]
xmPadovaSome	Padova other preschool	0.003	0.037	1.873	28.717	36.707	25.850
		[0.060]	[0.117]	[135.330]	[104.551]	[176.587]	[151.687]
xmParmaNone	Parma None Preschool	-0.053	-0.088	-9.305	19.191	18.438	11.839
		[0.359]	[0.381]	[131.808]	[116.779]	[114.139]	[133.009]
xmPadovaNone	Padova None Preschool	-0.553***	-0.035	1.858	28.702	36.692	25.836
		[0.044]	[0.121]	[135.336]	[104.556]	[176.594]	[151.693]
Constant	Constant	0.553***	-62.107	-34.190	-64.188	-62.868	-55.835
		[0.044]	[52.252]	[88.423]	[76.125]	[95.908]	[91.445]
							
Observations		640	640	640	640	640	640
R-squared		0.010	0.110	0.165	0.122	0.142	0.150
Controls		None	All	Inter			
IV					distance	distXsib	dist score
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
Dependent variable: Child likes math (%).							
