	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	childSDQ_score	childSDQ_score	childSDQ_score	childSDQ_score	childSDQ_score	childSDQ_score	faceMe	faceMe	faceMe	faceMe	faceMe	faceMe	childHealthPerc	childHealthPerc	childHealthPerc	childHealthPerc	childHealthPerc	childHealthPerc
																		
ReggioAsilo	-0.786	-0.079	-0.994*				0.173	0.239	-0.193				-0.050	0.008	-0.063			
	[0.680]	[0.403]	[0.539]				[0.329]	[0.157]	[0.207]				[0.087]	[0.049]	[0.060]			
ReggioMaterna				-1.398***	-0.054	-1.233***				-0.005	0.306**	-0.066				-0.005	0.027	-0.027
				[0.469]	[0.391]	[0.475]				[0.179]	[0.155]	[0.179]				[0.054]	[0.047]	[0.053]
nido	-0.582	0.237	-0.025				-0.220	0.060	0.031				0.023	0.004	0.009			
	[0.759]	[0.375]	[0.340]				[0.353]	[0.129]	[0.121]				[0.090]	[0.042]	[0.038]			
Age	0.912	-0.279	-0.055	1.063	-0.295	-0.032	-0.029	0.209	0.201	-0.042	0.278	0.201	0.132*	0.011	0.007	0.133*	0.016	0.014
	[0.673]	[0.490]	[0.431]	[0.662]	[0.481]	[0.422]	[0.283]	[0.179]	[0.156]	[0.281]	[0.175]	[0.155]	[0.074]	[0.053]	[0.046]	[0.074]	[0.052]	[0.046]
Male	0.104	0.691**	0.543*	0.017	0.688**	0.505*	0.001	-0.153	-0.085	-0.014	-0.137	-0.099	-0.089*	-0.066*	-0.065**	-0.092*	-0.063*	-0.067**
	[0.460]	[0.303]	[0.280]	[0.458]	[0.301]	[0.279]	[0.182]	[0.109]	[0.102]	[0.182]	[0.108]	[0.102]	[0.053]	[0.034]	[0.031]	[0.053]	[0.034]	[0.031]
poorBHealth	-0.331	0.018	0.056	-0.561	-0.074	-0.007	-0.501	0.048	-0.055	-0.508	0.093	-0.063	-0.176*	-0.039	-0.092	-0.182*	-0.090	-0.096*
	[0.749]	[0.493]	[0.470]	[0.716]	[0.501]	[0.464]	[0.410]	[0.172]	[0.188]	[0.393]	[0.177]	[0.186]	[0.097]	[0.058]	[0.056]	[0.094]	[0.060]	[0.056]
oldsibs	-0.102	-0.209	-0.397	-0.271	-0.530	-0.456	-0.090	-0.322	-0.292	-0.114	-0.373	-0.282	0.124*	0.067	0.092	0.128*	0.113*	0.092
	[0.438]	[0.678]	[0.518]	[0.405]	[0.711]	[0.494]	[0.328]	[0.300]	[0.265]	[0.346]	[0.295]	[0.266]	[0.073]	[0.073]	[0.058]	[0.073]	[0.067]	[0.058]
momMaxEdu_Uni_F	-1.251**	-0.678*	-0.820**	-1.319**	-0.659*	-0.806**	-0.490*	-0.093	-0.114	-0.505*	-0.044	-0.115	0.058	0.033	0.033	0.057	0.031	0.031
	[0.560]	[0.362]	[0.335]	[0.560]	[0.370]	[0.334]	[0.281]	[0.135]	[0.134]	[0.278]	[0.138]	[0.134]	[0.063]	[0.040]	[0.037]	[0.062]	[0.040]	[0.037]
dadMaxEdu_Uni_F	-1.659***	-0.681*	-0.922***	-1.746***	-0.642*	-0.901***	0.582**	0.092	0.107	0.561***	0.051	0.116	0.024	-0.026	-0.009	0.028	-0.018	-0.012
	[0.530]	[0.362]	[0.331]	[0.524]	[0.365]	[0.332]	[0.227]	[0.133]	[0.122]	[0.211]	[0.133]	[0.122]	[0.070]	[0.042]	[0.038]	[0.069]	[0.041]	[0.038]
HighInc_F	0.045	0.445	0.326	0.076	0.471	0.306	0.024	0.153	0.140	0.018	0.199	0.147	0.061	0.035	0.044	0.061	0.021	0.046
	[0.636]	[0.409]	[0.384]	[0.632]	[0.423]	[0.384]	[0.250]	[0.155]	[0.145]	[0.245]	[0.158]	[0.145]	[0.070]	[0.048]	[0.044]	[0.069]	[0.049]	[0.043]
HighInc_Miss	-1.281**	0.490	-0.016	-0.995*	0.414	0.063	0.406**	0.039	0.145	0.412***	0.132	0.158	0.031	0.052	0.061	0.034	0.060	0.063*
	[0.580]	[0.365]	[0.336]	[0.538]	[0.350]	[0.328]	[0.166]	[0.130]	[0.116]	[0.158]	[0.128]	[0.115]	[0.068]	[0.042]	[0.038]	[0.065]	[0.040]	[0.037]
houseOwn_F	-1.512***	-0.735**	-0.844***	-1.528***	-0.643**	-0.852***	-0.012	-0.123	-0.144	-0.028	-0.184	-0.152	-0.021	-0.059	-0.059*	-0.020	-0.072**	-0.059*
	[0.468]	[0.322]	[0.293]	[0.472]	[0.317]	[0.293]	[0.182]	[0.116]	[0.110]	[0.185]	[0.117]	[0.110]	[0.054]	[0.037]	[0.033]	[0.054]	[0.037]	[0.033]
distCenter	-0.007	0.076	0.012	-0.036	-0.007	0.002	-0.043	0.020	0.006	-0.046	0.033	0.006	-0.022**	-0.025***	-0.020**	-0.023**	-0.021**	-0.021***
	[0.096]	[0.076]	[0.068]	[0.095]	[0.077]	[0.067]	[0.035]	[0.026]	[0.024]	[0.036]	[0.027]	[0.024]	[0.011]	[0.009]	[0.008]	[0.011]	[0.009]	[0.008]
cgRelig_F	-0.559	-0.343	-0.442	-0.627	-0.500	-0.419	-0.101	-0.009	-0.012	-0.094	0.051	0.007	-0.013	-0.049	-0.030	-0.013	-0.028	-0.026
	[0.747]	[0.414]	[0.386]	[0.762]	[0.417]	[0.389]	[0.230]	[0.150]	[0.136]	[0.220]	[0.152]	[0.137]	[0.077]	[0.045]	[0.042]	[0.076]	[0.045]	[0.043]
CAPI	1.189**	0.585*	0.653**	1.266**	0.479	0.653**	-0.174	0.211*	0.089	-0.161	0.164	0.085	-0.114**	0.062*	0.031	-0.113**	0.052	0.031
	[0.487]	[0.300]	[0.277]	[0.495]	[0.299]	[0.280]	[0.167]	[0.108]	[0.100]	[0.170]	[0.108]	[0.101]	[0.055]	[0.035]	[0.031]	[0.055]	[0.034]	[0.031]
Parma			-0.918**			-1.060**			-0.468***			-0.398**			-0.079			-0.060
			[0.459]			[0.432]			[0.181]			[0.167]			[0.050]			[0.048]
Padova		0.566	-0.349		0.513	-0.542		0.300**	-0.186		0.285**	-0.126		0.108***	0.030		0.104***	0.047
		[0.371]	[0.441]		[0.361]	[0.444]		[0.130]	[0.163]		[0.127]	[0.159]		[0.040]	[0.047]		[0.040]	[0.047]
Constant	5.154	9.992***	10.257***	4.279	10.642***	10.271***	10.473***	8.095***	8.705***	10.533***	7.596***	8.646***	-0.026	0.696*	0.777**	-0.041	0.652*	0.718**
	[4.537]	[3.247]	[2.897]	[4.422]	[3.228]	[2.843]	[1.940]	[1.210]	[1.106]	[1.879]	[1.192]	[1.086]	[0.513]	[0.359]	[0.321]	[0.510]	[0.357]	[0.320]
																		
Observations	309	727	876	309	732	875	310	728	878	310	732	876	309	727	876	309	731	874
R-squared	0.159	0.048	0.060	0.161	0.042	0.060	0.073	0.026	0.028	0.072	0.033	0.027	0.091	0.043	0.039	0.092	0.042	0.039
Robust standard errors in brackets																		
*** p<0.01, ** p<0.05, * p<0.1																		
