	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.003	1.273	-0.017	-0.039	-0.046	-0.041	-0.001	-0.240	-0.054	-0.414*
	[0.129]	[0.979]	[0.229]	[0.041]	[0.047]	[0.041]	[0.062]	[0.160]	[0.058]	[0.222]
asilo_Municipal								0.157		0.337*
								[0.133]		[0.204]
nido	-0.029	-1.226	-0.074	-0.002	0.056	0.003	-0.032	-0.067	0.033	-0.248
	[0.129]	[0.909]	[0.137]	[0.032]	[0.054]	[0.033]	[0.045]	[0.140]	[0.039]	[0.203]
unobsA			0.287							
			[0.279]							
unobsA2			0.312**							
			[0.124]							
unobsA3			-0.713**							
			[0.344]							
Age	0.060	0.115	0.061	-0.014	0.003	-0.012	0.034	0.064	0.011	-0.070
	[0.062]	[0.088]	[0.063]	[0.041]	[0.062]	[0.044]	[0.047]	[0.056]	[0.043]	[0.062]
Male	-0.031	-0.026	-0.033	-0.080***	-0.049	-0.102***	-0.054	-0.018	-0.059*	-0.013
	[0.048]	[0.059]	[0.049]	[0.028]	[0.043]	[0.029]	[0.034]	[0.046]	[0.030]	[0.044]
poorBHealth	-0.044	-0.005	0.005	0.029	0.032	0.025	0.020	0.031	-0.043	-0.058
	[0.084]	[0.105]	[0.084]	[0.046]	[0.069]	[0.046]	[0.054]	[0.069]	[0.058]	[0.072]
oldsibs	-0.052	-0.014	-0.040	-0.069**	-0.078*	-0.063**	-0.077**	-0.133***	-0.038	0.002
	[0.051]	[0.067]	[0.053]	[0.031]	[0.047]	[0.032]	[0.037]	[0.050]	[0.033]	[0.040]
momMaxEdu_Uni_F	0.003	0.051	0.003	0.009	-0.026	0.009	-0.025	-0.044	0.023	0.025
	[0.058]	[0.084]	[0.061]	[0.036]	[0.066]	[0.035]	[0.044]	[0.070]	[0.037]	[0.041]
dadMaxEdu_Uni_F	0.053	0.074	0.036	0.036	0.056	0.024	0.025	0.061	0.040	0.038
	[0.062]	[0.080]	[0.066]	[0.037]	[0.056]	[0.037]	[0.046]	[0.065]	[0.040]	[0.051]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.241***	-0.347***	-0.285***	-0.112**	0.030	-0.060	-0.137**	0.010	-0.174***	-0.095
	[0.086]	[0.118]	[0.092]	[0.052]	[0.060]	[0.051]	[0.061]	[0.056]	[0.062]	[0.072]
HighInc_F	-0.000	-0.101	-0.008	0.041	0.111*	0.056	0.055	0.095	-0.005	0.005
	[0.052]	[0.095]	[0.059]	[0.036]	[0.065]	[0.037]	[0.039]	[0.063]	[0.040]	[0.054]
HighInc_Miss	-0.089	-0.122	-0.087	0.009	0.094	0.025	-0.031	-0.022	-0.027	0.031
	[0.065]	[0.085]	[0.069]	[0.035]	[0.064]	[0.036]	[0.045]	[0.066]	[0.039]	[0.056]
houseOwn_F	-0.030	0.016	-0.063	-0.017	0.050	-0.008	0.005	0.109	-0.033	-0.055
	[0.070]	[0.084]	[0.073]	[0.036]	[0.057]	[0.036]	[0.047]	[0.068]	[0.040]	[0.045]
distCenter	0.015*	0.020*	0.021**	0.026***	0.035***	0.025***	0.015**	0.018**	0.014*	0.017**
	[0.009]	[0.010]	[0.010]	[0.007]	[0.009]	[0.007]	[0.006]	[0.007]	[0.007]	[0.008]
cgRelig_F	0.008	0.087	0.020	0.087*	0.168**	0.084*	0.054	0.135*	0.051	0.057
	[0.059]	[0.090]	[0.068]	[0.045]	[0.068]	[0.046]	[0.048]	[0.077]	[0.045]	[0.056]
cgRelig_Miss	0.267***	0.261**	0.261***	0.199***	0.204**	0.180***	0.039	-0.186	0.184***	0.139**
	[0.083]	[0.111]	[0.085]	[0.058]	[0.090]	[0.061]	[0.229]	[0.308]	[0.053]	[0.065]
CAPI	-0.016	0.003	-0.035	-0.019	0.054	-0.009	-0.043	0.023	0.004	0.027
	[0.049]	[0.059]	[0.051]	[0.028]	[0.048]	[0.029]	[0.034]	[0.049]	[0.031]	[0.043]
momMaxEdu_Uni_Miss	0.027			0.107		0.126**	0.078		0.043	
	[0.165]			[0.068]		[0.051]	[0.121]		[0.094]	
Parma							0.014			
							[0.044]			
Reggio								0.097		0.081
								[0.074]		[0.064]
nidoXreggio								0.078		0.255
								[0.167]		[0.221]
Padova									0.024	
									[0.041]	
Constant	-0.231	-1.365	-0.288	1.025	0.417	0.991	0.181	-0.653	0.625	2.042*
	[1.176]	[1.720]	[1.205]	[0.773]	[1.130]	[0.824]	[0.881]	[1.056]	[0.817]	[1.112]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.075	-0.286	0.117	0.079	0.123	0.077	0.061	0.131	0.069	0.111
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
