	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.057	-0.117	0.067	-0.061	-0.041	-0.059	0.077	-0.017	0.031	0.085
	[0.060]	[0.295]	[0.397]	[0.046]	[0.048]	[0.046]	[0.059]	[0.090]	[0.059]	[0.090]
unobsM			-0.155							
			[0.566]							
unobsM2			0.233							
			[0.251]							
unobsM3			0.532							
			[0.706]							
Age	0.084	0.070	0.065	0.084	0.079	0.082	0.069	0.095	0.101	0.084
	[0.090]	[0.093]	[0.093]	[0.056]	[0.067]	[0.056]	[0.065]	[0.072]	[0.062]	[0.068]
Male	0.070	0.066	0.061	0.021	0.051	0.015	0.076*	0.103**	-0.007	-0.004
	[0.059]	[0.060]	[0.060]	[0.038]	[0.045]	[0.038]	[0.043]	[0.047]	[0.041]	[0.047]
poorBHealth	0.061	0.043	0.053	-0.011	-0.037	-0.012	0.051	0.044	-0.030	-0.049
	[0.105]	[0.109]	[0.109]	[0.066]	[0.071]	[0.066]	[0.073]	[0.078]	[0.075]	[0.081]
oldsibs	0.021	0.021	0.031	-0.007	-0.030	-0.008	0.014	0.002	0.004	-0.009
	[0.062]	[0.063]	[0.062]	[0.040]	[0.047]	[0.041]	[0.046]	[0.050]	[0.043]	[0.048]
momMaxEdu_Uni_F	-0.133*	-0.150*	-0.137*	-0.035	-0.068	-0.036	-0.061	-0.057	-0.116**	-0.150**
	[0.072]	[0.080]	[0.079]	[0.049]	[0.056]	[0.049]	[0.053]	[0.057]	[0.051]	[0.059]
dadMaxEdu_Uni_F	0.066	0.076	0.080	0.007	0.072	0.007	0.062	0.086	0.024	0.057
	[0.086]	[0.089]	[0.088]	[0.054]	[0.062]	[0.054]	[0.061]	[0.064]	[0.058]	[0.066]
momMaxEdu_Uni_Miss	0.135	0.131	0.128	-0.154	-0.211*	-0.190	0.011	0.027	-0.105	-0.191
	[0.175]	[0.187]	[0.174]	[0.125]	[0.119]	[0.121]	[0.174]	[0.171]	[0.131]	[0.138]
dadMaxEdu_Uni_Miss	-0.202**	-0.184**	-0.181**	-0.059	0.000	-0.052	-0.124**	-0.118*	-0.097	-0.083
	[0.084]	[0.090]	[0.090]	[0.057]	[0.076]	[0.058]	[0.061]	[0.071]	[0.064]	[0.083]
HighInc_F	-0.035	-0.023	-0.030	0.029	0.022	0.028	-0.059	-0.083	0.012	-0.012
	[0.075]	[0.079]	[0.079]	[0.054]	[0.060]	[0.055]	[0.056]	[0.059]	[0.059]	[0.064]
HighInc_Miss	0.078	0.087	0.082	0.049	0.087*	0.045	-0.062	-0.079	0.118**	0.164***
	[0.077]	[0.081]	[0.079]	[0.046]	[0.052]	[0.046]	[0.054]	[0.062]	[0.051]	[0.056]
houseOwn_F	-0.148*	-0.145*	-0.145*	-0.140***	-0.160***	-0.143***	-0.137**	-0.177***	-0.129**	-0.150**
	[0.078]	[0.079]	[0.078]	[0.049]	[0.058]	[0.049]	[0.059]	[0.065]	[0.052]	[0.059]
distCenter	0.013	0.012	0.015	0.028***	0.029**	0.029***	0.023**	0.022*	0.012	0.010
	[0.013]	[0.013]	[0.014]	[0.010]	[0.012]	[0.010]	[0.010]	[0.012]	[0.010]	[0.011]
cgRelig_F	0.019	-0.027	-0.034	0.046	0.032	0.047	0.048	0.078	-0.026	-0.093
	[0.071]	[0.104]	[0.106]	[0.052]	[0.059]	[0.052]	[0.057]	[0.062]	[0.056]	[0.059]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.043	0.062	0.063	0.061	0.060	0.057	-0.029	-0.052	0.107**	0.103**
	[0.059]	[0.066]	[0.065]	[0.039]	[0.044]	[0.039]	[0.043]	[0.046]	[0.042]	[0.047]
cgRelig_Miss	-0.131	-0.086		0.285***		0.298***	-0.127		0.208**	
	[0.276]	[0.288]		[0.086]		[0.085]	[0.224]		[0.088]	
Parma							0.149***			
							[0.054]			
Reggio								-0.089		-0.102
								[0.065]		[0.065]
materna_Municipal								0.093		-0.018
								[0.067]		[0.068]
Padova									0.074	
									[0.055]	
Constant	-1.147	-0.770	-0.820	-1.114	-1.017	-1.070	-0.898	-1.272	-1.445	-0.939
	[1.701]	[1.805]	[1.818]	[1.063]	[1.272]	[1.067]	[1.213]	[1.349]	[1.165]	[1.289]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.075	0.046	0.079	0.064	0.056	0.066	0.055	0.069	0.106	0.114
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.41	.41	.41	.41	.41	.41	.41	.41	.41	.41
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
