	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.101	0.794	0.223	0.010	0.005	-0.004	-0.012	0.072	-0.016	0.097
	[0.145]	[1.127]	[0.266]	[0.056]	[0.074]	[0.058]	[0.080]	[0.212]	[0.081]	[0.262]
asilo_Municipal								-0.085		-0.207
								[0.117]		[0.203]
nido	0.113	-0.719	0.062	0.004	-0.058	0.045	0.004	-0.061	0.009	0.220
	[0.147]	[1.053]	[0.160]	[0.046]	[0.061]	[0.049]	[0.059]	[0.103]	[0.062]	[0.193]
unobsA			-0.455							
			[0.368]							
unobsA2			0.105							
			[0.177]							
unobsA3			0.473							
			[0.525]							
Age	-0.114	-0.058	-0.100	0.054	0.194**	0.079	0.085	0.203**	-0.098	-0.060
	[0.090]	[0.112]	[0.093]	[0.058]	[0.078]	[0.060]	[0.066]	[0.089]	[0.062]	[0.067]
Male	0.043	0.038	0.035	0.072*	0.022	0.082**	0.099**	0.096*	0.047	0.021
	[0.061]	[0.067]	[0.063]	[0.038]	[0.052]	[0.041]	[0.044]	[0.053]	[0.042]	[0.049]
poorBHealth	-0.070	-0.058	-0.070	0.044	0.180*	0.096	0.040	0.245***	-0.024	-0.065
	[0.102]	[0.119]	[0.110]	[0.065]	[0.094]	[0.070]	[0.072]	[0.092]	[0.074]	[0.093]
oldsibs	-0.078	-0.054	-0.071	0.034	0.152***	0.069	-0.017	0.100*	-0.015	0.014
	[0.064]	[0.074]	[0.065]	[0.041]	[0.050]	[0.042]	[0.046]	[0.057]	[0.044]	[0.046]
momMaxEdu_Uni_F	0.096	0.137	0.108	-0.008	0.083	-0.027	0.080	0.203***	-0.001	-0.020
	[0.073]	[0.089]	[0.075]	[0.048]	[0.059]	[0.051]	[0.054]	[0.063]	[0.053]	[0.061]
dadMaxEdu_Uni_F	0.006	-0.001	-0.019	0.002	-0.159**	-0.030	-0.031	-0.174**	0.017	-0.020
	[0.086]	[0.099]	[0.091]	[0.051]	[0.065]	[0.054]	[0.061]	[0.082]	[0.058]	[0.063]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.041	-0.142	-0.093	-0.023	-0.180**	-0.009	-0.026	-0.143	-0.039	-0.049
	[0.090]	[0.121]	[0.100]	[0.060]	[0.092]	[0.062]	[0.065]	[0.089]	[0.068]	[0.079]
HighInc_F	-0.069	-0.139	-0.091	-0.058	-0.102	-0.033	-0.067	-0.093	-0.050	-0.100
	[0.075]	[0.108]	[0.081]	[0.053]	[0.066]	[0.055]	[0.056]	[0.073]	[0.060]	[0.067]
HighInc_Miss	0.027	0.016	0.045	0.058	-0.022	0.058	0.020	-0.004	0.040	-0.046
	[0.078]	[0.085]	[0.083]	[0.048]	[0.069]	[0.049]	[0.055]	[0.076]	[0.051]	[0.062]
houseOwn_F	-0.064	0.007	-0.042	-0.033	-0.028	-0.027	-0.063	-0.070	-0.024	-0.001
	[0.085]	[0.094]	[0.090]	[0.051]	[0.058]	[0.053]	[0.059]	[0.067]	[0.055]	[0.059]
distCenter	0.008	0.012	0.015	-0.013	-0.023	-0.013	0.002	-0.013	-0.004	-0.004
	[0.013]	[0.015]	[0.015]	[0.011]	[0.014]	[0.011]	[0.010]	[0.013]	[0.011]	[0.012]
cgRelig_F	0.026	0.097	0.065	-0.008	-0.045	-0.013	-0.027	-0.035	0.057	0.147**
	[0.074]	[0.100]	[0.081]	[0.054]	[0.063]	[0.058]	[0.056]	[0.065]	[0.057]	[0.073]
cgRelig_Miss	-0.326	-0.329	-0.332	0.200**	0.281***	0.213**	-0.355*	-0.577***	0.267***	0.475***
	[0.306]	[0.306]	[0.307]	[0.089]	[0.103]	[0.093]	[0.210]	[0.165]	[0.095]	[0.101]
CAPI	-0.125**	-0.110	-0.126**	0.007	0.090*	0.028	-0.013	0.056	-0.066	-0.052
	[0.061]	[0.067]	[0.064]	[0.039]	[0.049]	[0.041]	[0.044]	[0.054]	[0.043]	[0.050]
momMaxEdu_Uni_Miss	-0.245			-0.240*		-0.265**	-0.229		-0.291**	
	[0.163]			[0.127]		[0.120]	[0.157]		[0.115]	
Parma							-0.028			
							[0.058]			
Reggio								-0.076		-0.039
								[0.074]		[0.068]
nidoXreggio								0.065		-0.107
								[0.205]		[0.253]
Padova									-0.020	
									[0.056]	
Constant	2.776	1.597	2.284	-0.428	-2.921**	-0.943	-0.971	-3.105*	2.420**	1.684
	[1.692]	[2.154]	[1.757]	[1.090]	[1.472]	[1.129]	[1.241]	[1.660]	[1.171]	[1.263]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.060	-0.052	0.058	0.038	0.198	0.049	0.032	0.191	0.044	0.139
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
