	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.249*	0.449	-0.074	-0.005	-0.003	-0.020	-0.068	-0.123	0.018	-0.462*
	[0.144]	[1.122]	[0.273]	[0.056]	[0.079]	[0.058]	[0.080]	[0.212]	[0.084]	[0.253]
asilo_Municipal								-0.022		0.270
								[0.144]		[0.204]
nido	0.265*	-0.364	0.274*	-0.030	-0.063	0.003	0.055	-0.079	-0.019	-0.229
	[0.147]	[1.041]	[0.162]	[0.047]	[0.071]	[0.050]	[0.060]	[0.139]	[0.064]	[0.189]
unobsA			-0.399							
			[0.377]							
unobsA2			0.039							
			[0.179]							
unobsA3			0.674							
			[0.526]							
Age	-0.098	-0.043	-0.080	0.042	0.190**	0.078	-0.030	0.130	-0.001	0.050
	[0.092]	[0.110]	[0.094]	[0.058]	[0.096]	[0.061]	[0.066]	[0.112]	[0.063]	[0.070]
Male	0.065	0.084	0.083	0.075*	0.053	0.095**	0.147***	0.177***	0.025	0.022
	[0.062]	[0.066]	[0.063]	[0.039]	[0.057]	[0.041]	[0.044]	[0.058]	[0.042]	[0.053]
poorBHealth	-0.083	-0.076	-0.087	-0.035	0.170	-0.015	-0.041	0.281**	-0.043	-0.024
	[0.104]	[0.120]	[0.110]	[0.066]	[0.116]	[0.074]	[0.073]	[0.132]	[0.077]	[0.096]
oldsibs	0.042	0.054	0.035	0.020	0.096	0.040	0.005	0.092	0.052	0.062
	[0.065]	[0.074]	[0.067]	[0.041]	[0.061]	[0.044]	[0.047]	[0.070]	[0.044]	[0.048]
momMaxEdu_Uni_F	-0.132*	-0.109	-0.132	-0.027	-0.054	-0.037	-0.015	0.007	-0.124**	-0.154**
	[0.078]	[0.093]	[0.081]	[0.047]	[0.073]	[0.050]	[0.055]	[0.085]	[0.053]	[0.060]
dadMaxEdu_Uni_F	0.120	0.116	0.107	0.029	-0.003	0.002	0.067	0.041	0.064	0.042
	[0.086]	[0.099]	[0.093]	[0.052]	[0.079]	[0.055]	[0.061]	[0.103]	[0.059]	[0.066]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.039	-0.001	0.063	-0.069	-0.150	-0.078	-0.032	-0.098	-0.012	-0.057
	[0.090]	[0.120]	[0.098]	[0.060]	[0.104]	[0.063]	[0.066]	[0.103]	[0.067]	[0.080]
HighInc_F	0.026	-0.003	0.051	0.064	0.050	0.072	0.056	0.086	-0.008	-0.060
	[0.077]	[0.112]	[0.082]	[0.054]	[0.082]	[0.058]	[0.056]	[0.089]	[0.060]	[0.066]
HighInc_Miss	0.120	0.150*	0.160*	0.105**	-0.014	0.106**	0.048	-0.057	0.134***	0.067
	[0.076]	[0.081]	[0.082]	[0.049]	[0.074]	[0.051]	[0.055]	[0.076]	[0.052]	[0.065]
houseOwn_F	-0.085	-0.018	-0.039	-0.009	0.015	0.008	0.003	-0.012	-0.036	0.010
	[0.086]	[0.093]	[0.089]	[0.051]	[0.065]	[0.054]	[0.061]	[0.078]	[0.054]	[0.059]
distCenter	-0.000	0.006	0.006	0.009	0.001	0.010	0.009	0.001	-0.003	0.000
	[0.013]	[0.014]	[0.015]	[0.011]	[0.015]	[0.012]	[0.010]	[0.014]	[0.011]	[0.012]
cgRelig_F	-0.121*	-0.066	-0.105	0.023	0.149**	0.040	-0.059	0.086	-0.019	0.054
	[0.072]	[0.098]	[0.077]	[0.055]	[0.073]	[0.059]	[0.057]	[0.076]	[0.056]	[0.070]
cgRelig_Miss	0.323***	0.263**	0.294**	0.343***	0.562***	0.376***	-0.125	-0.511*	0.294***	0.414***
	[0.104]	[0.114]	[0.114]	[0.085]	[0.114]	[0.090]	[0.378]	[0.278]	[0.082]	[0.100]
CAPI	-0.072	-0.073	-0.075	0.017	0.096*	0.029	-0.039	0.036	0.018	-0.009
	[0.060]	[0.065]	[0.063]	[0.039]	[0.056]	[0.042]	[0.045]	[0.060]	[0.043]	[0.050]
momMaxEdu_Uni_Miss	-0.253			0.012		-0.032	-0.127		-0.123	
	[0.166]			[0.137]		[0.136]	[0.153]		[0.134]	
Parma							-0.012			
							[0.058]			
Reggio								-0.130		-0.111
								[0.085]		[0.068]
nidoXreggio								0.272		0.477**
								[0.208]		[0.239]
Padova									0.026	
									[0.055]	
Constant	2.421	1.234	1.888	-0.396	-3.242*	-1.141	0.966	-2.104	0.498	-0.448
	[1.727]	[2.116]	[1.759]	[1.090]	[1.814]	[1.144]	[1.236]	[2.116]	[1.187]	[1.321]
										
Observations	290	271	271	670	632	670	535	502	565	532
R-squared	0.065	-0.001	0.069	0.056	0.204	0.063	0.038	0.139	0.078	0.224
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.46	.46	.46	.46	.46	.46	.46	.46	.46	.46
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
