	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.247*	0.228	-0.139	0.040	-0.024	0.050	-0.083	-0.518**	-0.047	-0.572**
	[0.147]	[1.083]	[0.261]	[0.054]	[0.068]	[0.055]	[0.079]	[0.203]	[0.081]	[0.223]
asilo_Municipal								0.016		0.194
								[0.108]		[0.168]
nido	0.190	-0.260	0.148	-0.061	-0.023	-0.064	0.004	0.060	-0.026	-0.307*
	[0.148]	[1.003]	[0.149]	[0.044]	[0.056]	[0.047]	[0.058]	[0.098]	[0.061]	[0.161]
unobsA			0.024							
			[0.355]							
unobsA2			0.163							
			[0.177]							
unobsA3			-0.329							
			[0.491]							
Age	0.112	0.140	0.124	0.019	-0.068	0.034	-0.012	-0.123	0.086	0.082
	[0.090]	[0.108]	[0.090]	[0.055]	[0.071]	[0.056]	[0.064]	[0.083]	[0.062]	[0.070]
Male	-0.116*	-0.100	-0.103*	-0.210***	-0.284***	-0.214***	-0.183***	-0.235***	-0.182***	-0.238***
	[0.060]	[0.062]	[0.061]	[0.037]	[0.047]	[0.038]	[0.042]	[0.050]	[0.041]	[0.047]
poorBHealth	0.106	0.142	0.146	0.078	0.144*	0.003	0.066	0.209**	0.096	0.084
	[0.099]	[0.109]	[0.105]	[0.061]	[0.078]	[0.062]	[0.068]	[0.104]	[0.071]	[0.071]
oldsibs	0.007	0.031	0.025	-0.029	-0.097**	-0.007	-0.012	-0.079	-0.027	-0.023
	[0.062]	[0.071]	[0.063]	[0.040]	[0.047]	[0.041]	[0.045]	[0.055]	[0.043]	[0.045]
momMaxEdu_Uni_F	-0.067	-0.050	-0.068	0.004	-0.109*	0.006	-0.033	-0.128**	0.009	0.006
	[0.072]	[0.083]	[0.074]	[0.045]	[0.059]	[0.046]	[0.051]	[0.064]	[0.052]	[0.056]
dadMaxEdu_Uni_F	0.112	0.102	0.085	0.026	0.158**	0.048	0.070	0.215***	0.032	0.007
	[0.087]	[0.096]	[0.091]	[0.049]	[0.063]	[0.051]	[0.058]	[0.079]	[0.058]	[0.061]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.182**	-0.240**	-0.235**	-0.057	0.177**	-0.061	-0.088	0.196**	-0.154**	-0.193**
	[0.084]	[0.118]	[0.092]	[0.058]	[0.074]	[0.059]	[0.062]	[0.079]	[0.065]	[0.077]
HighInc_F	-0.009	-0.040	-0.018	-0.077	-0.124*	-0.079	-0.030	-0.075	-0.058	-0.091
	[0.074]	[0.111]	[0.081]	[0.051]	[0.067]	[0.053]	[0.055]	[0.069]	[0.058]	[0.063]
HighInc_Miss	0.017	-0.017	0.010	0.076	-0.004	0.104**	-0.031	-0.129*	0.116**	0.118*
	[0.078]	[0.083]	[0.082]	[0.047]	[0.069]	[0.049]	[0.054]	[0.070]	[0.052]	[0.062]
houseOwn_F	-0.160*	-0.127	-0.171*	-0.060	0.033	-0.055	-0.103*	-0.010	-0.080	-0.038
	[0.082]	[0.097]	[0.089]	[0.050]	[0.056]	[0.050]	[0.058]	[0.070]	[0.054]	[0.058]
distCenter	0.010	0.018	0.022*	0.012	0.023*	0.019*	0.013	0.028**	0.002	-0.003
	[0.013]	[0.013]	[0.013]	[0.011]	[0.013]	[0.011]	[0.010]	[0.013]	[0.010]	[0.011]
cgRelig_F	-0.064	-0.045	-0.058	-0.018	0.063	-0.043	-0.023	0.041	-0.052	-0.074
	[0.072]	[0.097]	[0.075]	[0.051]	[0.065]	[0.054]	[0.054]	[0.063]	[0.055]	[0.066]
cgRelig_Miss	-0.117	-0.083	-0.104	0.288***	0.480***	0.282***	-0.106	-0.044	0.195**	0.288***
	[0.315]	[0.317]	[0.323]	[0.088]	[0.088]	[0.085]	[0.256]	[0.157]	[0.091]	[0.089]
CAPI	-0.015	0.012	-0.008	-0.046	-0.057	-0.060	-0.037	-0.012	-0.017	-0.021
	[0.060]	[0.064]	[0.062]	[0.038]	[0.049]	[0.039]	[0.043]	[0.052]	[0.042]	[0.048]
momMaxEdu_Uni_Miss	0.043			0.048		0.093	0.070		0.000	
	[0.220]			[0.135]		[0.130]	[0.179]		[0.148]	
Parma							-0.117**			
							[0.059]			
Reggio								0.102		0.007
								[0.074]		[0.068]
nidoXreggio								0.365*		0.594***
								[0.198]		[0.218]
Padova									-0.038	
									[0.054]	
Constant	-1.406	-2.025	-1.752	0.231	1.715	-0.074	0.899	2.676*	-0.923	-0.831
	[1.690]	[2.088]	[1.710]	[1.042]	[1.340]	[1.055]	[1.201]	[1.568]	[1.163]	[1.319]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.080	0.052	0.092	0.106	0.331	0.129	0.071	0.256	0.107	0.300
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.45	.45	.45	.45	.45	.45	.45	.45	.45	.45
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
