	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.070	-0.114	0.125	0.004	0.006	0.005	-0.067	0.094	-0.076	-0.173*
	[0.060]	[0.286]	[0.375]	[0.046]	[0.047]	[0.046]	[0.059]	[0.091]	[0.059]	[0.089]
unobsM			-0.386							
			[0.540]							
unobsM2			-0.093							
			[0.234]							
unobsM3			0.575							
			[0.664]							
Age	0.118	0.115	0.100	-0.001	-0.012	-0.003	-0.013	-0.079	0.084	0.070
	[0.089]	[0.091]	[0.091]	[0.054]	[0.061]	[0.054]	[0.062]	[0.069]	[0.061]	[0.066]
Male	-0.116*	-0.117*	-0.119*	-0.218***	-0.250***	-0.224***	-0.184***	-0.198***	-0.184***	-0.218***
	[0.060]	[0.060]	[0.061]	[0.037]	[0.042]	[0.037]	[0.042]	[0.046]	[0.041]	[0.045]
poorBHealth	0.101	0.097	0.099	0.085	0.067	0.086	0.063	0.068	0.092	0.069
	[0.102]	[0.105]	[0.105]	[0.062]	[0.065]	[0.062]	[0.068]	[0.074]	[0.071]	[0.078]
oldsibs	0.012	0.012	0.023	-0.026	-0.026	-0.031	-0.010	-0.007	-0.025	-0.002
	[0.061]	[0.061]	[0.062]	[0.039]	[0.043]	[0.039]	[0.045]	[0.048]	[0.043]	[0.047]
momMaxEdu_Uni_F	-0.071	-0.075	-0.071	0.013	-0.016	0.017	-0.037	-0.029	0.002	0.023
	[0.073]	[0.077]	[0.080]	[0.045]	[0.051]	[0.046]	[0.051]	[0.056]	[0.051]	[0.056]
dadMaxEdu_Uni_F	0.122	0.124	0.133	0.035	0.056	0.024	0.070	0.088	0.033	0.009
	[0.087]	[0.089]	[0.089]	[0.050]	[0.056]	[0.050]	[0.058]	[0.064]	[0.058]	[0.062]
momMaxEdu_Uni_Miss	0.029	0.028	0.035	0.041	0.106	0.032	0.062	0.085	-0.007	0.035
	[0.222]	[0.225]	[0.222]	[0.138]	[0.145]	[0.139]	[0.179]	[0.178]	[0.149]	[0.150]
dadMaxEdu_Uni_Miss	-0.193**	-0.188**	-0.190**	-0.086	-0.097	-0.082	-0.092	-0.070	-0.155**	-0.234***
	[0.083]	[0.089]	[0.088]	[0.057]	[0.070]	[0.057]	[0.061]	[0.074]	[0.064]	[0.062]
HighInc_F	-0.023	-0.020	-0.030	-0.092*	-0.105*	-0.090*	-0.033	-0.011	-0.061	-0.114*
	[0.074]	[0.076]	[0.077]	[0.051]	[0.056]	[0.052]	[0.055]	[0.059]	[0.057]	[0.060]
HighInc_Miss	0.024	0.026	0.017	0.088*	0.099**	0.086*	-0.025	0.015	0.121**	0.126**
	[0.079]	[0.081]	[0.082]	[0.045]	[0.050]	[0.046]	[0.054]	[0.060]	[0.052]	[0.052]
houseOwn_F	-0.157*	-0.156*	-0.168**	-0.062	-0.058	-0.056	-0.109*	-0.106*	-0.084	-0.101*
	[0.081]	[0.081]	[0.083]	[0.049]	[0.055]	[0.049]	[0.057]	[0.063]	[0.053]	[0.057]
distCenter	0.011	0.011	0.013	0.009	0.020*	0.010	0.015	0.016	0.004	0.005
	[0.012]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.068	-0.079	-0.055	-0.031	-0.004	-0.030	-0.030	-0.016	-0.061	-0.042
	[0.072]	[0.106]	[0.107]	[0.050]	[0.054]	[0.050]	[0.054]	[0.061]	[0.055]	[0.054]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.008	-0.003	-0.004	-0.042	-0.040	-0.039	-0.034	-0.019	-0.015	-0.027
	[0.060]	[0.068]	[0.068]	[0.037]	[0.042]	[0.037]	[0.043]	[0.048]	[0.042]	[0.044]
cgRelig_Miss	-0.114	-0.102		0.251***		0.262***	-0.098		0.187**	
	[0.311]	[0.318]		[0.087]		[0.085]	[0.251]		[0.090]	
Parma							-0.110**			
							[0.054]			
Reggio								0.022		0.086
								[0.067]		[0.062]
materna_Municipal								-0.147**		0.121*
								[0.067]		[0.065]
Padova									-0.049	
									[0.055]	
Constant	-1.509	-1.413	-1.259	0.604	0.767	0.628	0.916	2.056	-0.875	-0.701
	[1.677]	[1.760]	[1.796]	[1.017]	[1.144]	[1.028]	[1.174]	[1.302]	[1.160]	[1.236]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.074	0.072	0.080	0.106	0.110	0.109	0.070	0.081	0.107	0.135
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.45	.45	.45	.45	.45	.45	.45	.45	.45	.45
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
