	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.037	-0.007	0.072	0.109**	0.137***	0.112**	0.029	-0.058	0.023	0.057
	[0.055]	[0.280]	[0.363]	[0.044]	[0.045]	[0.044]	[0.055]	[0.086]	[0.055]	[0.083]
unobsM			-0.015							
			[0.517]							
unobsM2			0.345*							
			[0.204]							
unobsM3			0.017							
			[0.632]							
Age	-0.019	-0.023	-0.014	0.000	0.014	-0.001	-0.028	0.022	0.011	0.008
	[0.082]	[0.085]	[0.085]	[0.051]	[0.059]	[0.052]	[0.060]	[0.069]	[0.056]	[0.059]
Male	0.111**	0.110**	0.096*	0.064*	0.080**	0.064*	0.115***	0.142***	0.066*	0.080*
	[0.053]	[0.053]	[0.053]	[0.035]	[0.040]	[0.035]	[0.041]	[0.044]	[0.037]	[0.041]
poorBHealth	0.004	-0.001	0.018	-0.047	0.009	-0.044	0.030	0.075	-0.098	-0.061
	[0.102]	[0.104]	[0.102]	[0.067]	[0.068]	[0.067]	[0.071]	[0.069]	[0.078]	[0.079]
oldsibs	0.049	0.049	0.052	0.041	0.028	0.046	0.023	0.011	0.041	0.048
	[0.058]	[0.058]	[0.058]	[0.037]	[0.041]	[0.037]	[0.044]	[0.048]	[0.039]	[0.042]
momMaxEdu_Uni_F	-0.036	-0.040	-0.008	0.059	0.110**	0.071	0.061	0.102*	0.015	0.044
	[0.074]	[0.079]	[0.079]	[0.043]	[0.050]	[0.043]	[0.052]	[0.055]	[0.048]	[0.055]
dadMaxEdu_Uni_F	0.044	0.046	0.054	-0.019	-0.044	-0.026	0.005	-0.050	-0.020	-0.025
	[0.081]	[0.083]	[0.083]	[0.046]	[0.054]	[0.046]	[0.057]	[0.064]	[0.053]	[0.062]
momMaxEdu_Uni_Miss	-0.102	-0.103	-0.114	0.045	0.125	0.064	0.023	0.044	-0.056	-0.001
	[0.192]	[0.192]	[0.190]	[0.131]	[0.145]	[0.130]	[0.175]	[0.208]	[0.140]	[0.161]
dadMaxEdu_Uni_Miss	0.010	0.015	0.009	-0.062	-0.065	-0.061	0.001	-0.018	-0.026	-0.045
	[0.084]	[0.086]	[0.086]	[0.058]	[0.064]	[0.058]	[0.063]	[0.070]	[0.063]	[0.064]
HighInc_F	0.082	0.085	0.073	0.046	0.039	0.039	0.049	0.032	0.059	0.020
	[0.068]	[0.071]	[0.072]	[0.050]	[0.055]	[0.051]	[0.052]	[0.056]	[0.055]	[0.059]
HighInc_Miss	0.043	0.045	0.042	0.170***	0.199***	0.178***	0.091*	0.086	0.127***	0.155***
	[0.073]	[0.073]	[0.074]	[0.041]	[0.045]	[0.041]	[0.053]	[0.057]	[0.046]	[0.047]
houseOwn_F	0.046	0.047	0.054	0.020	0.042	0.021	0.048	0.061	0.023	0.052
	[0.080]	[0.080]	[0.080]	[0.045]	[0.052]	[0.045]	[0.058]	[0.065]	[0.050]	[0.056]
distCenter	0.009	0.009	0.013	-0.007	-0.002	-0.009	-0.005	-0.000	0.006	0.009
	[0.012]	[0.012]	[0.012]	[0.009]	[0.011]	[0.010]	[0.009]	[0.010]	[0.009]	[0.010]
cgRelig_F	-0.007	-0.018	-0.020	0.040	0.019	0.041	-0.007	-0.015	0.028	-0.008
	[0.067]	[0.101]	[0.098]	[0.050]	[0.053]	[0.050]	[0.054]	[0.061]	[0.054]	[0.051]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.044	-0.039	-0.048	0.120***	0.172***	0.131***	0.056	0.068	0.092**	0.148***
	[0.055]	[0.062]	[0.062]	[0.036]	[0.040]	[0.036]	[0.042]	[0.045]	[0.038]	[0.042]
cgRelig_Miss	-0.150	-0.139		0.159**		0.158**	-0.063		0.132*	
	[0.279]	[0.284]		[0.071]		[0.070]	[0.224]		[0.072]	
Parma							-0.129**			
							[0.052]			
Reggio								0.194***		0.024
								[0.062]		[0.057]
materna_Municipal								0.088		-0.030
								[0.067]		[0.062]
Padova									-0.011	
									[0.052]	
Constant	0.919	1.014	0.717	0.441	0.111	0.456	1.070	-0.065	0.322	0.324
	[1.546]	[1.642]	[1.665]	[0.970]	[1.103]	[0.977]	[1.135]	[1.303]	[1.060]	[1.123]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.033	0.031	0.044	0.077	0.095	0.086	0.051	0.073	0.057	0.077
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.71	.71	.71	.71	.71	.71	.71	.71	.71	.71
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
