	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.054	-0.078	0.122	-0.066*	-0.078*	-0.149	-0.006	-0.167	-0.004	-0.087
	[0.077]	[0.610]	[0.197]	[0.038]	[0.044]	[0.237]	[0.056]	[0.103]	[0.056]	[0.120]
asilo_Municipal								0.063		0.003
								[0.066]		[0.087]
nido	0.121	0.141	0.122	0.065*	0.109**	0.159	0.087**	0.040	0.071	0.034
	[0.084]	[0.504]	[0.083]	[0.034]	[0.048]	[0.241]	[0.042]	[0.084]	[0.044]	[0.083]
unobs			-0.245							
			[0.311]							
unobs2			0.090							
			[0.142]							
unobs3			0.144							
			[0.422]							
Age	0.020	0.019	0.032	0.160***	0.170**	0.787**	0.055	0.124*	0.109**	0.141**
	[0.064]	[0.064]	[0.064]	[0.046]	[0.068]	[0.390]	[0.050]	[0.072]	[0.047]	[0.062]
Male	-0.080	-0.080	-0.093*	-0.038	-0.002	-0.225	-0.046	-0.008	-0.061*	-0.075*
	[0.049]	[0.050]	[0.053]	[0.028]	[0.038]	[0.213]	[0.032]	[0.040]	[0.034]	[0.042]
poorBHealth	0.132*	0.132*	0.103	0.036	0.013	0.003	0.059	0.052	0.115**	0.120**
	[0.074]	[0.077]	[0.079]	[0.045]	[0.052]	[0.161]	[0.050]	[0.053]	[0.051]	[0.061]
oldsibs	-0.098	-0.103	-0.020	-0.110	-0.100	-0.034	-0.094	-0.233	-0.061	-0.002
	[0.148]	[0.208]	[0.155]	[0.087]	[0.137]	[0.420]	[0.107]	[0.146]	[0.084]	[0.088]
momMaxEdu_Uni_F	-0.010	-0.009	-0.025	-0.010	-0.043	-0.443*	-0.006	-0.046	-0.009	-0.033
	[0.063]	[0.063]	[0.064]	[0.031]	[0.045]	[0.266]	[0.036]	[0.045]	[0.041]	[0.050]
dadMaxEdu_Uni_F	0.006	0.003	0.017	0.046	0.079*	0.519**	0.032	0.052	0.013	0.027
	[0.069]	[0.084]	[0.067]	[0.033]	[0.045]	[0.239]	[0.039]	[0.048]	[0.043]	[0.047]
momMaxEdu_Uni_Miss	0.405***	0.405***	0.417***	0.201***	0.248***	0.399	0.321***	0.289***	0.316***	0.404***
	[0.075]	[0.075]	[0.075]	[0.068]	[0.084]	[0.406]	[0.047]	[0.057]	[0.075]	[0.078]
dadMaxEdu_Uni_Miss	-0.101	-0.099	-0.114	-0.034	-0.007	-0.321	-0.080	-0.072	-0.096	-0.164**
	[0.093]	[0.105]	[0.096]	[0.052]	[0.070]	[0.232]	[0.062]	[0.058]	[0.062]	[0.078]
HighInc_F	-0.070	-0.071	-0.070	-0.044	-0.088*	-0.236	-0.058	-0.095*	-0.017	-0.022
	[0.065]	[0.069]	[0.065]	[0.037]	[0.051]	[0.163]	[0.042]	[0.051]	[0.045]	[0.053]
HighInc_Miss	-0.295***	-0.296***	-0.267***	-0.175***	-0.252***	-0.348**	-0.189***	-0.193***	-0.246***	-0.228***
	[0.064]	[0.073]	[0.071]	[0.039]	[0.052]	[0.170]	[0.043]	[0.049]	[0.044]	[0.048]
houseOwn_F	0.088*	0.087	0.096*	0.078**	0.144***	0.725**	0.115***	0.164***	0.080**	0.094**
	[0.050]	[0.056]	[0.050]	[0.032]	[0.045]	[0.305]	[0.037]	[0.045]	[0.035]	[0.041]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.017*	0.017*	0.017*	-0.000	0.000	-0.100	0.009	0.012**	0.008	-0.003
	[0.009]	[0.009]	[0.009]	[0.007]	[0.007]	[0.073]	[0.007]	[0.006]	[0.008]	[0.009]
cgRelig_F	-0.058	-0.057	-0.053	-0.056	-0.075	-1.027***	-0.043	-0.025	-0.092**	-0.171***
	[0.065]	[0.066]	[0.066]	[0.039]	[0.047]	[0.289]	[0.045]	[0.046]	[0.045]	[0.059]
cgRelig_Miss	0.080	0.076	0.242**	-0.307***	-0.251**	-0.240	0.020	0.141**	-0.302**	-0.522***
	[0.179]	[0.195]	[0.105]	[0.110]	[0.122]	[0.267]	[0.128]	[0.071]	[0.119]	[0.106]
CAPI	0.004	0.005	0.002	0.022	0.023	-0.646***	0.080**	0.103***	-0.024	-0.012
	[0.048]	[0.048]	[0.048]	[0.028]	[0.038]	[0.246]	[0.031]	[0.034]	[0.033]	[0.038]
houseOwn_Miss	-0.054	-0.059		-0.361		-0.124	-0.093		-0.125	
	[0.437]	[0.464]		[0.231]		[0.320]	[0.244]		[0.261]	
Parma							0.070			
							[0.046]			
Reggio								-0.051		-0.066
								[0.071]		[0.063]
nidoXreggio								0.129		0.113
								[0.114]		[0.114]
Padova									0.067	
									[0.044]	
Constant	0.646	0.650	0.447	-0.230	-0.367	-3.172	0.309	-0.172	0.097	0.034
	[0.433]	[0.440]	[0.456]	[0.313]	[0.472]	[2.429]	[0.346]	[0.504]	[0.320]	[0.425]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.158	0.158	0.167	0.111	0.190	0.859	0.112	0.150	0.154	0.262
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.75	.75	.75	.75	.75	.75	.75	.75	.75	.75
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
