	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.085**	0.198	-0.079	0.004	0.043	0.004	0.014	-0.010	-0.031	0.038
	[0.042]	[0.582]	[0.156]	[0.033]	[0.043]	[0.033]	[0.041]	[0.075]	[0.049]	[0.152]
asilo_Municipal								-0.084		-0.214
								[0.059]		[0.134]
nido	0.081*	-0.195	0.073	-0.007	-0.101**	-0.020	-0.019	0.027	0.026	0.028
	[0.043]	[0.536]	[0.048]	[0.028]	[0.047]	[0.027]	[0.030]	[0.045]	[0.040]	[0.123]
unobsA			-0.092							
			[0.232]							
unobsA2			0.081							
			[0.092]							
unobsA3			0.259							
			[0.294]							
Age	-0.020	0.003	-0.011	0.040	-0.036	0.037	0.037	0.034	-0.013	-0.124**
	[0.046]	[0.057]	[0.046]	[0.034]	[0.046]	[0.035]	[0.036]	[0.030]	[0.037]	[0.051]
Male	-0.036	-0.030	-0.029	0.046*	0.024	0.043*	0.005	0.010	0.020	-0.016
	[0.034]	[0.035]	[0.033]	[0.024]	[0.033]	[0.023]	[0.025]	[0.028]	[0.028]	[0.036]
poorBHealth	0.084***	0.083***	0.084***	0.008	0.010	0.047*	0.071***	0.041*	0.023	-0.039
	[0.025]	[0.025]	[0.028]	[0.035]	[0.039]	[0.024]	[0.024]	[0.022]	[0.042]	[0.064]
oldsibs	0.040	0.045	0.038	0.011	0.102**	0.006	0.033	0.028	0.015	0.060
	[0.032]	[0.035]	[0.033]	[0.024]	[0.048]	[0.023]	[0.022]	[0.031]	[0.027]	[0.043]
momMaxEdu_Uni_F	0.055**	0.064*	0.054*	0.008	-0.051	-0.002	0.037*	0.025	0.015	-0.031
	[0.027]	[0.034]	[0.028]	[0.026]	[0.038]	[0.026]	[0.021]	[0.025]	[0.029]	[0.039]
dadMaxEdu_Uni_F	-0.041	-0.031	-0.034	0.016	-0.093*	0.025	0.008	0.019	-0.019	-0.128**
	[0.038]	[0.040]	[0.038]	[0.029]	[0.049]	[0.028]	[0.027]	[0.028]	[0.034]	[0.056]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.002	-0.019	0.017	0.039	0.045	0.061*	0.006	0.070	0.004	0.008
	[0.052]	[0.070]	[0.060]	[0.038]	[0.042]	[0.036]	[0.037]	[0.052]	[0.046]	[0.057]
HighInc_F	0.042	0.016	0.049	0.045**	0.088***	0.042*	0.035	0.054	0.032	0.071**
	[0.030]	[0.056]	[0.037]	[0.021]	[0.032]	[0.021]	[0.023]	[0.034]	[0.024]	[0.033]
HighInc_Miss	-0.151***	-0.162***	-0.160***	-0.182***	-0.153***	-0.180***	-0.129***	-0.077	-0.195***	-0.199***
	[0.056]	[0.058]	[0.057]	[0.034]	[0.048]	[0.034]	[0.039]	[0.052]	[0.036]	[0.041]
houseOwn_F	0.132**	0.149**	0.143**	0.050	0.084*	0.049	0.056	0.055	0.102**	0.142***
	[0.062]	[0.071]	[0.064]	[0.038]	[0.045]	[0.037]	[0.039]	[0.040]	[0.043]	[0.053]
distCenter	-0.000	-0.002	-0.003	-0.000	0.025**	-0.001	0.002	0.009	-0.001	0.026**
	[0.007]	[0.007]	[0.008]	[0.006]	[0.012]	[0.006]	[0.005]	[0.009]	[0.007]	[0.011]
cgRelig_F	-0.003	0.025	0.002	0.003	-0.050	-0.001	-0.010	-0.029	0.017	-0.010
	[0.041]	[0.044]	[0.041]	[0.032]	[0.036]	[0.030]	[0.030]	[0.029]	[0.034]	[0.041]
cgRelig_Miss	0.184**	0.189**	0.206***	-0.372***	-0.299**	-0.411***	0.128**	0.035	-0.314***	-0.205*
	[0.071]	[0.078]	[0.078]	[0.091]	[0.130]	[0.090]	[0.064]	[0.072]	[0.094]	[0.112]
CAPI	-0.034	-0.036	-0.037	-0.049**	-0.008	-0.039	-0.004	-0.008	-0.089***	-0.079**
	[0.033]	[0.035]	[0.034]	[0.024]	[0.032]	[0.024]	[0.024]	[0.026]	[0.028]	[0.032]
momMaxEdu_Uni_Miss	-0.140			0.082		0.067	-0.079		0.027	
	[0.177]			[0.082]		[0.082]	[0.149]		[0.098]	
Parma							0.018			
							[0.030]			
Reggio								-0.027		-0.060
								[0.031]		[0.044]
nidoXreggio								0.067		0.151
								[0.062]		[0.147]
Padova									-0.027	
									[0.033]	
Constant	1.196	0.745	1.015	0.136	1.525*	0.204	0.158	0.234	1.124	3.176***
	[0.849]	[1.089]	[0.877]	[0.651]	[0.871]	[0.659]	[0.680]	[0.572]	[0.693]	[0.956]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.142	0.106	0.148	0.219	0.303	0.246	0.082	0.077	0.247	0.369
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.91	.91	.91	.91	.91	.91	.91	.91	.91	.91
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
