	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.007	0.010	-0.036	-0.026	-0.033	0.013	-0.001	-0.251**	0.002	0.047
	[0.039]	[0.116]	[0.123]	[0.031]	[0.043]	[0.061]	[0.039]	[0.122]	[0.039]	[0.065]
unobs			0.131							
			[0.204]							
unobs2			0.120							
			[0.143]							
unobs3			-0.269							
			[0.348]							
Age	0.043	0.043	0.047	0.136***	0.269***	-0.092	0.093**	0.113	0.063*	0.026
	[0.052]	[0.052]	[0.052]	[0.039]	[0.100]	[0.181]	[0.043]	[0.098]	[0.038]	[0.108]
Male	-0.082**	-0.082**	-0.085**	-0.016	-0.196	-0.084	-0.039	0.119	-0.038	-0.322*
	[0.039]	[0.039]	[0.039]	[0.025]	[0.142]	[0.102]	[0.028]	[0.083]	[0.028]	[0.174]
poorBHealth	0.062	0.062	0.061	0.016	0.266**	0.068	0.032	0.099	0.043	0.219*
	[0.059]	[0.059]	[0.058]	[0.041]	[0.121]	[0.155]	[0.043]	[0.065]	[0.046]	[0.115]
oldsibs	-0.081	-0.080	-0.021	-0.120	-0.119	0.196	-0.113	-0.022	-0.059	-0.072
	[0.104]	[0.105]	[0.107]	[0.083]	[0.123]	[0.188]	[0.085]	[0.104]	[0.068]	[0.099]
momMaxEdu_Uni_F	-0.008	-0.008	-0.006	-0.015	0.250**	-0.225	-0.008	0.017	-0.001	-0.008
	[0.047]	[0.048]	[0.049]	[0.028]	[0.101]	[0.173]	[0.032]	[0.072]	[0.030]	[0.043]
dadMaxEdu_Uni_F	-0.001	-0.001	0.004	-0.020	0.028	0.269**	-0.001	0.150**	-0.035	-0.016
	[0.050]	[0.051]	[0.051]	[0.031]	[0.107]	[0.105]	[0.034]	[0.065]	[0.033]	[0.058]
momMaxEdu_Uni_Miss	0.260***	0.261***	0.277***	0.168***	0.424***	0.103	0.201***	0.218***	0.198***	0.379***
	[0.060]	[0.061]	[0.069]	[0.040]	[0.136]	[0.213]	[0.034]	[0.068]	[0.052]	[0.141]
dadMaxEdu_Uni_Miss	-0.120	-0.121	-0.130	-0.047	-0.334***	0.380***	-0.064	-0.335***	-0.082	-0.242**
	[0.086]	[0.088]	[0.090]	[0.049]	[0.117]	[0.088]	[0.061]	[0.109]	[0.054]	[0.122]
HighInc_F	-0.005	-0.005	-0.006	-0.012	-0.054	0.191	0.010	-0.023	0.008	-0.053
	[0.044]	[0.045]	[0.045]	[0.032]	[0.107]	[0.143]	[0.034]	[0.065]	[0.033]	[0.048]
HighInc_Miss	-0.250***	-0.250***	-0.256***	-0.152***	-0.375***	-0.229	-0.159***	-0.195**	-0.233***	-0.321***
	[0.053]	[0.053]	[0.053]	[0.034]	[0.117]	[0.173]	[0.039]	[0.076]	[0.037]	[0.065]
houseOwn_F	0.054	0.055	0.054	0.056**	-0.099	0.203*	0.071**	0.024	0.041	0.046
	[0.039]	[0.039]	[0.040]	[0.027]	[0.072]	[0.116]	[0.032]	[0.067]	[0.027]	[0.034]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.022***	0.022***	0.023***	-0.001	-0.005	-0.170***	0.015***	0.009	0.013**	-0.021
	[0.007]	[0.007]	[0.007]	[0.006]	[0.019]	[0.045]	[0.005]	[0.010]	[0.006]	[0.017]
cgRelig_F	-0.046	-0.045	-0.060	-0.040	-0.057	0.110	-0.035	0.062	-0.050	-0.145**
	[0.047]	[0.056]	[0.061]	[0.034]	[0.084]	[0.068]	[0.039]	[0.080]	[0.034]	[0.063]
cgRelig_Miss	0.054	0.054	0.249**	-0.434***	-0.360***	-0.524***	0.016	0.027	-0.451***	-0.621***
	[0.165]	[0.165]	[0.109]	[0.114]	[0.103]	[0.178]	[0.136]	[0.141]	[0.117]	[0.090]
CAPI	0.051	0.051	0.052	0.050*	0.075	0.181*	0.097***	0.237***	0.003	-0.041
	[0.042]	[0.041]	[0.042]	[0.025]	[0.089]	[0.109]	[0.029]	[0.083]	[0.028]	[0.060]
houseOwn_Miss	-0.179	-0.177		-0.422		-0.367	-0.194		-0.212	
	[0.380]	[0.383]		[0.263]		[0.266]	[0.244]		[0.235]	
Parma							0.003			
							[0.035]			
Reggio								0.170**		-0.083*
								[0.086]		[0.044]
materna_Municipal								0.253**		-0.047
								[0.115]		[0.047]
Padova									0.042	
									[0.035]	
Constant	0.586	0.584	0.562	-0.001	-0.709	1.692	0.181	-0.333	0.500*	1.227
	[0.368]	[0.377]	[0.377]	[0.269]	[0.786]	[1.055]	[0.300]	[0.812]	[0.258]	[0.857]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.168	0.168	0.172	0.121	0.998	0.906	0.096	0.989	0.184	0.853
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.85	.85	.85	.85	.85	.85	.85	.85	.85	.85
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
