	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.074	0.166	0.392	-0.232***	-0.208***	-0.241***	-0.091	-0.022	-0.081	-0.033
	[0.055]	[0.253]	[0.307]	[0.044]	[0.048]	[0.047]	[0.056]	[0.088]	[0.055]	[0.087]
unobs			-0.678							
			[0.454]							
unobs2			0.412**							
			[0.190]							
unobs3			0.714							
			[0.579]							
Age	0.092	0.089	0.099	0.233***	0.222***	0.253***	0.117*	0.131*	0.167***	0.196***
	[0.080]	[0.082]	[0.080]	[0.051]	[0.060]	[0.054]	[0.060]	[0.068]	[0.054]	[0.058]
Male	0.004	-0.001	-0.002	-0.010	0.001	0.021	-0.018	-0.014	0.005	0.032
	[0.055]	[0.057]	[0.056]	[0.036]	[0.040]	[0.039]	[0.040]	[0.043]	[0.039]	[0.044]
poorBHealth	0.121	0.107	0.110	0.077	0.029	0.081	0.094	0.098	0.057	0.024
	[0.099]	[0.102]	[0.099]	[0.063]	[0.078]	[0.064]	[0.066]	[0.069]	[0.071]	[0.086]
oldsibs	-0.111	-0.073	-0.015	-0.080	-0.062	-0.099	-0.099	-0.053	-0.064	-0.022
	[0.094]	[0.105]	[0.094]	[0.082]	[0.083]	[0.090]	[0.080]	[0.092]	[0.070]	[0.078]
momMaxEdu_Uni_F	0.060	0.059	0.069	0.045	-0.011	0.016	0.058	-0.008	0.053	0.030
	[0.069]	[0.072]	[0.069]	[0.042]	[0.047]	[0.045]	[0.047]	[0.054]	[0.048]	[0.051]
dadMaxEdu_Uni_F	0.005	0.013	0.020	-0.034	-0.000	-0.011	-0.023	0.012	-0.065	-0.056
	[0.072]	[0.075]	[0.072]	[0.045]	[0.047]	[0.047]	[0.050]	[0.055]	[0.051]	[0.052]
momMaxEdu_Uni_Miss	-0.102	-0.070	-0.108	-0.065	-0.134	-0.050	-0.117	-0.172	-0.078	-0.129
	[0.126]	[0.146]	[0.137]	[0.175]	[0.146]	[0.198]	[0.141]	[0.133]	[0.124]	[0.104]
dadMaxEdu_Uni_Miss	-0.069	-0.103	-0.095	0.021	0.038	0.093	-0.040	-0.022	0.010	0.006
	[0.093]	[0.100]	[0.102]	[0.060]	[0.069]	[0.064]	[0.072]	[0.075]	[0.065]	[0.073]
HighInc_F	-0.001	-0.019	-0.012	0.101**	0.106**	0.102**	0.056	0.039	0.115**	0.106*
	[0.076]	[0.081]	[0.078]	[0.050]	[0.052]	[0.052]	[0.054]	[0.056]	[0.058]	[0.060]
HighInc_Miss	-0.248***	-0.252***	-0.269***	-0.060	-0.092*	-0.032	-0.067	-0.085	-0.166***	-0.176***
	[0.067]	[0.068]	[0.066]	[0.043]	[0.050]	[0.046]	[0.050]	[0.061]	[0.046]	[0.052]
houseOwn_F	0.085	0.108*	0.096	0.099**	0.123***	0.118***	0.114***	0.143***	0.091**	0.111**
	[0.057]	[0.061]	[0.059]	[0.039]	[0.042]	[0.042]	[0.043]	[0.049]	[0.041]	[0.043]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.010	0.013	0.014	-0.016*	-0.019*	-0.018*	0.001	-0.002	-0.007	-0.012
	[0.011]	[0.011]	[0.010]	[0.010]	[0.011]	[0.010]	[0.009]	[0.011]	[0.009]	[0.011]
cgRelig_F	-0.067	-0.025	-0.050	-0.077	-0.054	-0.039	-0.117**	-0.098	-0.074	-0.070
	[0.084]	[0.099]	[0.096]	[0.050]	[0.057]	[0.059]	[0.057]	[0.065]	[0.058]	[0.062]
cgRelig_Miss	0.401**	0.390*	0.616***	-0.305***	-0.402***	-0.441***	-0.054	-0.425**	-0.123	-0.221***
	[0.190]	[0.203]	[0.102]	[0.109]	[0.087]	[0.114]	[0.213]	[0.184]	[0.112]	[0.085]
CAPI	-0.198***	-0.223***	-0.194***	-0.062*	-0.090**	-0.072*	-0.019	-0.024	-0.200***	-0.225***
	[0.056]	[0.062]	[0.060]	[0.036]	[0.040]	[0.039]	[0.040]	[0.044]	[0.040]	[0.045]
houseOwn_Miss	0.024	0.129		-0.107		-0.135	0.118		0.094	
	[0.478]	[0.498]		[0.267]		[0.274]	[0.260]		[0.237]	
Parma							0.169***			
							[0.051]			
Reggio								-0.198***		-0.088
								[0.063]		[0.059]
materna_Municipal								-0.056		-0.046
								[0.063]		[0.062]
Padova									0.088*	
									[0.050]	
Constant	-0.074	-0.213	-0.486	-0.921***	-0.842**	-1.101***	-0.318	-0.203	-0.547	-0.625
	[0.544]	[0.597]	[0.571]	[0.350]	[0.411]	[0.367]	[0.414]	[0.469]	[0.371]	[0.406]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.120	0.063	0.144	0.109	0.161	0.130	0.104	0.113	0.132	0.175
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.38	.38	.38	.38	.38	.38	.38	.38	.38	.38
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
