	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.003	0.105	-0.042	0.047	0.037	0.045	-0.018	-0.041	0.006	-0.067
	[0.057]	[0.263]	[0.370]	[0.044]	[0.045]	[0.044]	[0.057]	[0.089]	[0.055]	[0.081]
unobsM			0.149							
			[0.530]							
unobsM2			-0.124							
			[0.199]							
unobsM3			-0.384							
			[0.631]							
Age	-0.169**	-0.160*	-0.177**	0.029	0.079	0.037	-0.008	0.029	-0.097*	-0.075
	[0.080]	[0.082]	[0.084]	[0.053]	[0.059]	[0.054]	[0.062]	[0.068]	[0.055]	[0.057]
Male	-0.055	-0.053	-0.066	-0.023	-0.041	-0.020	-0.050	-0.072	-0.009	-0.031
	[0.055]	[0.056]	[0.056]	[0.037]	[0.040]	[0.037]	[0.043]	[0.046]	[0.038]	[0.041]
poorBHealth	0.110	0.121	0.112	0.055	0.009	0.047	0.091	0.035	0.099	0.080
	[0.094]	[0.098]	[0.098]	[0.065]	[0.074]	[0.065]	[0.069]	[0.078]	[0.065]	[0.072]
oldsibs	0.003	0.004	0.007	0.074*	0.070*	0.078**	0.020	0.024	0.043	0.047
	[0.056]	[0.056]	[0.056]	[0.039]	[0.042]	[0.039]	[0.045]	[0.048]	[0.038]	[0.041]
momMaxEdu_Uni_F	0.034	0.045	0.047	0.030	0.038	0.034	0.038	0.037	0.086*	0.100*
	[0.060]	[0.070]	[0.069]	[0.045]	[0.050]	[0.045]	[0.050]	[0.052]	[0.045]	[0.051]
dadMaxEdu_Uni_F	0.050	0.044	0.065	0.010	0.023	0.017	0.039	0.052	0.032	0.068
	[0.072]	[0.075]	[0.073]	[0.049]	[0.053]	[0.049]	[0.056]	[0.060]	[0.051]	[0.057]
momMaxEdu_Uni_Miss	-0.156	-0.153	-0.153	0.140	0.158	0.158	-0.032	-0.112	0.053	0.010
	[0.167]	[0.172]	[0.163]	[0.118]	[0.120]	[0.118]	[0.180]	[0.209]	[0.116]	[0.119]
dadMaxEdu_Uni_Miss	-0.036	-0.048	-0.043	0.012	0.021	0.014	0.016	0.053	-0.046	-0.014
	[0.083]	[0.089]	[0.088]	[0.056]	[0.063]	[0.056]	[0.064]	[0.069]	[0.060]	[0.068]
HighInc_F	0.069	0.062	0.059	0.097**	0.120**	0.090*	0.085	0.097*	0.068	0.071
	[0.066]	[0.068]	[0.070]	[0.049]	[0.053]	[0.050]	[0.052]	[0.056]	[0.051]	[0.055]
HighInc_Miss	-0.304***	-0.310***	-0.305***	-0.222***	-0.263***	-0.217***	-0.149***	-0.165***	-0.319***	-0.338***
	[0.075]	[0.077]	[0.077]	[0.045]	[0.048]	[0.045]	[0.056]	[0.058]	[0.048]	[0.051]
houseOwn_F	0.158**	0.156**	0.156**	0.025	0.027	0.018	0.029	0.028	0.076	0.074
	[0.075]	[0.076]	[0.076]	[0.047]	[0.052]	[0.047]	[0.059]	[0.062]	[0.048]	[0.049]
distCenter	-0.001	-0.001	-0.001	-0.019*	-0.020*	-0.021**	-0.017	-0.015	0.001	-0.003
	[0.012]	[0.012]	[0.012]	[0.010]	[0.012]	[0.010]	[0.010]	[0.012]	[0.010]	[0.010]
cgRelig_F	-0.044	-0.015	-0.016	-0.086*	-0.102**	-0.092*	-0.055	-0.095	-0.079	-0.100**
	[0.065]	[0.091]	[0.092]	[0.048]	[0.050]	[0.048]	[0.054]	[0.059]	[0.049]	[0.050]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.170***	-0.182***	-0.181***	-0.106***	-0.102**	-0.104***	-0.024	-0.001	-0.228***	-0.255***
	[0.056]	[0.063]	[0.062]	[0.037]	[0.041]	[0.037]	[0.043]	[0.047]	[0.039]	[0.042]
cgRelig_Miss	0.139	0.111		-0.272***		-0.292***	-0.092		-0.207**	
	[0.345]	[0.348]		[0.083]		[0.081]	[0.305]		[0.085]	
Parma							-0.109**			
							[0.053]			
Reggio								0.113*		0.028
								[0.065]		[0.058]
materna_Municipal								0.023		0.051
								[0.068]		[0.058]
Padova									-0.003	
									[0.051]	
Constant	3.808**	3.575**	3.985**	0.169	-0.741	0.030	0.865	0.082	2.532**	2.157**
	[1.488]	[1.592]	[1.656]	[1.005]	[1.108]	[1.019]	[1.157]	[1.277]	[1.027]	[1.066]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.176	0.165	0.184	0.138	0.152	0.139	0.062	0.076	0.256	0.280
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.62	.62	.62	.62	.62	.62	.62	.62	.62	.62
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
