	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.054	-0.158	-0.121	0.056	0.049	0.058	0.045	-0.009	0.067	0.040
	[0.057]	[0.280]	[0.370]	[0.045]	[0.047]	[0.045]	[0.057]	[0.089]	[0.057]	[0.096]
unobsM			0.141							
			[0.538]							
unobsM2			-0.088							
			[0.211]							
unobsM3			0.113							
			[0.669]							
Age	-0.056	-0.073	-0.091	0.005	0.053	0.004	-0.030	-0.053	-0.041	0.024
	[0.085]	[0.090]	[0.090]	[0.055]	[0.068]	[0.055]	[0.062]	[0.063]	[0.060]	[0.072]
Male	0.076	0.072	0.066	-0.050	-0.072*	-0.056	0.030	0.006	-0.022	-0.028
	[0.057]	[0.059]	[0.058]	[0.037]	[0.043]	[0.038]	[0.042]	[0.045]	[0.041]	[0.048]
poorBHealth	0.027	0.005	0.001	0.107*	0.088	0.112*	0.114*	0.109	0.068	0.047
	[0.088]	[0.095]	[0.095]	[0.060]	[0.068]	[0.060]	[0.065]	[0.068]	[0.069]	[0.077]
oldsibs	-0.124**	-0.125**	-0.116*	0.002	-0.042	0.002	-0.104**	-0.132***	-0.026	-0.050
	[0.059]	[0.062]	[0.060]	[0.040]	[0.046]	[0.040]	[0.045]	[0.048]	[0.043]	[0.048]
momMaxEdu_Uni_F	0.155**	0.134*	0.132*	0.043	0.039	0.038	0.125**	0.102**	0.058	0.087
	[0.071]	[0.075]	[0.076]	[0.046]	[0.053]	[0.046]	[0.050]	[0.052]	[0.051]	[0.060]
dadMaxEdu_Uni_F	0.009	0.021	0.032	-0.042	-0.093	-0.046	-0.088	-0.116*	0.010	-0.032
	[0.082]	[0.085]	[0.084]	[0.050]	[0.059]	[0.050]	[0.057]	[0.062]	[0.058]	[0.068]
momMaxEdu_Uni_Miss	-0.232	-0.237	-0.232	-0.088	-0.029	-0.080	-0.189	-0.184	-0.075	0.013
	[0.193]	[0.192]	[0.196]	[0.131]	[0.139]	[0.131]	[0.175]	[0.199]	[0.141]	[0.158]
dadMaxEdu_Uni_Miss	-0.078	-0.055	-0.052	-0.005	0.045	-0.001	0.024	0.068	-0.098	-0.194**
	[0.087]	[0.093]	[0.091]	[0.060]	[0.080]	[0.060]	[0.064]	[0.074]	[0.069]	[0.081]
HighInc_F	0.054	0.069	0.065	0.093*	0.122**	0.092*	0.109**	0.151***	0.053	0.073
	[0.068]	[0.072]	[0.072]	[0.049]	[0.054]	[0.049]	[0.051]	[0.051]	[0.054]	[0.059]
HighInc_Miss	-0.017	-0.005	-0.005	-0.006	-0.043	-0.013	-0.000	0.020	-0.042	-0.065
	[0.074]	[0.078]	[0.077]	[0.045]	[0.055]	[0.046]	[0.055]	[0.059]	[0.050]	[0.056]
houseOwn_F	0.074	0.077	0.074	0.026	0.033	0.026	0.020	-0.001	0.046	0.058
	[0.086]	[0.087]	[0.087]	[0.050]	[0.061]	[0.050]	[0.059]	[0.065]	[0.055]	[0.065]
distCenter	0.026**	0.026**	0.026**	-0.010	-0.007	-0.014	0.001	0.002	0.014	0.014
	[0.012]	[0.013]	[0.013]	[0.010]	[0.012]	[0.011]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	-0.068	-0.124	-0.118	0.015	0.036	0.021	-0.058	-0.058	0.047	0.107*
	[0.069]	[0.107]	[0.107]	[0.051]	[0.060]	[0.052]	[0.055]	[0.060]	[0.056]	[0.064]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.026	0.049	0.049	0.011	0.028	0.009	0.046	0.073	-0.016	-0.004
	[0.057]	[0.067]	[0.066]	[0.038]	[0.044]	[0.038]	[0.042]	[0.045]	[0.041]	[0.047]
cgRelig_Miss	-0.376	-0.321		-0.104		-0.088	-0.166		-0.116	
	[0.290]	[0.299]		[0.100]		[0.101]	[0.241]		[0.106]	
Parma							-0.045			
							[0.053]			
Reggio								0.045		-0.030
								[0.067]		[0.063]
materna_Municipal								0.089		0.038
								[0.062]		[0.075]
Padova									0.039	
									[0.054]	
Constant	1.557	2.016	2.345	0.514	-0.391	0.538	1.182	1.530	1.293	0.045
	[1.599]	[1.746]	[1.778]	[1.038]	[1.270]	[1.044]	[1.161]	[1.189]	[1.137]	[1.349]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.081	0.035	0.080	0.026	0.036	0.028	0.050	0.073	0.035	0.061
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
