	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.080	0.460	0.010	-0.012	0.025	-0.017	0.045	0.206	0.023	-0.076
	[0.142]	[1.060]	[0.279]	[0.055]	[0.071]	[0.057]	[0.078]	[0.163]	[0.080]	[0.229]
asilo_Municipal								-0.055		0.175
								[0.122]		[0.145]
nido	0.007	-0.375	-0.011	0.106**	-0.029	0.119**	0.047	-0.084	0.048	-0.185
	[0.143]	[0.988]	[0.161]	[0.046]	[0.069]	[0.048]	[0.059]	[0.117]	[0.061]	[0.119]
unobsA			0.300							
			[0.379]							
unobsA2			0.102							
			[0.174]							
unobsA3			-0.744							
			[0.522]							
Age	0.176**	0.182*	0.168*	-0.035	0.123	-0.080	0.057	0.211**	0.029	-0.007
	[0.087]	[0.105]	[0.088]	[0.057]	[0.093]	[0.059]	[0.064]	[0.090]	[0.060]	[0.070]
Male	-0.067	-0.069	-0.073	-0.025	-0.004	-0.044	-0.089**	-0.110**	0.008	0.064
	[0.061]	[0.063]	[0.062]	[0.038]	[0.056]	[0.040]	[0.044]	[0.054]	[0.041]	[0.053]
poorBHealth	-0.194**	-0.174*	-0.168*	-0.075	0.109	-0.109	-0.132*	0.101	-0.120*	-0.074
	[0.091]	[0.102]	[0.096]	[0.063]	[0.119]	[0.067]	[0.068]	[0.108]	[0.066]	[0.086]
oldsibs	-0.050	-0.044	-0.051	-0.040	0.098	-0.024	-0.035	0.086	-0.029	-0.028
	[0.062]	[0.071]	[0.063]	[0.040]	[0.060]	[0.043]	[0.046]	[0.058]	[0.042]	[0.050]
momMaxEdu_Uni_F	0.106	0.124	0.107	0.065	0.125*	0.059	0.102*	0.178***	0.068	0.052
	[0.075]	[0.091]	[0.078]	[0.047]	[0.069]	[0.050]	[0.053]	[0.068]	[0.052]	[0.063]
dadMaxEdu_Uni_F	-0.026	-0.045	-0.065	0.044	-0.055	0.050	-0.048	-0.070	0.070	0.043
	[0.083]	[0.095]	[0.090]	[0.051]	[0.077]	[0.054]	[0.059]	[0.081]	[0.058]	[0.068]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.144	-0.205*	-0.209**	-0.057	-0.083	-0.057	-0.141**	-0.183**	-0.052	-0.052
	[0.090]	[0.119]	[0.097]	[0.058]	[0.097]	[0.061]	[0.065]	[0.088]	[0.064]	[0.077]
HighInc_F	-0.019	-0.069	-0.050	-0.020	-0.051	-0.016	-0.080	-0.150**	0.033	-0.000
	[0.076]	[0.111]	[0.083]	[0.052]	[0.078]	[0.055]	[0.055]	[0.073]	[0.059]	[0.067]
HighInc_Miss	-0.147*	-0.151*	-0.133	-0.077*	-0.167***	-0.077	-0.142***	-0.270***	-0.042	-0.072
	[0.075]	[0.078]	[0.081]	[0.046]	[0.065]	[0.048]	[0.054]	[0.069]	[0.049]	[0.062]
houseOwn_F	-0.121	-0.079	-0.118	0.077	0.107	0.082	-0.044	-0.025	0.009	0.051
	[0.081]	[0.094]	[0.087]	[0.049]	[0.066]	[0.051]	[0.059]	[0.071]	[0.050]	[0.055]
distCenter	0.001	-0.002	-0.000	-0.007	-0.028**	0.002	-0.001	-0.030**	0.001	-0.008
	[0.013]	[0.014]	[0.014]	[0.011]	[0.014]	[0.012]	[0.010]	[0.013]	[0.010]	[0.012]
cgRelig_F	0.038	0.080	0.066	0.039	0.118*	0.009	0.030	0.110	0.047	0.043
	[0.070]	[0.097]	[0.074]	[0.053]	[0.069]	[0.057]	[0.056]	[0.076]	[0.053]	[0.064]
cgRelig_Miss	-0.214*	-0.221*	-0.240**	-0.070	-0.176*	-0.119	-0.308***	-0.355**	0.008	-0.138
	[0.116]	[0.120]	[0.114]	[0.091]	[0.106]	[0.094]	[0.086]	[0.161]	[0.092]	[0.099]
CAPI	0.071	0.071	0.049	0.071*	0.135**	0.078**	0.050	0.098*	0.059	0.080*
	[0.058]	[0.063]	[0.062]	[0.038]	[0.055]	[0.040]	[0.044]	[0.055]	[0.041]	[0.048]
momMaxEdu_Uni_Miss	-0.026			0.218		0.110	0.089		0.155	
	[0.167]			[0.145]		[0.150]	[0.152]		[0.145]	
Parma							0.104*			
							[0.057]			
Reggio								-0.117		0.131*
								[0.077]		[0.068]
nidoXreggio								-0.073		0.089
								[0.163]		[0.214]
Padova									-0.109**	
									[0.051]	
Constant	-2.778*	-2.919	-2.603	0.920	-2.028	1.769	-0.591	-3.319*	-0.257	0.327
	[1.633]	[2.025]	[1.663]	[1.073]	[1.776]	[1.107]	[1.201]	[1.695]	[1.132]	[1.313]
										
Observations	293	274	274	674	636	674	539	506	569	536
R-squared	0.082	0.050	0.087	0.052	0.188	0.056	0.063	0.217	0.057	0.109
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.41	.41	.41	.41	.41	.41	.41	.41	.41	.41
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
