	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.039	-0.433	-0.244	-0.004	-0.033	-0.004	-0.011	-0.025	0.020	-0.168
	[0.135]	[1.020]	[0.253]	[0.052]	[0.071]	[0.054]	[0.073]	[0.222]	[0.077]	[0.297]
asilo_Municipal								-0.042		0.115
								[0.148]		[0.221]
nido	0.062	0.430	0.143	0.021	-0.025	0.009	0.025	0.005	-0.005	-0.158
	[0.137]	[0.948]	[0.130]	[0.043]	[0.060]	[0.046]	[0.054]	[0.148]	[0.059]	[0.204]
unobsA			0.211							
			[0.382]							
unobsA2			-0.092							
			[0.181]							
unobsA3			-0.245							
			[0.548]							
Age	0.197**	0.172*	0.186**	-0.076	-0.209**	-0.065	0.076	-0.117	0.007	-0.051
	[0.085]	[0.103]	[0.088]	[0.053]	[0.085]	[0.057]	[0.061]	[0.105]	[0.059]	[0.070]
Male	-0.027	-0.008	-0.007	-0.011	-0.054	-0.000	-0.018	-0.057	-0.024	-0.019
	[0.057]	[0.060]	[0.059]	[0.036]	[0.050]	[0.039]	[0.041]	[0.057]	[0.040]	[0.051]
poorBHealth	0.074	0.092	0.094	-0.062	0.021	-0.109	-0.070	0.061	0.026	0.048
	[0.098]	[0.103]	[0.103]	[0.061]	[0.083]	[0.070]	[0.070]	[0.087]	[0.068]	[0.074]
oldsibs	0.017	0.007	0.011	-0.018	-0.043	-0.011	-0.009	-0.062	0.000	0.020
	[0.059]	[0.068]	[0.061]	[0.038]	[0.055]	[0.040]	[0.043]	[0.067]	[0.041]	[0.046]
momMaxEdu_Uni_F	0.135**	0.109	0.121*	0.138***	0.064	0.141***	0.150***	0.081	0.123***	0.127**
	[0.067]	[0.078]	[0.069]	[0.042]	[0.063]	[0.045]	[0.049]	[0.075]	[0.046]	[0.055]
dadMaxEdu_Uni_F	0.050	0.061	0.068	0.120***	0.191***	0.111**	0.067	0.223***	0.105**	0.092
	[0.075]	[0.083]	[0.080]	[0.045]	[0.069]	[0.049]	[0.055]	[0.084]	[0.051]	[0.059]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.190**	-0.162	-0.183*	-0.007	0.209***	-0.025	-0.094	0.130*	-0.063	-0.000
	[0.091]	[0.121]	[0.102]	[0.058]	[0.071]	[0.062]	[0.064]	[0.072]	[0.066]	[0.078]
HighInc_F	0.005	0.050	0.030	-0.014	-0.068	-0.019	-0.053	-0.174**	0.023	0.068
	[0.071]	[0.106]	[0.079]	[0.049]	[0.076]	[0.053]	[0.052]	[0.076]	[0.056]	[0.067]
HighInc_Miss	0.021	0.016	0.002	0.025	-0.036	0.030	0.016	-0.108	0.067	0.090
	[0.076]	[0.083]	[0.084]	[0.045]	[0.072]	[0.048]	[0.052]	[0.084]	[0.049]	[0.069]
houseOwn_F	-0.041	-0.050	-0.030	-0.081*	-0.022	-0.087*	-0.013	0.033	-0.087*	-0.077
	[0.079]	[0.095]	[0.089]	[0.047]	[0.062]	[0.048]	[0.057]	[0.081]	[0.049]	[0.055]
distCenter	0.013	0.015	0.013	0.007	0.014	0.014	0.007	0.012	0.013	0.019
	[0.012]	[0.012]	[0.013]	[0.010]	[0.013]	[0.010]	[0.010]	[0.012]	[0.010]	[0.012]
cgRelig_F	-0.109*	-0.123	-0.111	-0.088*	0.026	-0.084	-0.072	-0.004	-0.125**	-0.095
	[0.065]	[0.095]	[0.072]	[0.048]	[0.069]	[0.053]	[0.052]	[0.077]	[0.049]	[0.070]
cgRelig_Miss	0.254**	0.290***	0.292**	0.120*	0.213**	0.121*	0.236***	0.315**	0.134*	0.194**
	[0.111]	[0.110]	[0.122]	[0.070]	[0.093]	[0.073]	[0.080]	[0.126]	[0.070]	[0.091]
CAPI	-0.032	-0.029	-0.022	0.046	0.072	0.038	-0.016	0.001	0.001	0.003
	[0.057]	[0.063]	[0.060]	[0.036]	[0.052]	[0.039]	[0.041]	[0.057]	[0.040]	[0.050]
momMaxEdu_Uni_Miss	0.314***			0.190**		0.211**	0.317***		0.209**	
	[0.074]			[0.093]		[0.089]	[0.047]		[0.095]	
Parma							0.032			
							[0.055]			
Reggio								-0.117		-0.002
								[0.082]		[0.067]
nidoXreggio								0.083		0.231
								[0.224]		[0.283]
Padova									-0.036	
									[0.052]	
Constant	-2.978*	-2.522	-2.729	2.108**	4.488***	1.902*	-0.731	2.868	0.588	1.550
	[1.599]	[1.980]	[1.660]	[1.011]	[1.619]	[1.077]	[1.139]	[1.975]	[1.112]	[1.313]
										
Observations	293	274	274	674	636	674	539	506	569	536
R-squared	0.088	0.063	0.080	0.075	0.166	0.081	0.058	0.122	0.083	0.174
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
