	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.087	1.231	0.099	0.043	0.026	0.030	0.057	0.356*	0.195**	0.188
	[0.155]	[1.127]	[0.256]	[0.055]	[0.074]	[0.057]	[0.080]	[0.210]	[0.079]	[0.234]
asilo_Municipal								-0.048		0.068
								[0.153]		[0.180]
nido	0.024	-1.041	-0.041	-0.001	-0.029	0.008	0.049	0.049	-0.094	-0.105
	[0.155]	[1.051]	[0.152]	[0.046]	[0.072]	[0.049]	[0.060]	[0.155]	[0.060]	[0.163]
unobsA			-0.004							
			[0.359]							
unobsA2			0.070							
			[0.179]							
unobsA3			0.222							
			[0.508]							
Age	-0.170*	-0.123	-0.180**	0.005	0.200**	0.021	-0.023	0.157	-0.083	0.029
	[0.087]	[0.105]	[0.088]	[0.057]	[0.095]	[0.060]	[0.065]	[0.105]	[0.060]	[0.075]
Male	-0.047	-0.037	-0.040	-0.009	-0.066	-0.009	-0.024	-0.062	-0.009	-0.014
	[0.059]	[0.066]	[0.060]	[0.038]	[0.059]	[0.041]	[0.043]	[0.064]	[0.041]	[0.054]
poorBHealth	-0.013	-0.006	-0.011	-0.027	0.186	-0.038	-0.097	0.257*	0.050	0.020
	[0.096]	[0.108]	[0.101]	[0.062]	[0.121]	[0.068]	[0.069]	[0.139]	[0.067]	[0.077]
oldsibs	0.103*	0.144*	0.113*	0.044	0.029	0.049	0.025	0.014	0.114***	0.071
	[0.061]	[0.078]	[0.063]	[0.041]	[0.062]	[0.042]	[0.046]	[0.071]	[0.043]	[0.050]
momMaxEdu_Uni_F	-0.081	-0.020	-0.055	0.049	0.057	0.088*	0.045	0.116	-0.009	0.019
	[0.073]	[0.095]	[0.075]	[0.047]	[0.072]	[0.051]	[0.054]	[0.083]	[0.052]	[0.066]
dadMaxEdu_Uni_F	0.048	0.078	0.061	-0.024	-0.101	-0.030	0.012	-0.032	0.006	-0.069
	[0.083]	[0.099]	[0.090]	[0.052]	[0.079]	[0.056]	[0.060]	[0.096]	[0.056]	[0.072]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.037	-0.185	-0.086	-0.092	-0.128	-0.078	-0.094	-0.137	-0.033	-0.134*
	[0.085]	[0.117]	[0.089]	[0.059]	[0.104]	[0.063]	[0.064]	[0.102]	[0.065]	[0.076]
HighInc_F	0.032	-0.068	0.029	0.056	0.097	0.086	0.022	0.064	0.050	0.008
	[0.074]	[0.115]	[0.079]	[0.052]	[0.082]	[0.055]	[0.055]	[0.089]	[0.057]	[0.068]
HighInc_Miss	0.170**	0.141*	0.141*	0.079*	0.109	0.096*	0.028	0.110	0.170***	0.099
	[0.076]	[0.085]	[0.079]	[0.048]	[0.078]	[0.050]	[0.055]	[0.088]	[0.050]	[0.070]
houseOwn_F	-0.120	-0.038	-0.066	-0.050	0.065	-0.066	-0.056	0.063	-0.108**	-0.044
	[0.082]	[0.098]	[0.087]	[0.052]	[0.072]	[0.053]	[0.060]	[0.082]	[0.054]	[0.063]
distCenter	-0.016	-0.008	-0.013	0.011	-0.002	0.013	0.008	-0.009	-0.009	-0.011
	[0.012]	[0.014]	[0.014]	[0.011]	[0.015]	[0.011]	[0.010]	[0.014]	[0.010]	[0.012]
cgRelig_F	0.004	0.047	-0.030	0.029	0.111	0.031	0.015	0.070	-0.029	0.045
	[0.071]	[0.097]	[0.076]	[0.053]	[0.075]	[0.058]	[0.056]	[0.079]	[0.054]	[0.068]
cgRelig_Miss	0.467***	0.421***	0.470***	0.330***	0.546***	0.319***	0.586***	0.607***	0.268***	0.506***
	[0.107]	[0.132]	[0.120]	[0.092]	[0.107]	[0.102]	[0.084]	[0.124]	[0.091]	[0.096]
CAPI	0.097*	0.109	0.100*	0.056	0.061	0.038	0.073*	0.090	0.047	0.009
	[0.058]	[0.066]	[0.060]	[0.039]	[0.059]	[0.041]	[0.044]	[0.061]	[0.041]	[0.051]
momMaxEdu_Uni_Miss	-0.139			-0.115		-0.133	-0.082		-0.097	
	[0.176]			[0.116]		[0.111]	[0.170]		[0.112]	
Parma							0.095*			
							[0.057]			
Reggio								-0.120		-0.089
								[0.092]		[0.071]
nidoXreggio								-0.244		-0.029
								[0.211]		[0.219]
Padova									0.014	
									[0.052]	
Constant	3.564**	2.554	3.727**	0.224	-3.498*	-0.095	0.724	-2.673	1.920*	-0.127
	[1.645]	[2.036]	[1.658]	[1.086]	[1.814]	[1.143]	[1.219]	[1.994]	[1.137]	[1.397]
										
Observations	293	274	274	674	636	674	539	506	569	536
R-squared	0.092	-0.071	0.101	0.053	0.213	0.059	0.043	0.132	0.108	0.275
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.38	.38	.38	.38	.38	.38	.38	.38	.38	.38
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
