	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.071	-0.064	-0.028	0.032	0.020	0.031	0.088	0.092	0.079	0.002
	[0.059]	[0.292]	[0.395]	[0.046]	[0.048]	[0.046]	[0.059]	[0.091]	[0.057]	[0.094]
unobsM			0.004							
			[0.572]							
unobsM2			-0.047							
			[0.239]							
unobsM3			0.312							
			[0.739]							
Age	-0.164*	-0.175*	-0.185**	0.027	-0.001	0.030	-0.012	0.051	-0.083	-0.119*
	[0.087]	[0.091]	[0.092]	[0.056]	[0.071]	[0.056]	[0.064]	[0.068]	[0.060]	[0.072]
Male	-0.043	-0.046	-0.046	-0.008	0.017	-0.003	-0.020	-0.033	-0.010	0.008
	[0.059]	[0.059]	[0.060]	[0.038]	[0.046]	[0.038]	[0.043]	[0.047]	[0.041]	[0.047]
poorBHealth	-0.006	-0.020	-0.028	-0.023	-0.042	-0.028	-0.093	-0.093	0.050	0.041
	[0.096]	[0.100]	[0.101]	[0.061]	[0.068]	[0.061]	[0.069]	[0.074]	[0.068]	[0.073]
oldsibs	0.101	0.100	0.103*	0.062	0.063	0.054	0.024	0.019	0.114***	0.097**
	[0.062]	[0.062]	[0.062]	[0.040]	[0.047]	[0.040]	[0.046]	[0.049]	[0.042]	[0.049]
momMaxEdu_Uni_F	-0.072	-0.085	-0.095	0.078	0.061	0.085*	0.054	0.096	-0.016	-0.058
	[0.072]	[0.078]	[0.080]	[0.048]	[0.059]	[0.048]	[0.053]	[0.060]	[0.051]	[0.059]
dadMaxEdu_Uni_F	0.050	0.058	0.063	-0.021	0.008	-0.024	0.013	0.030	0.007	0.061
	[0.082]	[0.086]	[0.085]	[0.052]	[0.064]	[0.052]	[0.060]	[0.067]	[0.056]	[0.063]
momMaxEdu_Uni_Miss	-0.121	-0.125	-0.123	-0.037	-0.137	-0.037	-0.065	-0.164	-0.097	-0.223**
	[0.165]	[0.173]	[0.165]	[0.120]	[0.107]	[0.121]	[0.161]	[0.143]	[0.108]	[0.091]
dadMaxEdu_Uni_Miss	-0.029	-0.014	-0.006	-0.070	-0.059	-0.073	-0.092	-0.152**	-0.026	0.066
	[0.083]	[0.089]	[0.088]	[0.059]	[0.083]	[0.059]	[0.063]	[0.071]	[0.064]	[0.088]
HighInc_F	0.041	0.050	0.053	0.053	0.040	0.058	0.024	-0.018	0.060	0.056
	[0.073]	[0.077]	[0.078]	[0.053]	[0.060]	[0.053]	[0.055]	[0.060]	[0.057]	[0.061]
HighInc_Miss	0.156**	0.163**	0.163**	0.066	0.101*	0.069	0.015	-0.015	0.167***	0.209***
	[0.076]	[0.078]	[0.080]	[0.046]	[0.056]	[0.046]	[0.055]	[0.058]	[0.050]	[0.056]
houseOwn_F	-0.107	-0.105	-0.109	-0.066	-0.112*	-0.061	-0.049	-0.081	-0.106**	-0.151**
	[0.081]	[0.082]	[0.082]	[0.051]	[0.063]	[0.051]	[0.059]	[0.065]	[0.054]	[0.062]
distCenter	-0.018	-0.019	-0.019	0.004	0.008	0.007	0.006	0.008	-0.011	-0.012
	[0.012]	[0.012]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	0.014	-0.022	-0.034	0.009	-0.037	0.013	0.024	0.036	-0.019	-0.065
	[0.072]	[0.101]	[0.103]	[0.052]	[0.063]	[0.052]	[0.057]	[0.063]	[0.054]	[0.061]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.094	0.108*	0.118*	0.064*	0.065	0.058	0.070	0.031	0.047	0.063
	[0.058]	[0.065]	[0.066]	[0.038]	[0.046]	[0.038]	[0.044]	[0.048]	[0.041]	[0.047]
cgRelig_Miss	0.469***	0.504***		0.325***		0.328***	0.572***		0.285***	
	[0.112]	[0.138]		[0.090]		[0.090]	[0.080]		[0.092]	
Parma							0.108**			
							[0.054]			
Reggio								-0.101		0.021
								[0.064]		[0.062]
materna_Municipal								-0.008		0.082
								[0.068]		[0.072]
Padova									-0.013	
									[0.052]	
Constant	3.462**	3.754**	3.946**	-0.158	0.421	-0.238	0.522	-0.491	1.914*	2.625*
	[1.652]	[1.758]	[1.822]	[1.063]	[1.340]	[1.067]	[1.207]	[1.288]	[1.148]	[1.357]
										
Observations	293	293	290	684	645	684	539	535	569	531
R-squared	0.085	0.068	0.073	0.055	0.032	0.057	0.040	0.042	0.101	0.095
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.38	.38	.38	.38	.38	.38	.38	.38	.38	.38
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
