	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.083	0.032	-0.478	0.018	0.016	0.022	0.092*	0.015	0.081	0.016
	[0.057]	[0.267]	[0.332]	[0.040]	[0.042]	[0.040]	[0.055]	[0.082]	[0.055]	[0.081]
unobsM			0.997**							
			[0.470]							
unobsM2			-0.358							
			[0.234]							
unobsM3			-1.444**							
			[0.619]							
Age	0.052	0.048	0.031	-0.061	-0.050	-0.060	0.011	0.058	-0.037	-0.065
	[0.083]	[0.087]	[0.088]	[0.049]	[0.056]	[0.050]	[0.055]	[0.061]	[0.058]	[0.063]
Male	-0.047	-0.048	-0.055	0.016	0.011	0.017	-0.023	-0.029	-0.008	-0.019
	[0.056]	[0.056]	[0.056]	[0.033]	[0.039]	[0.033]	[0.039]	[0.043]	[0.039]	[0.043]
poorBHealth	-0.126	-0.131	-0.152	-0.047	-0.061	-0.045	-0.119*	-0.124*	-0.061	-0.086
	[0.102]	[0.106]	[0.105]	[0.060]	[0.067]	[0.060]	[0.067]	[0.072]	[0.069]	[0.075]
oldsibs	0.091	0.091	0.088	0.019	0.045	0.017	0.050	0.070*	0.041	0.043
	[0.057]	[0.057]	[0.057]	[0.034]	[0.038]	[0.034]	[0.040]	[0.041]	[0.038]	[0.042]
momMaxEdu_Uni_F	0.034	0.029	0.010	0.122***	0.162***	0.128***	0.097**	0.120**	0.087*	0.106**
	[0.069]	[0.076]	[0.076]	[0.040]	[0.045]	[0.040]	[0.048]	[0.049]	[0.045]	[0.052]
dadMaxEdu_Uni_F	0.106	0.109	0.118	0.093**	0.106**	0.086**	0.058	0.078	0.108**	0.129**
	[0.073]	[0.076]	[0.074]	[0.042]	[0.047]	[0.043]	[0.051]	[0.052]	[0.049]	[0.057]
momMaxEdu_Uni_Miss	0.225***	0.224***	0.229***	0.083	0.103	0.064	0.269***	0.243***	0.062	0.073
	[0.068]	[0.071]	[0.067]	[0.111]	[0.122]	[0.120]	[0.044]	[0.055]	[0.108]	[0.108]
dadMaxEdu_Uni_Miss	-0.068	-0.063	-0.060	-0.046	-0.076	-0.046	-0.101	-0.129*	0.011	0.053
	[0.088]	[0.092]	[0.092]	[0.056]	[0.070]	[0.056]	[0.063]	[0.075]	[0.063]	[0.066]
HighInc_F	-0.105	-0.102	-0.090	-0.055	-0.077	-0.054	-0.132***	-0.171***	-0.043	-0.056
	[0.069]	[0.071]	[0.072]	[0.046]	[0.051]	[0.047]	[0.049]	[0.052]	[0.053]	[0.057]
HighInc_Miss	-0.081	-0.078	-0.057	0.022	0.013	0.030	-0.068	-0.090*	0.043	0.062
	[0.073]	[0.075]	[0.076]	[0.041]	[0.045]	[0.041]	[0.048]	[0.055]	[0.048]	[0.049]
houseOwn_F	-0.033	-0.032	-0.021	-0.016	-0.046	-0.012	0.048	0.036	-0.093**	-0.098**
	[0.073]	[0.073]	[0.074]	[0.043]	[0.049]	[0.043]	[0.054]	[0.059]	[0.046]	[0.048]
distCenter	0.009	0.009	0.003	0.001	0.001	0.003	0.008	0.008	0.002	0.001
	[0.011]	[0.012]	[0.012]	[0.009]	[0.010]	[0.009]	[0.009]	[0.009]	[0.009]	[0.011]
cgRelig_F	-0.106*	-0.120	-0.118	-0.056	-0.093*	-0.053	-0.073	-0.114**	-0.105**	-0.157***
	[0.061]	[0.097]	[0.097]	[0.044]	[0.048]	[0.045]	[0.048]	[0.055]	[0.047]	[0.047]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.014	-0.008	-0.013	0.058*	0.086**	0.053	-0.014	-0.018	0.030	0.059
	[0.057]	[0.063]	[0.063]	[0.033]	[0.039]	[0.033]	[0.039]	[0.043]	[0.039]	[0.043]
cgRelig_Miss	0.179*	0.192		0.094		0.091	0.153**		0.086	
	[0.108]	[0.122]		[0.060]		[0.062]	[0.073]		[0.064]	
Parma							0.137***			
							[0.050]			
Reggio								-0.084		0.009
								[0.062]		[0.059]
materna_Municipal								0.050		0.049
								[0.060]		[0.059]
Padova									0.029	
									[0.053]	
Constant	-0.210	-0.099	0.569	1.848**	1.673	1.826*	0.466	-0.266	1.453	1.987*
	[1.574]	[1.697]	[1.743]	[0.936]	[1.052]	[0.946]	[1.037]	[1.147]	[1.105]	[1.183]
										
Observations	293	293	290	684	645	684	539	535	569	531
R-squared	0.074	0.071	0.087	0.061	0.072	0.061	0.070	0.086	0.070	0.081
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.71	.71	.71	.71	.71	.71	.71	.71	.71	.71
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
