	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.036	0.488	0.100	-0.026	0.033	-0.049	-0.014	0.156	0.059	0.430
	[0.161]	[1.060]	[0.280]	[0.055]	[0.076]	[0.057]	[0.079]	[0.247]	[0.082]	[0.284]
asilo_Municipal								0.058		-0.260
								[0.142]		[0.197]
nido	-0.110	-0.523	-0.067	-0.074*	-0.134**	-0.024	-0.059	-0.253*	-0.132**	0.100
	[0.162]	[0.985]	[0.174]	[0.045]	[0.063]	[0.047]	[0.058]	[0.137]	[0.062]	[0.182]
unobsA			-0.250							
			[0.358]							
unobsA2			0.466***							
			[0.161]							
unobsA3			0.489							
			[0.487]							
Age	-0.042	-0.009	-0.024	-0.007	0.172**	0.008	-0.007	0.204**	-0.007	0.006
	[0.090]	[0.107]	[0.091]	[0.057]	[0.077]	[0.060]	[0.065]	[0.091]	[0.061]	[0.065]
Male	-0.003	-0.000	0.001	-0.096**	-0.147***	-0.102***	-0.060	-0.118**	-0.048	-0.065
	[0.061]	[0.064]	[0.061]	[0.037]	[0.048]	[0.039]	[0.043]	[0.051]	[0.041]	[0.047]
poorBHealth	-0.008	0.009	0.027	0.090	0.233***	0.120*	0.011	0.164	0.092	0.104
	[0.106]	[0.114]	[0.108]	[0.059]	[0.088]	[0.063]	[0.070]	[0.113]	[0.064]	[0.069]
oldsibs	-0.011	-0.031	-0.034	-0.056	-0.000	-0.048	-0.030	0.007	-0.024	-0.044
	[0.062]	[0.069]	[0.062]	[0.040]	[0.051]	[0.043]	[0.046]	[0.054]	[0.042]	[0.045]
momMaxEdu_Uni_F	-0.110	-0.107	-0.128*	-0.059	0.028	-0.068	-0.087*	0.008	-0.045	-0.048
	[0.075]	[0.086]	[0.076]	[0.046]	[0.057]	[0.048]	[0.052]	[0.062]	[0.052]	[0.062]
dadMaxEdu_Uni_F	0.156*	0.215**	0.208**	0.042	-0.117*	-0.013	0.065	-0.055	0.108*	0.110*
	[0.087]	[0.097]	[0.090]	[0.051]	[0.067]	[0.052]	[0.059]	[0.074]	[0.057]	[0.066]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.023	-0.012	0.049	-0.036	-0.312***	-0.039	-0.034	-0.333***	0.010	-0.087
	[0.091]	[0.121]	[0.103]	[0.059]	[0.107]	[0.060]	[0.065]	[0.114]	[0.067]	[0.077]
HighInc_F	-0.036	-0.055	0.011	-0.018	-0.024	0.013	-0.022	-0.018	-0.033	-0.088
	[0.077]	[0.112]	[0.082]	[0.052]	[0.066]	[0.054]	[0.055]	[0.066]	[0.059]	[0.068]
HighInc_Miss	0.078	0.068	0.099	0.082*	0.121**	0.119**	0.003	0.029	0.115**	0.073
	[0.077]	[0.083]	[0.083]	[0.046]	[0.059]	[0.047]	[0.054]	[0.067]	[0.049]	[0.061]
houseOwn_F	-0.092	-0.097	-0.130	-0.010	0.013	0.006	0.039	0.031	-0.083*	-0.100*
	[0.082]	[0.097]	[0.086]	[0.049]	[0.066]	[0.051]	[0.059]	[0.082]	[0.050]	[0.051]
distCenter	0.022*	0.024*	0.026*	0.026***	-0.002	0.028***	0.032***	0.002	0.016	0.015
	[0.013]	[0.014]	[0.014]	[0.010]	[0.015]	[0.011]	[0.010]	[0.014]	[0.010]	[0.012]
cgRelig_F	-0.039	-0.008	-0.048	0.027	0.082	0.047	-0.033	-0.002	0.014	0.080
	[0.071]	[0.099]	[0.078]	[0.053]	[0.068]	[0.056]	[0.056]	[0.068]	[0.056]	[0.070]
cgRelig_Miss	-0.641***	-0.645***	-0.635***	0.138	0.246**	0.178**	-0.570***	-0.605***	0.071	0.295***
	[0.095]	[0.105]	[0.106]	[0.086]	[0.097]	[0.086]	[0.069]	[0.101]	[0.090]	[0.096]
CAPI	0.051	0.045	0.031	0.002	0.019	-0.021	-0.014	-0.003	0.066	0.038
	[0.060]	[0.065]	[0.062]	[0.038]	[0.049]	[0.039]	[0.043]	[0.052]	[0.041]	[0.049]
momMaxEdu_Uni_Miss	0.201			-0.107		-0.153	0.167		-0.038	
	[0.165]			[0.146]		[0.157]	[0.161]		[0.136]	
Parma							0.049			
							[0.057]			
Reggio								-0.096		0.025
								[0.070]		[0.067]
nidoXreggio								-0.045		-0.341
								[0.241]		[0.273]
Padova									0.018	
									[0.054]	
Constant	1.419	0.793	0.963	0.753	-2.516*	0.416	0.709	-2.974*	0.729	0.536
	[1.690]	[2.049]	[1.708]	[1.071]	[1.453]	[1.132]	[1.211]	[1.694]	[1.150]	[1.231]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.072	0.037	0.099	0.063	0.206	0.072	0.058	0.169	0.071	0.169
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.58	.58	.58	.58	.58	.58	.58	.58	.58	.58
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
