	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.065	0.362	0.009	0.116**	0.149**	0.116**	0.052	0.133	0.079	0.171
	[0.146]	[1.054]	[0.252]	[0.053]	[0.074]	[0.055]	[0.077]	[0.224]	[0.081]	[0.341]
asilo_Municipal								-0.041		-0.071
								[0.156]		[0.293]
nido	-0.079	-0.376	-0.164	-0.082*	-0.069	-0.064	-0.063	-0.072	-0.082	0.090
	[0.149]	[0.982]	[0.153]	[0.044]	[0.064]	[0.047]	[0.056]	[0.152]	[0.062]	[0.284]
unobsA			0.314							
			[0.358]							
unobsA2			0.436**							
			[0.184]							
unobsA3			-0.493							
			[0.541]							
Age	-0.019	0.003	0.005	-0.044	-0.042	-0.074	0.009	0.039	-0.038	-0.081
	[0.092]	[0.112]	[0.092]	[0.055]	[0.086]	[0.059]	[0.064]	[0.094]	[0.061]	[0.071]
Male	0.028	0.024	0.024	-0.083**	-0.091*	-0.044	0.010	-0.054	-0.053	-0.026
	[0.060]	[0.062]	[0.061]	[0.037]	[0.055]	[0.039]	[0.042]	[0.056]	[0.042]	[0.051]
poorBHealth	-0.015	0.019	0.048	0.078	0.315***	0.082	0.040	0.322**	0.039	0.053
	[0.110]	[0.121]	[0.120]	[0.064]	[0.119]	[0.074]	[0.073]	[0.129]	[0.074]	[0.086]
oldsibs	0.041	0.046	0.048	0.045	0.011	0.048	0.009	-0.057	0.064	0.023
	[0.063]	[0.071]	[0.065]	[0.039]	[0.057]	[0.041]	[0.044]	[0.065]	[0.043]	[0.046]
momMaxEdu_Uni_F	0.007	0.037	0.024	0.016	-0.003	0.014	0.008	0.047	0.002	-0.015
	[0.077]	[0.088]	[0.079]	[0.046]	[0.063]	[0.049]	[0.053]	[0.070]	[0.053]	[0.064]
dadMaxEdu_Uni_F	0.176**	0.128	0.117	0.032	0.053	0.028	0.107*	0.155*	0.078	0.069
	[0.088]	[0.097]	[0.093]	[0.051]	[0.071]	[0.054]	[0.060]	[0.091]	[0.059]	[0.069]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.106	-0.148	-0.129	-0.152***	-0.105	-0.141**	-0.121**	-0.045	-0.153**	-0.127
	[0.081]	[0.109]	[0.084]	[0.053]	[0.093]	[0.059]	[0.056]	[0.087]	[0.060]	[0.081]
HighInc_F	0.100	0.059	0.102	0.086*	0.031	0.075	0.100*	0.023	0.069	0.004
	[0.076]	[0.111]	[0.081]	[0.052]	[0.075]	[0.056]	[0.056]	[0.083]	[0.059]	[0.068]
HighInc_Miss	0.049	0.049	0.074	0.025	-0.031	0.015	0.027	-0.074	0.043	-0.004
	[0.076]	[0.079]	[0.081]	[0.046]	[0.060]	[0.048]	[0.053]	[0.062]	[0.050]	[0.064]
houseOwn_F	0.088	0.099	0.067	0.038	0.063	0.019	0.050	0.045	0.069	0.120**
	[0.076]	[0.092]	[0.084]	[0.047]	[0.075]	[0.050]	[0.055]	[0.089]	[0.051]	[0.061]
distCenter	0.012	0.009	0.011	0.005	0.002	0.016	0.006	-0.001	0.006	0.009
	[0.013]	[0.014]	[0.014]	[0.010]	[0.013]	[0.011]	[0.010]	[0.012]	[0.011]	[0.012]
cgRelig_F	0.095	0.140	0.114	0.050	0.061	0.025	0.058	0.066	0.079	0.102
	[0.070]	[0.089]	[0.073]	[0.052]	[0.063]	[0.057]	[0.054]	[0.072]	[0.055]	[0.066]
cgRelig_Miss	0.260	0.288	0.281	0.383***	0.559***	0.422***	0.341	0.546***	0.374***	0.555***
	[0.264]	[0.270]	[0.245]	[0.091]	[0.093]	[0.092]	[0.216]	[0.151]	[0.094]	[0.089]
CAPI	0.010	0.035	0.015	0.038	0.154***	0.039	-0.000	0.118**	0.040	0.071
	[0.059]	[0.062]	[0.061]	[0.037]	[0.052]	[0.040]	[0.042]	[0.053]	[0.042]	[0.050]
momMaxEdu_Uni_Miss	0.073			-0.047		-0.085	-0.004		-0.044	
	[0.172]			[0.121]		[0.111]	[0.138]		[0.122]	
Parma							-0.074			
							[0.056]			
Reggio								0.141*		0.117*
								[0.080]		[0.067]
nidoXreggio								-0.066		-0.234
								[0.223]		[0.334]
Padova									-0.031	
									[0.054]	
Constant	0.489	0.057	0.028	1.084	0.974	1.620	0.087	-0.552	0.936	1.621
	[1.726]	[2.145]	[1.737]	[1.037]	[1.646]	[1.116]	[1.189]	[1.769]	[1.150]	[1.336]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.068	0.050	0.086	0.085	0.290	0.091	0.059	0.156	0.082	0.260
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.41	.41	.41	.41	.41	.41	.41	.41	.41	.41
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
