	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.047	-0.230	-0.634	0.045	0.043	0.048	-0.048	-0.106	-0.050	-0.176*
	[0.060]	[0.275]	[0.408]	[0.044]	[0.046]	[0.044]	[0.058]	[0.086]	[0.059]	[0.096]
unobsM			0.949							
			[0.590]							
unobsM2			-0.326							
			[0.232]							
unobsM3			-1.189*							
			[0.706]							
Age	-0.027	-0.041	-0.041	-0.033	-0.017	-0.036	-0.004	0.024	-0.040	-0.003
	[0.092]	[0.096]	[0.097]	[0.054]	[0.060]	[0.054]	[0.063]	[0.064]	[0.061]	[0.070]
Male	0.026	0.022	0.023	-0.063*	-0.059	-0.068*	0.006	0.021	-0.056	-0.027
	[0.060]	[0.062]	[0.062]	[0.036]	[0.042]	[0.036]	[0.042]	[0.044]	[0.042]	[0.047]
poorBHealth	-0.021	-0.040	-0.056	0.076	0.056	0.084	0.036	0.033	0.034	-0.006
	[0.108]	[0.110]	[0.109]	[0.064]	[0.069]	[0.064]	[0.072]	[0.071]	[0.074]	[0.078]
oldsibs	0.039	0.038	0.027	0.047	0.055	0.046	0.008	-0.010	0.065	0.072
	[0.062]	[0.064]	[0.062]	[0.038]	[0.043]	[0.039]	[0.044]	[0.045]	[0.043]	[0.048]
momMaxEdu_Uni_F	0.000	-0.019	-0.037	0.007	0.008	0.001	0.001	0.036	-0.010	-0.059
	[0.077]	[0.082]	[0.082]	[0.046]	[0.058]	[0.047]	[0.053]	[0.059]	[0.052]	[0.062]
dadMaxEdu_Uni_F	0.175**	0.185**	0.183**	0.050	0.021	0.044	0.108*	0.050	0.080	0.083
	[0.088]	[0.092]	[0.089]	[0.052]	[0.064]	[0.052]	[0.061]	[0.067]	[0.059]	[0.070]
momMaxEdu_Uni_Miss	0.071	0.067	0.071	-0.103	-0.115	-0.119	-0.011	0.060	-0.050	-0.073
	[0.171]	[0.171]	[0.178]	[0.109]	[0.125]	[0.107]	[0.139]	[0.179]	[0.120]	[0.140]
dadMaxEdu_Uni_Miss	-0.099	-0.079	-0.082	-0.181***	-0.233***	-0.185***	-0.115**	-0.167***	-0.147**	-0.202***
	[0.081]	[0.085]	[0.085]	[0.050]	[0.052]	[0.050]	[0.055]	[0.052]	[0.060]	[0.063]
HighInc_F	0.106	0.118	0.131*	0.068	0.083	0.067	0.104*	0.124**	0.073	0.072
	[0.075]	[0.078]	[0.076]	[0.053]	[0.059]	[0.053]	[0.055]	[0.060]	[0.059]	[0.065]
HighInc_Miss	0.053	0.063	0.079	0.043	0.073	0.042	0.035	0.064	0.046	0.085
	[0.076]	[0.078]	[0.079]	[0.044]	[0.048]	[0.045]	[0.053]	[0.054]	[0.050]	[0.054]
houseOwn_F	0.083	0.086	0.095	0.072	0.006	0.064	0.050	0.036	0.067	0.018
	[0.074]	[0.073]	[0.075]	[0.045]	[0.055]	[0.046]	[0.054]	[0.055]	[0.050]	[0.060]
distCenter	0.012	0.012	0.006	-0.000	0.004	-0.000	0.006	0.003	0.006	0.011
	[0.013]	[0.013]	[0.013]	[0.010]	[0.011]	[0.010]	[0.010]	[0.010]	[0.010]	[0.012]
cgRelig_F	0.080	0.032	0.038	0.039	-0.010	0.039	0.050	0.034	0.073	0.038
	[0.071]	[0.102]	[0.102]	[0.050]	[0.057]	[0.049]	[0.055]	[0.058]	[0.055]	[0.063]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.014	0.033	0.028	0.039	0.056	0.037	0.001	0.005	0.043	0.066
	[0.059]	[0.066]	[0.066]	[0.036]	[0.042]	[0.037]	[0.042]	[0.043]	[0.042]	[0.047]
cgRelig_Miss	0.272	0.319		0.381***		0.385***	0.355		0.374***	
	[0.266]	[0.276]		[0.087]		[0.088]	[0.217]		[0.094]	
Parma							-0.121**			
							[0.054]			
Reggio								0.148**		0.110*
								[0.061]		[0.063]
materna_Municipal								0.062		0.132*
								[0.062]		[0.076]
Padova									-0.074	
									[0.055]	
Constant	0.671	1.066	1.339	0.842	0.608	0.906	0.354	-0.289	1.012	0.227
	[1.721]	[1.863]	[1.904]	[1.012]	[1.130]	[1.018]	[1.174]	[1.201]	[1.157]	[1.307]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.069	0.038	0.077	0.085	0.059	0.086	0.058	0.070	0.080	0.066
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.41	.41	.41	.41	.41	.41	.41	.41	.41	.41
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
