	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.023	0.157	0.081	-0.022	-0.012	-0.023	-0.013	-0.032	-0.015	-0.045
	[0.060]	[0.261]	[0.367]	[0.048]	[0.050]	[0.048]	[0.059]	[0.083]	[0.059]	[0.093]
unobsM			0.046							
			[0.513]							
unobsM2			0.307							
			[0.233]							
unobsM3			-0.446							
			[0.632]							
Age	-0.201**	-0.187**	-0.176*	-0.033	-0.008	-0.023	-0.086	-0.088	-0.105*	-0.048
	[0.088]	[0.090]	[0.093]	[0.056]	[0.065]	[0.056]	[0.059]	[0.067]	[0.063]	[0.073]
Male	0.328***	0.338***	0.321***	0.386***	0.396***	0.390***	0.423***	0.434***	0.311***	0.304***
	[0.061]	[0.062]	[0.061]	[0.038]	[0.043]	[0.038]	[0.041]	[0.044]	[0.044]	[0.048]
poorBHealth	-0.085	-0.068	-0.056	-0.055	-0.048	-0.048	0.001	-0.024	-0.087	-0.079
	[0.108]	[0.114]	[0.114]	[0.071]	[0.075]	[0.072]	[0.075]	[0.077]	[0.080]	[0.085]
oldsibs	-0.030	-0.031	-0.030	0.046	0.044	0.049	0.008	0.037	0.008	0.008
	[0.063]	[0.063]	[0.062]	[0.041]	[0.049]	[0.041]	[0.044]	[0.047]	[0.046]	[0.052]
momMaxEdu_Uni_F	-0.060	-0.037	-0.021	0.059	0.048	0.060	-0.011	-0.036	0.005	0.008
	[0.071]	[0.081]	[0.080]	[0.047]	[0.055]	[0.048]	[0.048]	[0.056]	[0.053]	[0.062]
dadMaxEdu_Uni_F	0.033	0.030	0.022	0.040	0.062	0.045	0.039	0.032	0.056	0.075
	[0.089]	[0.093]	[0.090]	[0.052]	[0.060]	[0.052]	[0.057]	[0.062]	[0.061]	[0.069]
momMaxEdu_Uni_Miss	0.278	0.282	0.254	0.099	0.025	0.082	0.207	0.156	0.167	0.124
	[0.229]	[0.248]	[0.230]	[0.141]	[0.148]	[0.135]	[0.190]	[0.210]	[0.147]	[0.149]
dadMaxEdu_Uni_Miss	-0.006	-0.031	-0.029	0.024	0.011	0.028	-0.023	-0.048	0.039	0.027
	[0.091]	[0.100]	[0.099]	[0.062]	[0.076]	[0.062]	[0.064]	[0.076]	[0.072]	[0.076]
HighInc_F	0.026	0.014	0.006	-0.049	-0.064	-0.048	0.002	-0.012	0.003	0.010
	[0.073]	[0.076]	[0.075]	[0.051]	[0.054]	[0.051]	[0.052]	[0.055]	[0.058]	[0.062]
HighInc_Miss	-0.070	-0.067	-0.074	-0.117**	-0.124**	-0.114**	-0.047	-0.050	-0.154***	-0.167***
	[0.083]	[0.082]	[0.087]	[0.047]	[0.054]	[0.047]	[0.053]	[0.059]	[0.055]	[0.059]
houseOwn_F	0.029	0.026	0.041	-0.033	-0.001	-0.034	-0.011	0.002	0.007	0.015
	[0.079]	[0.079]	[0.077]	[0.052]	[0.060]	[0.052]	[0.056]	[0.061]	[0.058]	[0.068]
distCenter	-0.013	-0.013	-0.009	-0.022**	-0.024**	-0.025**	-0.025***	-0.029***	-0.007	-0.003
	[0.013]	[0.013]	[0.014]	[0.010]	[0.011]	[0.010]	[0.009]	[0.010]	[0.011]	[0.012]
cgRelig_F	-0.106	-0.061	-0.062	-0.067	-0.073	-0.068	-0.088*	-0.099*	-0.109*	-0.128*
	[0.076]	[0.103]	[0.111]	[0.051]	[0.063]	[0.051]	[0.053]	[0.059]	[0.059]	[0.066]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.005	-0.026	-0.043	0.003	0.002	0.003	0.063	0.058	-0.059	-0.060
	[0.060]	[0.070]	[0.072]	[0.038]	[0.043]	[0.038]	[0.042]	[0.044]	[0.045]	[0.047]
cgRelig_Miss	-0.752***	-0.820***		-0.476***		-0.470***	-0.432		-0.509***	
	[0.117]	[0.147]		[0.089]		[0.088]	[0.267]		[0.086]	
Parma							0.024			
							[0.050]			
Reggio								0.016		0.023
								[0.056]		[0.062]
materna_Municipal								-0.004		-0.004
								[0.061]		[0.073]
Padova									0.025	
									[0.053]	
Constant	4.316**	3.940**	3.684**	1.177	0.683	0.982	2.113*	2.181*	2.539**	1.472
	[1.664]	[1.747]	[1.845]	[1.061]	[1.220]	[1.062]	[1.111]	[1.253]	[1.196]	[1.386]
										
Observations	267	267	266	578	566	578	502	500	467	456
R-squared	0.169	0.139	0.179	0.204	0.192	0.210	0.219	0.234	0.175	0.151
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.55	.55	.55	.55	.55	.55	.55	.55	.55	.55
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
