	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.009	0.443	0.094	-0.078**	-0.019	-0.085**	-0.055	-0.017	-0.052	0.450
	[0.082]	[0.567]	[0.148]	[0.034]	[0.053]	[0.037]	[0.047]	[0.136]	[0.050]	[0.290]
asilo_Municipal								0.037		-0.475*
								[0.093]		[0.271]
nido	0.010	-0.383	0.045	0.057*	0.032	0.065**	0.046	-0.044	0.053	0.501*
	[0.083]	[0.512]	[0.088]	[0.030]	[0.036]	[0.032]	[0.037]	[0.101]	[0.043]	[0.268]
unobsA			-0.280							
			[0.241]							
unobsA2			0.057							
			[0.124]							
unobsA3			0.482							
			[0.414]							
Age	-0.131**	-0.091	-0.116**	0.008	0.037	0.008	-0.033	0.061	-0.048	-0.043
	[0.058]	[0.059]	[0.054]	[0.033]	[0.052]	[0.036]	[0.037]	[0.057]	[0.038]	[0.052]
Male	-0.036	-0.020	-0.020	0.002	0.033	-0.012	-0.015	0.036	-0.014	-0.018
	[0.031]	[0.034]	[0.030]	[0.024]	[0.036]	[0.026]	[0.026]	[0.052]	[0.023]	[0.029]
poorBHealth	-0.001	-0.026	-0.030	-0.025	-0.039	-0.017	-0.018	-0.082	0.002	0.006
	[0.057]	[0.053]	[0.051]	[0.036]	[0.059]	[0.043]	[0.039]	[0.054]	[0.041]	[0.037]
oldsibs	-0.016	0.010	-0.004	-0.011	0.001	-0.009	-0.024	-0.006	0.004	-0.009
	[0.029]	[0.036]	[0.029]	[0.025]	[0.049]	[0.027]	[0.027]	[0.058]	[0.024]	[0.026]
momMaxEdu_Uni_F	-0.018	-0.013	-0.031	0.021	0.016	0.038	0.037	0.020	-0.010	-0.017
	[0.044]	[0.045]	[0.040]	[0.027]	[0.037]	[0.033]	[0.034]	[0.052]	[0.032]	[0.030]
dadMaxEdu_Uni_F	0.068	0.074	0.068	-0.057**	-0.074**	-0.090***	-0.012	-0.025	-0.008	-0.018
	[0.056]	[0.061]	[0.056]	[0.028]	[0.034]	[0.035]	[0.040]	[0.043]	[0.034]	[0.037]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.030	-0.054	-0.006	0.006	-0.075*	-0.014	-0.020	-0.081*	0.001	-0.035
	[0.035]	[0.049]	[0.040]	[0.039]	[0.041]	[0.046]	[0.036]	[0.046]	[0.037]	[0.035]
HighInc_F	-0.056	-0.074	-0.035	-0.020	-0.055	-0.019	-0.043	-0.060	-0.027	-0.018
	[0.037]	[0.059]	[0.040]	[0.031]	[0.045]	[0.036]	[0.034]	[0.051]	[0.029]	[0.035]
HighInc_Miss	0.002	0.017	0.019	-0.048*	-0.092**	-0.049	-0.045	-0.087*	-0.025	-0.046
	[0.042]	[0.047]	[0.044]	[0.028]	[0.044]	[0.030]	[0.032]	[0.048]	[0.029]	[0.031]
houseOwn_F	-0.002	-0.002	-0.017	-0.021	-0.017	-0.014	0.003	-0.002	-0.029	-0.024
	[0.043]	[0.044]	[0.053]	[0.035]	[0.054]	[0.039]	[0.034]	[0.054]	[0.036]	[0.045]
distCenter	-0.004	-0.001	-0.001	0.003	-0.006	-0.000	0.000	-0.001	-0.003	-0.000
	[0.006]	[0.006]	[0.006]	[0.007]	[0.008]	[0.007]	[0.006]	[0.007]	[0.006]	[0.008]
cgRelig_F	0.054*	0.102**	0.073***	0.020	-0.019	-0.011	0.017	0.004	0.044*	0.052**
	[0.028]	[0.045]	[0.024]	[0.030]	[0.045]	[0.040]	[0.032]	[0.044]	[0.022]	[0.020]
cgRelig_Miss	-0.015	-0.045	-0.013	-0.042	-0.064	-0.071*	-0.040	-0.104	-0.027	0.011
	[0.051]	[0.068]	[0.061]	[0.032]	[0.043]	[0.039]	[0.039]	[0.073]	[0.032]	[0.031]
CAPI	-0.040	-0.045	-0.045	0.006	0.058*	0.025	-0.002	0.043	-0.020	-0.006
	[0.029]	[0.031]	[0.028]	[0.024]	[0.032]	[0.027]	[0.025]	[0.036]	[0.024]	[0.026]
momMaxEdu_Uni_Miss	-0.089**			-0.012		0.020	0.044		-0.076***	
	[0.042]			[0.070]		[0.098]	[0.117]		[0.025]	
Parma							0.030			
							[0.035]			
Reggio								-0.068		-0.004
								[0.060]		[0.029]
nidoXreggio								0.071		-0.426
								[0.129]		[0.285]
Padova									-0.005	
									[0.032]	
Constant	2.539**	1.715	2.137**	-0.052	-0.546	-0.031	0.693	-1.009	0.985	0.863
	[1.091]	[1.120]	[1.033]	[0.620]	[0.972]	[0.663]	[0.697]	[1.049]	[0.727]	[0.964]
										
Observations	267	250	250	576	542	576	502	472	467	439
R-squared	0.066	-0.076	0.078	0.032	0.057	0.044	0.025	0.050	0.025	0.090
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.06	.06	.06	.06	.06	.06	.06	.06	.06	.06
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
