	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.109	0.720	0.175	-0.141*	-0.159*	-0.146*	-0.018	-0.446*	-0.112	-0.368
	[0.190]	[0.587]	[0.345]	[0.073]	[0.081]	[0.074]	[0.108]	[0.240]	[0.107]	[0.232]
asilo_Municipal								0.191		0.153
								[0.199]		[0.179]
nido	0.130	-0.614	0.120	0.050	0.102	0.053	0.030	-0.095	0.142*	0.122
	[0.195]	[0.552]	[0.222]	[0.058]	[0.075]	[0.059]	[0.073]	[0.204]	[0.074]	[0.166]
unobsA			-0.088							
			[0.541]							
unobsA2			0.407							
			[0.330]							
unobsA3			-0.741							
			[0.890]							
Age	0.201	0.228	0.150	-0.006	0.057	-0.005	0.105	0.140	0.072	-0.062
	[0.131]	[0.142]	[0.130]	[0.075]	[0.104]	[0.079]	[0.086]	[0.115]	[0.085]	[0.115]
Male	-0.103	-0.127	-0.110	-0.122**	-0.057	-0.166***	-0.114*	-0.030	-0.102*	-0.004
	[0.089]	[0.099]	[0.089]	[0.052]	[0.071]	[0.053]	[0.062]	[0.083]	[0.060]	[0.084]
poorBHealth	-0.124	-0.142	-0.134	0.016	0.051	0.040	0.002	-0.012	-0.148	-0.213
	[0.136]	[0.186]	[0.172]	[0.085]	[0.107]	[0.083]	[0.086]	[0.107]	[0.111]	[0.144]
oldsibs	-0.158	-0.144	-0.134	-0.083	-0.099	-0.079	-0.138**	-0.194**	-0.061	-0.001
	[0.098]	[0.111]	[0.102]	[0.056]	[0.079]	[0.058]	[0.065]	[0.077]	[0.064]	[0.073]
momMaxEdu_Uni_F	0.033	0.072	0.066	-0.009	-0.070	-0.011	-0.067	-0.137	0.065	0.095
	[0.095]	[0.108]	[0.095]	[0.065]	[0.097]	[0.065]	[0.072]	[0.097]	[0.071]	[0.081]
dadMaxEdu_Uni_F	0.081	0.103	0.040	0.038	0.012	0.014	0.041	0.069	0.072	0.019
	[0.116]	[0.136]	[0.124]	[0.070]	[0.095]	[0.070]	[0.078]	[0.096]	[0.079]	[0.094]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.302***	-0.420***	-0.373***	-0.079	0.131	0.003	-0.134	0.104	-0.170*	-0.036
	[0.115]	[0.133]	[0.127]	[0.079]	[0.080]	[0.081]	[0.087]	[0.080]	[0.092]	[0.116]
HighInc_F	0.092	-0.022	0.065	0.070	0.190*	0.100	0.149**	0.232**	0.038	0.077
	[0.106]	[0.135]	[0.117]	[0.067]	[0.097]	[0.067]	[0.072]	[0.090]	[0.081]	[0.098]
HighInc_Miss	-0.072	-0.087	-0.036	0.033	0.170*	0.068	0.002	-0.016	-0.005	0.102
	[0.109]	[0.130]	[0.113]	[0.064]	[0.095]	[0.066]	[0.072]	[0.101]	[0.073]	[0.090]
houseOwn_F	0.026	0.062	-0.067	0.003	0.138	0.003	0.020	0.200*	0.016	-0.041
	[0.137]	[0.161]	[0.154]	[0.070]	[0.090]	[0.071]	[0.080]	[0.102]	[0.084]	[0.098]
distCenter	0.026	0.030	0.046**	0.039***	0.054***	0.038***	0.020*	0.028**	0.025*	0.027
	[0.018]	[0.019]	[0.020]	[0.012]	[0.015]	[0.013]	[0.012]	[0.014]	[0.015]	[0.018]
cgRelig_F	0.050	0.123	0.067	0.106	0.233**	0.117	0.078	0.167	0.134	0.241**
	[0.116]	[0.126]	[0.123]	[0.074]	[0.092]	[0.076]	[0.080]	[0.109]	[0.089]	[0.100]
o.cgRelig_Miss	-		-							
										
CAPI	-0.022	-0.021	-0.069	0.007	0.156**	0.017	-0.043	0.110	0.028	0.041
	[0.092]	[0.104]	[0.096]	[0.052]	[0.076]	[0.053]	[0.060]	[0.081]	[0.061]	[0.074]
momMaxEdu_Uni_Miss	0.141			0.181		0.232*	0.179		0.153	
	[0.251]			[0.170]		[0.139]	[0.176]		[0.193]	
cgRelig_Miss				0.266**	0.231	0.231*	-0.469***	-0.458***	0.399***	0.500***
				[0.123]	[0.190]	[0.138]	[0.131]	[0.150]	[0.111]	[0.123]
Parma							0.115			
							[0.078]			
Reggio								-0.022		0.056
								[0.110]		[0.116]
nidoXreggio								0.269		0.054
								[0.253]		[0.223]
Padova									0.114	
									[0.080]	
Constant	-3.208	-3.769	-2.444	0.663	-1.012	0.626	-1.421	-2.357	-0.936	1.429
	[2.476]	[2.715]	[2.472]	[1.415]	[1.923]	[1.484]	[1.627]	[2.123]	[1.609]	[2.129]
										
Observations	133	125	125	333	319	333	271	256	254	242
R-squared	0.154	0.002	0.197	0.097	0.208	0.104	0.120	0.275	0.122	0.138
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.59	.59	.59	.59	.59	.59	.59	.59	.59	.59
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
