	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.008	1.896	-0.042	0.108**	0.214***	0.119**	0.032	0.118	0.001	0.144
	[0.163]	[1.298]	[0.277]	[0.052]	[0.067]	[0.053]	[0.076]	[0.237]	[0.079]	[0.358]
asilo_Municipal								-0.234*		-0.354
								[0.140]		[0.309]
nido	0.043	-1.724	-0.030	-0.002	-0.192***	-0.021	-0.003	0.034	0.025	0.130
	[0.163]	[1.210]	[0.162]	[0.042]	[0.066]	[0.045]	[0.054]	[0.140]	[0.059]	[0.306]
unobsA			0.271							
			[0.380]							
unobsA2			0.106							
			[0.172]							
unobsA3			-0.461							
			[0.527]							
Age	0.225**	0.312**	0.219**	0.215***	0.159*	0.223***	0.215***	0.271***	0.235***	0.107
	[0.088]	[0.122]	[0.091]	[0.052]	[0.084]	[0.056]	[0.059]	[0.074]	[0.056]	[0.077]
Male	0.013	-0.000	-0.006	0.042	-0.025	0.038	-0.045	-0.057	0.073*	-0.026
	[0.059]	[0.078]	[0.061]	[0.035]	[0.053]	[0.038]	[0.040]	[0.055]	[0.039]	[0.052]
poorBHealth	0.034	0.069	0.062	0.006	0.170*	-0.001	0.020	0.218**	0.020	0.046
	[0.097]	[0.114]	[0.100]	[0.059]	[0.100]	[0.066]	[0.066]	[0.089]	[0.067]	[0.078]
oldsibs	0.026	0.078	0.028	-0.024	0.088	-0.019	0.016	-0.017	-0.023	0.084
	[0.061]	[0.086]	[0.063]	[0.037]	[0.066]	[0.039]	[0.044]	[0.061]	[0.040]	[0.059]
momMaxEdu_Uni_F	0.036	0.113	0.048	-0.001	-0.094	-0.002	0.037	0.009	0.002	0.007
	[0.076]	[0.117]	[0.079]	[0.043]	[0.060]	[0.045]	[0.051]	[0.062]	[0.050]	[0.061]
dadMaxEdu_Uni_F	0.008	-0.003	-0.049	-0.010	-0.114	-0.006	-0.040	-0.018	0.019	-0.145*
	[0.085]	[0.128]	[0.091]	[0.046]	[0.073]	[0.049]	[0.055]	[0.064]	[0.054]	[0.077]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.056	-0.068	0.053	0.037	0.080	0.067	0.010	0.071	0.082	0.072
	[0.091]	[0.140]	[0.102]	[0.059]	[0.086]	[0.064]	[0.064]	[0.079]	[0.067]	[0.079]
HighInc_F	0.012	-0.147	-0.006	0.011	0.039	0.014	-0.004	-0.058	0.048	0.122*
	[0.073]	[0.125]	[0.079]	[0.047]	[0.065]	[0.050]	[0.051]	[0.067]	[0.055]	[0.069]
HighInc_Miss	0.075	0.088	0.103	0.068	0.005	0.080*	0.098*	0.010	0.085*	0.106*
	[0.078]	[0.103]	[0.083]	[0.044]	[0.062]	[0.047]	[0.053]	[0.074]	[0.047]	[0.058]
houseOwn_F	-0.024	0.052	-0.022	0.060	0.141**	0.052	-0.016	0.042	0.074	0.125*
	[0.080]	[0.095]	[0.085]	[0.046]	[0.063]	[0.048]	[0.054]	[0.068]	[0.050]	[0.070]
distCenter	0.011	0.013	0.007	0.003	0.008	-0.004	0.001	-0.012	0.016	0.040**
	[0.013]	[0.016]	[0.014]	[0.009]	[0.016]	[0.010]	[0.009]	[0.013]	[0.010]	[0.016]
cgRelig_F	0.085	0.193*	0.083	0.017	-0.047	0.001	0.064	0.121*	0.031	-0.089
	[0.067]	[0.107]	[0.074]	[0.051]	[0.071]	[0.056]	[0.052]	[0.065]	[0.052]	[0.075]
cgRelig_Miss	0.626***	0.528***	0.606***	-0.057	0.169	-0.123	0.779***	0.928***	-0.068	0.096
	[0.106]	[0.139]	[0.118]	[0.090]	[0.155]	[0.093]	[0.132]	[0.109]	[0.091]	[0.142]
CAPI	-0.034	-0.010	-0.043	-0.004	0.141***	0.000	0.024	0.083*	-0.034	0.005
	[0.058]	[0.077]	[0.062]	[0.035]	[0.054]	[0.038]	[0.040]	[0.050]	[0.040]	[0.051]
momMaxEdu_Uni_Miss	0.270			0.166		0.199	0.236		0.159	
	[0.191]			[0.139]		[0.149]	[0.173]		[0.131]	
Parma							-0.089			
							[0.054]			
Reggio								0.044		-0.013
								[0.075]		[0.072]
nidoXreggio								0.109		0.121
								[0.236]		[0.357]
Padova									-0.085*	
									[0.051]	
Constant	-4.004**	-5.766**	-3.828**	-3.863***	-2.820*	-3.972***	-3.753***	-4.901***	-4.254***	-1.892
	[1.646]	[2.365]	[1.716]	[0.979]	[1.571]	[1.037]	[1.105]	[1.389]	[1.059]	[1.415]
										
Observations	291	272	272	670	634	670	537	504	564	533
R-squared	0.056	-0.464	0.059	0.044	0.194	0.050	0.062	0.227	0.066	0.161
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.35	.35	.35	.35	.35	.35	.35	.35	.35	.35
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
