	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.173	-1.438	0.445	-0.021	0.015	-0.017	0.028	0.612***	-0.059	0.745***
	[0.160]	[1.223]	[0.279]	[0.051]	[0.069]	[0.052]	[0.076]	[0.195]	[0.080]	[0.202]
asilo_Municipal								-0.072		-0.267**
								[0.092]		[0.111]
nido	-0.188	1.311	-0.251	0.058	0.076	0.058	-0.025	-0.054	0.068	0.559***
	[0.159]	[1.142]	[0.175]	[0.044]	[0.069]	[0.046]	[0.056]	[0.082]	[0.063]	[0.088]
unobsA			-0.344							
			[0.352]							
unobsA2			0.171							
			[0.165]							
unobsA3			0.405							
			[0.470]							
Age	0.045	-0.023	0.070	0.103*	0.313***	0.120**	0.122**	0.294***	0.059	0.121
	[0.084]	[0.112]	[0.085]	[0.055]	[0.075]	[0.057]	[0.060]	[0.067]	[0.061]	[0.077]
Male	-0.044	-0.068	-0.061	-0.014	-0.006	-0.022	-0.034	-0.053	-0.018	-0.008
	[0.056]	[0.072]	[0.058]	[0.037]	[0.049]	[0.039]	[0.040]	[0.043]	[0.041]	[0.052]
poorBHealth	0.056	-0.006	0.014	0.032	0.105	0.018	0.026	0.111*	0.063	-0.030
	[0.086]	[0.108]	[0.092]	[0.057]	[0.081]	[0.063]	[0.062]	[0.065]	[0.064]	[0.072]
oldsibs	-0.007	-0.043	0.012	0.020	-0.013	0.014	-0.033	0.036	0.035	-0.043
	[0.058]	[0.079]	[0.059]	[0.039]	[0.059]	[0.041]	[0.043]	[0.048]	[0.042]	[0.055]
momMaxEdu_Uni_F	0.040	0.006	0.061	0.049	0.170***	0.047	0.042	0.164***	0.031	0.067
	[0.067]	[0.104]	[0.070]	[0.044]	[0.056]	[0.045]	[0.048]	[0.052]	[0.051]	[0.062]
dadMaxEdu_Uni_F	0.043	-0.044	-0.009	-0.042	-0.059	-0.054	-0.007	-0.084	-0.004	0.072
	[0.077]	[0.108]	[0.082]	[0.048]	[0.065]	[0.049]	[0.054]	[0.064]	[0.055]	[0.071]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.106	-0.015	-0.135	-0.119**	-0.237**	-0.091	-0.078	-0.264***	-0.079	-0.081
	[0.086]	[0.128]	[0.095]	[0.059]	[0.098]	[0.061]	[0.061]	[0.086]	[0.068]	[0.084]
HighInc_F	0.020	0.124	-0.002	-0.071	-0.138**	-0.061	-0.042	-0.093	0.004	-0.053
	[0.068]	[0.121]	[0.074]	[0.049]	[0.064]	[0.051]	[0.051]	[0.059]	[0.055]	[0.067]
HighInc_Miss	0.038	0.026	0.039	-0.083*	-0.051	-0.083*	-0.029	-0.002	-0.046	-0.070
	[0.073]	[0.097]	[0.080]	[0.045]	[0.065]	[0.047]	[0.051]	[0.066]	[0.049]	[0.065]
houseOwn_F	0.269***	0.217**	0.261***	0.086*	0.087	0.069	0.189***	0.133**	0.135**	0.106
	[0.082]	[0.101]	[0.089]	[0.050]	[0.058]	[0.051]	[0.057]	[0.067]	[0.054]	[0.065]
distCenter	0.010	0.004	0.013	0.008	-0.038**	0.012	0.003	-0.014	0.006	-0.021
	[0.012]	[0.014]	[0.013]	[0.010]	[0.015]	[0.011]	[0.009]	[0.013]	[0.010]	[0.013]
cgRelig_F	0.044	-0.054	0.053	-0.019	-0.001	-0.053	-0.003	-0.037	0.022	0.108
	[0.066]	[0.100]	[0.072]	[0.050]	[0.063]	[0.052]	[0.050]	[0.048]	[0.054]	[0.072]
cgRelig_Miss	-0.292	-0.239	-0.306	-0.306***	-0.278**	-0.337***	-0.378*	-0.654***	-0.264**	-0.147
	[0.311]	[0.318]	[0.315]	[0.100]	[0.138]	[0.105]	[0.227]	[0.163]	[0.103]	[0.125]
CAPI	0.154***	0.135*	0.153***	0.097***	0.152***	0.095**	0.126***	0.189***	0.131***	0.122**
	[0.055]	[0.072]	[0.058]	[0.038]	[0.053]	[0.040]	[0.041]	[0.045]	[0.041]	[0.053]
momMaxEdu_Uni_Miss	0.035			-0.022		-0.076	-0.112		0.084	
	[0.194]			[0.132]		[0.144]	[0.168]		[0.127]	
Parma							0.025			
							[0.055]			
Reggio								-0.014		0.228***
								[0.058]		[0.072]
nidoXreggio								-0.519***		-1.065***
								[0.187]		[0.191]
Padova									-0.052	
									[0.053]	
Constant	-0.519	0.922	-1.119	-1.375	-5.231***	-1.644	-1.798	-4.838***	-0.656	-1.910
	[1.577]	[2.167]	[1.594]	[1.035]	[1.379]	[1.076]	[1.126]	[1.247]	[1.148]	[1.424]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.097	-0.338	0.108	0.063	0.271	0.067	0.066	0.288	0.069	0.233
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
