	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.009	-0.179	-0.454	0.016	0.028	0.017	0.013	-0.054	0.012	0.054
	[0.056]	[0.283]	[0.362]	[0.044]	[0.046]	[0.044]	[0.056]	[0.081]	[0.056]	[0.094]
unobsM			0.702							
			[0.497]							
unobsM2			0.076							
			[0.199]							
unobsM3			-0.700							
			[0.551]							
Age	0.035	0.020	0.003	0.105*	0.134**	0.114**	0.118**	0.155**	0.060	0.067
	[0.083]	[0.089]	[0.087]	[0.054]	[0.065]	[0.055]	[0.059]	[0.062]	[0.061]	[0.073]
Male	-0.047	-0.051	-0.066	-0.026	-0.001	-0.022	-0.035	-0.031	-0.016	0.008
	[0.057]	[0.058]	[0.057]	[0.037]	[0.043]	[0.037]	[0.040]	[0.042]	[0.041]	[0.048]
poorBHealth	0.055	0.036	0.031	0.031	0.069	0.028	0.026	0.036	0.066	0.110
	[0.086]	[0.092]	[0.091]	[0.058]	[0.061]	[0.058]	[0.063]	[0.063]	[0.065]	[0.070]
oldsibs	-0.010	-0.011	-0.004	0.003	0.002	0.003	-0.034	-0.050	0.034	0.051
	[0.058]	[0.059]	[0.057]	[0.039]	[0.046]	[0.039]	[0.043]	[0.046]	[0.043]	[0.051]
momMaxEdu_Uni_F	0.037	0.017	0.019	0.038	0.057	0.039	0.041	0.043	0.039	0.048
	[0.067]	[0.073]	[0.074]	[0.045]	[0.050]	[0.045]	[0.048]	[0.047]	[0.051]	[0.059]
dadMaxEdu_Uni_F	0.034	0.044	0.056	-0.025	-0.044	-0.027	-0.007	0.024	-0.004	-0.013
	[0.077]	[0.078]	[0.080]	[0.048]	[0.054]	[0.048]	[0.054]	[0.053]	[0.055]	[0.064]
momMaxEdu_Uni_Miss	0.037	0.032	0.029	-0.016	-0.022	-0.031	-0.115	-0.137	0.090	0.083
	[0.192]	[0.202]	[0.194]	[0.128]	[0.164]	[0.130]	[0.168]	[0.217]	[0.130]	[0.163]
dadMaxEdu_Uni_Miss	-0.099	-0.079	-0.072	-0.087	-0.095	-0.086	-0.076	-0.039	-0.081	-0.109
	[0.086]	[0.092]	[0.092]	[0.058]	[0.077]	[0.059]	[0.061]	[0.063]	[0.067]	[0.090]
HighInc_F	0.028	0.041	0.045	-0.076	-0.067	-0.085*	-0.041	-0.043	0.002	0.002
	[0.068]	[0.072]	[0.072]	[0.050]	[0.056]	[0.051]	[0.051]	[0.054]	[0.055]	[0.061]
HighInc_Miss	0.041	0.051	0.066	-0.093**	-0.126**	-0.100**	-0.027	-0.021	-0.049	-0.100*
	[0.073]	[0.075]	[0.073]	[0.044]	[0.052]	[0.044]	[0.051]	[0.054]	[0.049]	[0.057]
houseOwn_F	0.259***	0.262***	0.276***	0.108**	0.154**	0.104**	0.189***	0.241***	0.137**	0.152**
	[0.081]	[0.083]	[0.080]	[0.049]	[0.060]	[0.049]	[0.057]	[0.060]	[0.054]	[0.063]
distCenter	0.011	0.010	0.009	0.003	-0.001	0.001	0.003	0.008	0.006	0.007
	[0.012]	[0.012]	[0.012]	[0.010]	[0.012]	[0.010]	[0.009]	[0.010]	[0.010]	[0.012]
cgRelig_F	0.038	-0.012	-0.033	-0.000	0.043	-0.003	-0.001	-0.046	0.022	0.066
	[0.067]	[0.101]	[0.100]	[0.049]	[0.061]	[0.049]	[0.051]	[0.050]	[0.054]	[0.066]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.150***	0.170**	0.169**	0.116***	0.081*	0.107***	0.125***	0.132***	0.131***	0.099**
	[0.056]	[0.067]	[0.066]	[0.037]	[0.043]	[0.038]	[0.041]	[0.043]	[0.041]	[0.048]
cgRelig_Miss	-0.293	-0.244		-0.301***		-0.300***	-0.378*		-0.267**	
	[0.309]	[0.319]		[0.098]		[0.098]	[0.226]		[0.104]	
Parma							0.020			
							[0.051]			
Reggio								0.032		0.056
								[0.059]		[0.065]
materna_Municipal								0.055		-0.053
								[0.061]		[0.076]
Padova									-0.036	
									[0.053]	
Constant	-0.337	0.070	0.520	-1.410	-2.006*	-1.547	-1.733	-2.472**	-0.678	-0.881
	[1.567]	[1.732]	[1.718]	[1.019]	[1.213]	[1.034]	[1.103]	[1.167]	[1.153]	[1.382]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.091	0.056	0.098	0.065	0.058	0.065	0.066	0.087	0.067	0.066
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
