	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.098	0.626	0.061	-0.100*	-0.184***	-0.102*	0.002	-0.100	0.072	0.213
	[0.154]	[1.058]	[0.275]	[0.052]	[0.064]	[0.054]	[0.076]	[0.198]	[0.080]	[0.212]
asilo_Municipal								0.003		-0.218
								[0.108]		[0.147]
nido	-0.141	-0.647	-0.097	-0.042	0.095*	-0.033	-0.046	0.132	-0.126**	0.148
	[0.154]	[0.987]	[0.163]	[0.043]	[0.057]	[0.045]	[0.053]	[0.116]	[0.061]	[0.124]
unobsA			0.009							
			[0.383]							
unobsA2			-0.017							
			[0.185]							
unobsA3			-0.139							
			[0.556]							
Age	0.002	0.055	0.024	0.067	0.026	0.084	0.044	0.057	0.036	0.031
	[0.088]	[0.106]	[0.090]	[0.054]	[0.072]	[0.055]	[0.061]	[0.082]	[0.059]	[0.073]
Male	0.069	0.084	0.081	0.023	0.002	0.019	0.059	0.022	0.050	0.041
	[0.058]	[0.062]	[0.060]	[0.035]	[0.049]	[0.037]	[0.040]	[0.059]	[0.039]	[0.051]
poorBHealth	-0.087	-0.026	-0.033	0.044	0.123*	0.037	-0.086	0.080	0.001	0.072
	[0.102]	[0.107]	[0.106]	[0.057]	[0.074]	[0.060]	[0.069]	[0.104]	[0.070]	[0.075]
oldsibs	-0.004	0.001	-0.015	-0.038	-0.039	-0.023	-0.029	-0.096	-0.005	-0.012
	[0.063]	[0.076]	[0.065]	[0.038]	[0.052]	[0.039]	[0.043]	[0.064]	[0.041]	[0.047]
momMaxEdu_Uni_F	-0.011	-0.027	-0.048	0.053	0.034	0.058	0.067	0.052	0.004	-0.007
	[0.073]	[0.088]	[0.075]	[0.043]	[0.067]	[0.045]	[0.050]	[0.078]	[0.049]	[0.058]
dadMaxEdu_Uni_F	0.021	0.052	0.037	-0.014	-0.004	-0.043	-0.036	0.001	0.042	0.032
	[0.085]	[0.098]	[0.091]	[0.047]	[0.063]	[0.048]	[0.056]	[0.080]	[0.055]	[0.063]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.122	-0.108	-0.079	-0.104*	0.107	-0.105*	-0.149**	0.066	-0.084	-0.072
	[0.092]	[0.123]	[0.098]	[0.058]	[0.071]	[0.060]	[0.064]	[0.082]	[0.066]	[0.081]
HighInc_F	-0.080	-0.100	-0.066	0.005	0.103	0.015	-0.030	0.046	-0.083	-0.076
	[0.075]	[0.113]	[0.082]	[0.049]	[0.072]	[0.051]	[0.052]	[0.078]	[0.059]	[0.070]
HighInc_Miss	0.058	0.067	0.075	0.089**	0.149**	0.110**	0.002	0.044	0.081*	0.125*
	[0.071]	[0.076]	[0.076]	[0.043]	[0.068]	[0.044]	[0.050]	[0.075]	[0.048]	[0.067]
houseOwn_F	-0.187**	-0.186**	-0.215**	0.019	0.038	0.035	-0.098*	-0.083	-0.068	-0.020
	[0.077]	[0.088]	[0.084]	[0.048]	[0.057]	[0.052]	[0.054]	[0.064]	[0.051]	[0.058]
distCenter	-0.016	-0.016	-0.016	0.006	0.033**	0.010	0.001	0.025**	-0.013	-0.007
	[0.013]	[0.014]	[0.014]	[0.009]	[0.013]	[0.010]	[0.009]	[0.013]	[0.010]	[0.012]
cgRelig_F	-0.118*	-0.085	-0.112	-0.014	0.088	-0.019	-0.103**	-0.044	-0.062	0.006
	[0.069]	[0.095]	[0.076]	[0.050]	[0.073]	[0.053]	[0.050]	[0.077]	[0.053]	[0.075]
cgRelig_Miss	-0.473	-0.476*	-0.471	0.110	0.226**	0.097	-0.257	0.059	0.050	0.221**
	[0.292]	[0.282]	[0.287]	[0.070]	[0.096]	[0.070]	[0.235]	[0.243]	[0.077]	[0.097]
CAPI	0.005	0.007	-0.005	0.047	0.080	0.058	-0.006	0.039	0.058	0.065
	[0.059]	[0.064]	[0.062]	[0.036]	[0.051]	[0.038]	[0.041]	[0.058]	[0.041]	[0.053]
momMaxEdu_Uni_Miss	-0.133			0.135		0.114	-0.023		-0.024	
	[0.198]			[0.112]		[0.137]	[0.159]		[0.128]	
Parma							0.153***			
							[0.054]			
Reggio								-0.059		0.005
								[0.093]		[0.074]
nidoXreggio								-0.091		-0.210
								[0.202]		[0.196]
Padova									0.053	
									[0.053]	
Constant	0.914	-0.095	0.523	-0.578	-0.121	-0.926	0.002	-0.384	0.085	0.048
	[1.639]	[2.024]	[1.677]	[1.013]	[1.342]	[1.039]	[1.148]	[1.541]	[1.115]	[1.357]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.068	0.019	0.073	0.057	0.135	0.059	0.063	0.093	0.068	0.148
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.62	.62	.62	.62	.62	.62	.62	.62	.62	.62
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
