	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.014	-0.173	-0.171	-0.066	-0.039	-0.062	-0.023	-0.020	-0.048	0.019
	[0.061]	[0.303]	[0.414]	[0.047]	[0.048]	[0.047]	[0.061]	[0.093]	[0.061]	[0.099]
unobsM			0.150							
			[0.600]							
unobsM2			0.035							
			[0.240]							
unobsM3			0.052							
			[0.750]							
Age	0.142	0.129	0.132	0.017	0.061	0.010	0.017	0.057	0.059	0.071
	[0.089]	[0.093]	[0.094]	[0.055]	[0.062]	[0.055]	[0.064]	[0.071]	[0.062]	[0.072]
Male	0.178***	0.175***	0.176***	0.095**	0.084*	0.092**	0.153***	0.142***	0.079*	0.073
	[0.060]	[0.061]	[0.061]	[0.038]	[0.044]	[0.038]	[0.043]	[0.048]	[0.043]	[0.051]
poorBHealth	0.146	0.129	0.129	-0.177***	-0.187***	-0.184***	-0.075	-0.084	-0.042	-0.059
	[0.104]	[0.108]	[0.109]	[0.063]	[0.070]	[0.062]	[0.074]	[0.080]	[0.073]	[0.080]
oldsibs	0.033	0.032	0.031	-0.062	-0.083*	-0.057	-0.016	-0.004	0.013	0.011
	[0.064]	[0.064]	[0.065]	[0.040]	[0.047]	[0.040]	[0.046]	[0.051]	[0.044]	[0.052]
momMaxEdu_Uni_F	-0.135*	-0.151*	-0.153*	-0.036	-0.018	-0.036	-0.070	-0.054	-0.087	-0.089
	[0.077]	[0.085]	[0.085]	[0.048]	[0.058]	[0.048]	[0.055]	[0.061]	[0.054]	[0.063]
dadMaxEdu_Uni_F	0.047	0.056	0.052	0.003	-0.020	0.001	0.009	-0.021	0.018	-0.016
	[0.084]	[0.086]	[0.086]	[0.051]	[0.063]	[0.051]	[0.061]	[0.068]	[0.059]	[0.070]
momMaxEdu_Uni_Miss	-0.369**	-0.373**	-0.374***	0.042	0.026	0.079	-0.210	-0.201	-0.068	-0.094
	[0.144]	[0.163]	[0.141]	[0.122]	[0.144]	[0.118]	[0.141]	[0.156]	[0.137]	[0.146]
dadMaxEdu_Uni_Miss	0.023	0.040	0.041	-0.002	0.017	-0.005	-0.032	-0.075	0.041	0.030
	[0.093]	[0.099]	[0.097]	[0.059]	[0.067]	[0.059]	[0.066]	[0.074]	[0.068]	[0.087]
HighInc_F	-0.062	-0.051	-0.049	-0.050	-0.038	-0.044	-0.065	-0.024	-0.051	-0.028
	[0.074]	[0.078]	[0.079]	[0.053]	[0.060]	[0.053]	[0.056]	[0.062]	[0.059]	[0.066]
HighInc_Miss	-0.056	-0.047	-0.046	0.075	0.127**	0.084*	0.039	0.086	0.048	0.112*
	[0.077]	[0.081]	[0.081]	[0.045]	[0.049]	[0.045]	[0.054]	[0.055]	[0.052]	[0.059]
houseOwn_F	-0.110	-0.108	-0.106	-0.033	-0.028	-0.029	-0.070	-0.110*	-0.047	-0.044
	[0.080]	[0.082]	[0.082]	[0.050]	[0.057]	[0.050]	[0.058]	[0.063]	[0.055]	[0.064]
distCenter	0.001	0.001	0.001	0.012	0.014	0.013	0.011	0.008	0.000	-0.004
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.032	-0.074	-0.079	-0.030	0.003	-0.026	-0.010	0.005	-0.039	-0.019
	[0.076]	[0.110]	[0.108]	[0.053]	[0.059]	[0.053]	[0.059]	[0.066]	[0.058]	[0.067]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.016	0.033	0.034	0.034	0.028	0.032	0.013	-0.004	0.029	0.025
	[0.060]	[0.068]	[0.067]	[0.039]	[0.044]	[0.039]	[0.044]	[0.048]	[0.044]	[0.050]
cgRelig_Miss	-0.479***	-0.437***		0.217**		0.236***	-0.306		0.268***	
	[0.130]	[0.150]		[0.087]		[0.084]	[0.239]		[0.094]	
Parma							0.076			
							[0.055]			
Reggio								-0.096		0.006
								[0.067]		[0.068]
materna_Municipal								0.018		-0.024
								[0.069]		[0.076]
Padova									-0.025	
									[0.056]	
Constant	-2.083	-1.738	-1.796	0.221	-0.649	0.333	0.204	-0.446	-0.551	-0.794
	[1.671]	[1.813]	[1.872]	[1.041]	[1.181]	[1.046]	[1.193]	[1.333]	[1.175]	[1.363]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.087	0.064	0.080	0.067	0.057	0.071	0.058	0.060	0.054	0.038
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.49	.49	.49	.49	.49	.49	.49	.49	.49	.49
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
