	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.152	1.654	0.428	-0.036	-0.129*	-0.037	0.024	-0.099	0.162*	0.377
	[0.153]	[1.299]	[0.274]	[0.056]	[0.074]	[0.057]	[0.081]	[0.231]	[0.083]	[0.253]
asilo_Municipal								0.055		-0.401**
								[0.108]		[0.179]
nido	-0.117	-1.494	-0.111	-0.039	0.003	-0.033	0.016	0.187	-0.133**	-0.025
	[0.155]	[1.215]	[0.160]	[0.046]	[0.087]	[0.048]	[0.059]	[0.114]	[0.063]	[0.157]
unobsA			-0.358							
			[0.389]							
unobsA2			0.092							
			[0.186]							
unobsA3			0.180							
			[0.551]							
Age	0.025	0.107	0.032	-0.023	-0.204**	-0.000	-0.026	-0.160**	-0.003	-0.085
	[0.094]	[0.125]	[0.097]	[0.057]	[0.085]	[0.059]	[0.066]	[0.073]	[0.062]	[0.067]
Male	0.011	0.020	0.012	-0.056	-0.068	-0.050	0.001	-0.041	-0.080*	-0.075
	[0.062]	[0.075]	[0.064]	[0.038]	[0.056]	[0.040]	[0.044]	[0.053]	[0.042]	[0.048]
poorBHealth	0.236**	0.262**	0.243**	-0.040	-0.159	-0.061	0.076	-0.163	0.058	0.128
	[0.098]	[0.129]	[0.102]	[0.067]	[0.112]	[0.071]	[0.073]	[0.103]	[0.074]	[0.089]
oldsibs	0.048	0.089	0.054	-0.039	0.051	-0.014	-0.006	-0.059	-0.023	0.052
	[0.064]	[0.082]	[0.066]	[0.041]	[0.074]	[0.043]	[0.046]	[0.054]	[0.044]	[0.054]
momMaxEdu_Uni_F	0.030	0.079	0.026	0.026	0.022	0.009	0.074	0.127**	-0.030	-0.121**
	[0.075]	[0.099]	[0.077]	[0.047]	[0.066]	[0.049]	[0.054]	[0.061]	[0.052]	[0.061]
dadMaxEdu_Uni_F	0.001	0.026	-0.010	0.059	-0.113	0.035	0.007	-0.098	0.061	0.011
	[0.089]	[0.115]	[0.094]	[0.050]	[0.077]	[0.052]	[0.061]	[0.064]	[0.056]	[0.069]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.028	-0.144	-0.066	-0.034	-0.065	-0.049	-0.066	-0.124*	0.012	0.069
	[0.091]	[0.130]	[0.098]	[0.061]	[0.093]	[0.064]	[0.066]	[0.072]	[0.066]	[0.076]
HighInc_F	0.011	-0.097	-0.011	0.010	0.045	0.028	0.025	-0.002	-0.038	-0.080
	[0.077]	[0.125]	[0.084]	[0.053]	[0.070]	[0.055]	[0.055]	[0.059]	[0.060]	[0.068]
HighInc_Miss	0.065	0.052	0.089	0.062	0.025	0.052	0.019	0.024	0.093*	0.043
	[0.078]	[0.097]	[0.083]	[0.047]	[0.066]	[0.049]	[0.056]	[0.063]	[0.051]	[0.060]
houseOwn_F	0.053	0.072	-0.009	0.036	0.100	0.047	0.073	0.147*	0.060	0.097
	[0.085]	[0.096]	[0.090]	[0.050]	[0.072]	[0.054]	[0.060]	[0.083]	[0.053]	[0.060]
distCenter	0.001	0.002	0.005	0.006	0.027	0.008	0.010	0.018	-0.003	-0.005
	[0.013]	[0.015]	[0.015]	[0.010]	[0.017]	[0.011]	[0.010]	[0.012]	[0.011]	[0.012]
cgRelig_F	-0.055	0.093	0.031	-0.108**	-0.114	-0.131**	-0.064	-0.091	-0.077	-0.046
	[0.073]	[0.109]	[0.080]	[0.053]	[0.072]	[0.055]	[0.057]	[0.063]	[0.055]	[0.070]
cgRelig_Miss	-0.300	-0.299	-0.297	0.124	-0.100	0.118	-0.135	0.112	0.145*	0.021
	[0.305]	[0.354]	[0.301]	[0.080]	[0.189]	[0.081]	[0.266]	[0.227]	[0.081]	[0.120]
CAPI	0.007	0.023	-0.007	0.051	-0.078	0.075*	0.006	-0.081	0.058	0.027
	[0.061]	[0.075]	[0.064]	[0.039]	[0.053]	[0.040]	[0.044]	[0.051]	[0.043]	[0.050]
momMaxEdu_Uni_Miss	-0.099			-0.072		-0.159	-0.085		-0.091	
	[0.201]			[0.139]		[0.148]	[0.175]		[0.139]	
Parma							0.095			
							[0.060]			
Reggio								-0.070		-0.175**
								[0.081]		[0.072]
nidoXreggio								-0.107		0.087
								[0.234]		[0.241]
Padova									0.105*	
									[0.055]	
Constant	-0.017	-1.690	-0.319	1.069	4.487***	0.638	0.927	3.553***	0.594	2.280*
	[1.762]	[2.414]	[1.836]	[1.081]	[1.614]	[1.112]	[1.247]	[1.366]	[1.165]	[1.259]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.032	-0.289	0.037	0.049	0.135	0.055	0.027	0.202	0.071	0.191
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.53	.53	.53	.53	.53	.53	.53	.53	.53	.53
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
