	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.088	0.394	0.480	-0.051	-0.029	-0.049	0.082	0.029	0.055	0.076
	[0.062]	[0.305]	[0.403]	[0.047]	[0.048]	[0.047]	[0.061]	[0.092]	[0.061]	[0.098]
unobsM			-0.442							
			[0.592]							
unobsM2			-0.144							
			[0.262]							
unobsM3			0.074							
			[0.771]							
Age	0.024	0.049	0.056	-0.023	-0.014	-0.018	-0.021	0.031	-0.003	-0.027
	[0.092]	[0.098]	[0.098]	[0.055]	[0.064]	[0.056]	[0.065]	[0.074]	[0.062]	[0.069]
Male	0.012	0.018	0.019	-0.073*	-0.080*	-0.074**	0.003	-0.007	-0.081*	-0.129***
	[0.062]	[0.064]	[0.063]	[0.037]	[0.044]	[0.038]	[0.044]	[0.048]	[0.042]	[0.049]
poorBHealth	0.244**	0.275***	0.277***	-0.033	-0.022	-0.048	0.080	0.076	0.056	0.033
	[0.097]	[0.106]	[0.102]	[0.067]	[0.074]	[0.067]	[0.073]	[0.079]	[0.073]	[0.082]
oldsibs	0.045	0.047	0.040	-0.050	-0.086*	-0.054	-0.007	-0.035	-0.022	-0.052
	[0.064]	[0.066]	[0.064]	[0.040]	[0.047]	[0.040]	[0.046]	[0.050]	[0.044]	[0.051]
momMaxEdu_Uni_F	0.037	0.068	0.075	0.019	0.068	0.016	0.079	0.104*	-0.042	-0.030
	[0.075]	[0.084]	[0.083]	[0.047]	[0.055]	[0.047]	[0.054]	[0.058]	[0.051]	[0.061]
dadMaxEdu_Uni_F	-0.008	-0.024	-0.018	0.041	0.023	0.041	0.006	-0.011	0.061	0.082
	[0.090]	[0.100]	[0.093]	[0.050]	[0.060]	[0.050]	[0.061]	[0.064]	[0.057]	[0.068]
momMaxEdu_Uni_Miss	-0.089	-0.081	-0.080	-0.072	-0.141	-0.058	-0.082	-0.082	-0.099	-0.196
	[0.204]	[0.233]	[0.205]	[0.136]	[0.155]	[0.139]	[0.176]	[0.198]	[0.136]	[0.152]
dadMaxEdu_Uni_Miss	-0.026	-0.059	-0.066	-0.027	-0.049	-0.034	-0.067	-0.105	0.016	0.023
	[0.090]	[0.099]	[0.093]	[0.061]	[0.074]	[0.061]	[0.066]	[0.077]	[0.066]	[0.080]
HighInc_F	0.016	-0.005	-0.013	0.033	0.020	0.029	0.024	0.028	-0.032	-0.059
	[0.076]	[0.084]	[0.081]	[0.053]	[0.059]	[0.053]	[0.055]	[0.059]	[0.060]	[0.066]
HighInc_Miss	0.059	0.042	0.033	0.078*	0.089*	0.075*	0.013	0.026	0.095*	0.105*
	[0.077]	[0.082]	[0.080]	[0.045]	[0.051]	[0.045]	[0.055]	[0.061]	[0.051]	[0.056]
houseOwn_F	0.050	0.045	0.036	0.051	0.049	0.055	0.074	0.074	0.056	0.056
	[0.083]	[0.083]	[0.084]	[0.049]	[0.057]	[0.049]	[0.060]	[0.068]	[0.053]	[0.061]
distCenter	0.001	0.002	0.002	0.007	0.009	0.007	0.010	0.011	-0.004	-0.003
	[0.013]	[0.013]	[0.014]	[0.010]	[0.012]	[0.010]	[0.010]	[0.012]	[0.011]	[0.012]
cgRelig_F	-0.041	0.040	0.065	-0.075	-0.055	-0.073	-0.052	-0.038	-0.066	-0.066
	[0.074]	[0.108]	[0.107]	[0.051]	[0.059]	[0.052]	[0.057]	[0.064]	[0.056]	[0.063]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.003	-0.035	-0.039	0.072*	0.068	0.070*	0.002	-0.010	0.057	0.030
	[0.061]	[0.071]	[0.068]	[0.038]	[0.044]	[0.038]	[0.044]	[0.048]	[0.043]	[0.050]
cgRelig_Miss	-0.314	-0.394		0.162**		0.173**	-0.149		0.161*	
	[0.294]	[0.311]		[0.078]		[0.076]	[0.262]		[0.083]	
Parma							0.125**			
							[0.055]			
Reggio								-0.105		-0.104
								[0.069]		[0.067]
materna_Municipal								0.054		0.004
								[0.067]		[0.073]
Padova									0.093*	
									[0.056]	
Constant	-0.052	-0.713	-0.871	1.008	0.831	0.926	0.790	-0.075	0.573	1.136
	[1.734]	[1.912]	[1.935]	[1.048]	[1.218]	[1.050]	[1.228]	[1.394]	[1.166]	[1.291]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.036	-0.049	0.042	0.050	0.041	0.053	0.030	0.042	0.064	0.054
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.53	.53	.53	.53	.53	.53	.53	.53	.53	.53
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
