	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.100	-0.170	-0.186	-0.005	0.055	-0.010	-0.119	0.010	-0.085	-0.139
	[0.143]	[1.028]	[0.256]	[0.052]	[0.072]	[0.054]	[0.077]	[0.187]	[0.080]	[0.236]
asilo_Municipal								0.074		0.207
								[0.116]		[0.144]
nido	0.003	0.064	0.045	-0.001	-0.066	0.015	0.024	-0.146	-0.024	-0.175
	[0.145]	[0.952]	[0.145]	[0.045]	[0.077]	[0.046]	[0.056]	[0.116]	[0.063]	[0.128]
unobsA			-0.117							
			[0.375]							
unobsA2			0.181							
			[0.178]							
unobsA3			0.542							
			[0.541]							
Age	0.096	0.097	0.100	0.028	0.239**	0.032	0.122*	0.264**	0.049	0.180**
	[0.092]	[0.106]	[0.094]	[0.055]	[0.103]	[0.057]	[0.063]	[0.111]	[0.060]	[0.076]
Male	-0.143**	-0.147**	-0.143**	-0.066*	-0.097*	-0.054	-0.083**	-0.095	-0.115***	-0.120**
	[0.057]	[0.058]	[0.058]	[0.037]	[0.056]	[0.039]	[0.041]	[0.062]	[0.041]	[0.053]
poorBHealth	-0.077	-0.041	-0.030	-0.125**	0.094	-0.120**	-0.134**	0.192	-0.065	-0.011
	[0.099]	[0.105]	[0.105]	[0.055]	[0.119]	[0.060]	[0.062]	[0.137]	[0.069]	[0.082]
oldsibs	-0.033	-0.032	-0.030	-0.039	-0.096	-0.016	0.006	0.028	-0.065	-0.129**
	[0.061]	[0.068]	[0.063]	[0.040]	[0.070]	[0.042]	[0.044]	[0.072]	[0.043]	[0.056]
momMaxEdu_Uni_F	0.066	0.064	0.065	0.088*	0.155**	0.109**	0.072	0.131	0.081	0.090
	[0.073]	[0.082]	[0.074]	[0.047]	[0.077]	[0.049]	[0.052]	[0.085]	[0.052]	[0.064]
dadMaxEdu_Uni_F	0.095	0.078	0.087	0.103**	0.132	0.089*	0.131**	0.086	0.036	0.107
	[0.083]	[0.090]	[0.086]	[0.050]	[0.088]	[0.053]	[0.057]	[0.099]	[0.058]	[0.073]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.149*	-0.194*	-0.153*	-0.031	-0.014	-0.004	-0.051	-0.051	-0.098	-0.141*
	[0.079]	[0.101]	[0.082]	[0.058]	[0.105]	[0.063]	[0.062]	[0.111]	[0.063]	[0.081]
HighInc_F	0.032	0.033	0.064	-0.044	-0.025	-0.043	-0.044	-0.049	0.028	0.007
	[0.073]	[0.103]	[0.078]	[0.050]	[0.084]	[0.053]	[0.053]	[0.089]	[0.058]	[0.070]
HighInc_Miss	0.240***	0.228***	0.223***	0.017	-0.004	0.036	0.024	-0.023	0.185***	0.175***
	[0.077]	[0.079]	[0.079]	[0.046]	[0.071]	[0.048]	[0.054]	[0.077]	[0.050]	[0.062]
houseOwn_F	-0.007	0.017	0.033	-0.081	0.003	-0.081	-0.042	0.035	-0.016	-0.028
	[0.075]	[0.084]	[0.084]	[0.051]	[0.068]	[0.052]	[0.057]	[0.073]	[0.053]	[0.064]
distCenter	0.006	0.006	0.003	0.010	-0.025*	0.011	0.023**	0.005	-0.011	-0.040***
	[0.013]	[0.013]	[0.014]	[0.010]	[0.015]	[0.012]	[0.010]	[0.014]	[0.011]	[0.013]
cgRelig_F	-0.001	0.032	0.011	0.096*	0.209***	0.107**	0.066	0.193***	0.035	0.102
	[0.070]	[0.093]	[0.074]	[0.050]	[0.065]	[0.054]	[0.053]	[0.066]	[0.054]	[0.070]
cgRelig_Miss	0.113	0.155	0.185	0.115	0.244*	0.169	0.422*	0.727***	-0.015	0.007
	[0.274]	[0.275]	[0.264]	[0.101]	[0.133]	[0.106]	[0.225]	[0.154]	[0.104]	[0.122]
CAPI	-0.035	-0.032	-0.023	-0.063*	-0.016	-0.087**	-0.069	0.011	-0.045	-0.033
	[0.057]	[0.061]	[0.059]	[0.038]	[0.059]	[0.040]	[0.042]	[0.060]	[0.042]	[0.052]
momMaxEdu_Uni_Miss	0.116			-0.046		-0.079	0.075		-0.005	
	[0.210]			[0.117]		[0.115]	[0.162]		[0.131]	
Parma							-0.101*			
							[0.057]			
Reggio								0.080		0.099
								[0.094]		[0.075]
nidoXreggio								-0.032		0.012
								[0.185]		[0.230]
Padova									-0.103*	
									[0.053]	
Constant	-1.347	-1.407	-1.480	-0.159	-4.179**	-0.262	-1.877	-4.785**	-0.410	-2.891**
	[1.734]	[2.032]	[1.761]	[1.037]	[1.955]	[1.086]	[1.184]	[2.093]	[1.137]	[1.407]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.117	0.125	0.137	0.048	0.164	0.056	0.077	0.137	0.069	0.184
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.4	.4	.4	.4	.4	.4	.4	.4	.4	.4
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
