	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.045	-0.462	-0.175	-0.090*	-0.065	-0.089*	-0.050	-0.041	-0.044	0.040
	[0.062]	[0.334]	[0.398]	[0.047]	[0.049]	[0.047]	[0.060]	[0.094]	[0.061]	[0.099]
unobsM			-0.100							
			[0.565]							
unobsM2			0.046							
			[0.242]							
unobsM3			0.787							
			[0.675]							
Age	-0.025	-0.058	-0.055	-0.043	-0.020	-0.052	-0.046	0.022	-0.068	-0.114
	[0.093]	[0.103]	[0.095]	[0.056]	[0.066]	[0.057]	[0.065]	[0.073]	[0.064]	[0.075]
Male	-0.023	-0.032	-0.028	0.007	0.016	0.011	0.032	0.030	-0.033	-0.043
	[0.062]	[0.067]	[0.062]	[0.039]	[0.046]	[0.039]	[0.044]	[0.049]	[0.043]	[0.049]
poorBHealth	-0.076	-0.119	-0.112	0.021	0.005	0.004	-0.071	-0.060	-0.021	-0.013
	[0.107]	[0.136]	[0.116]	[0.066]	[0.073]	[0.066]	[0.074]	[0.079]	[0.074]	[0.080]
oldsibs	-0.016	-0.018	-0.016	-0.003	0.030	0.005	0.009	0.024	0.001	0.034
	[0.063]	[0.068]	[0.063]	[0.041]	[0.046]	[0.041]	[0.046]	[0.051]	[0.045]	[0.051]
momMaxEdu_Uni_F	0.099	0.056	0.060	0.127***	0.112**	0.129***	0.044	0.067	0.170***	0.095
	[0.074]	[0.086]	[0.082]	[0.048]	[0.056]	[0.048]	[0.054]	[0.059]	[0.051]	[0.061]
dadMaxEdu_Uni_F	-0.196**	-0.173*	-0.175*	-0.009	-0.048	0.001	-0.099	-0.101	-0.041	-0.046
	[0.089]	[0.096]	[0.091]	[0.052]	[0.062]	[0.052]	[0.061]	[0.066]	[0.060]	[0.069]
momMaxEdu_Uni_Miss	0.249	0.239	0.240	0.094	0.025	0.092	0.183	0.295*	0.174	0.163
	[0.214]	[0.204]	[0.206]	[0.135]	[0.151]	[0.137]	[0.166]	[0.157]	[0.135]	[0.154]
dadMaxEdu_Uni_Miss	-0.094	-0.049	-0.052	0.033	0.130*	0.036	-0.020	-0.029	-0.006	0.077
	[0.089]	[0.104]	[0.092]	[0.060]	[0.074]	[0.060]	[0.066]	[0.077]	[0.066]	[0.086]
HighInc_F	0.009	0.037	0.031	0.037	0.083	0.036	0.012	0.043	0.038	0.103
	[0.076]	[0.088]	[0.080]	[0.053]	[0.060]	[0.054]	[0.056]	[0.060]	[0.059]	[0.067]
HighInc_Miss	-0.109	-0.086	-0.096	-0.029	0.022	-0.026	-0.116**	-0.068	0.006	0.091
	[0.079]	[0.087]	[0.081]	[0.046]	[0.053]	[0.047]	[0.056]	[0.062]	[0.052]	[0.058]
houseOwn_F	0.091	0.097	0.088	0.062	0.036	0.051	0.071	0.025	0.050	0.047
	[0.083]	[0.089]	[0.084]	[0.050]	[0.061]	[0.050]	[0.060]	[0.068]	[0.055]	[0.065]
distCenter	-0.011	-0.012	-0.010	-0.009	-0.009	-0.008	-0.005	-0.005	-0.013	-0.021*
	[0.013]	[0.014]	[0.013]	[0.011]	[0.012]	[0.011]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.034	-0.144	-0.134	-0.061	-0.009	-0.054	-0.038	0.012	-0.029	0.039
	[0.074]	[0.123]	[0.107]	[0.053]	[0.062]	[0.053]	[0.058]	[0.066]	[0.058]	[0.066]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.013	0.057	0.059	0.024	-0.011	0.020	0.012	0.028	0.013	-0.040
	[0.062]	[0.075]	[0.068]	[0.039]	[0.046]	[0.039]	[0.044]	[0.049]	[0.043]	[0.050]
cgRelig_Miss	-0.467***	-0.351**		-0.252**		-0.253**	-0.081		-0.250**	
	[0.105]	[0.139]		[0.099]		[0.099]	[0.276]		[0.103]	
Parma							0.074			
							[0.055]			
Reggio								-0.081		-0.043
								[0.070]		[0.068]
materna_Municipal								0.037		-0.048
								[0.070]		[0.076]
Padova									0.024	
									[0.057]	
Constant	1.055	1.962	1.735	1.349	0.859	1.509	1.389	0.136	1.799	2.631*
	[1.744]	[1.980]	[1.869]	[1.064]	[1.246]	[1.069]	[1.215]	[1.375]	[1.200]	[1.413]
										
Observations	291	291	290	675	644	675	537	535	560	530
R-squared	0.048	-0.111	0.056	0.039	0.027	0.039	0.034	0.032	0.045	0.039
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.51	.51	.51	.51	.51	.51	.51	.51	.51	.51
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
