	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.082	-0.870	-0.139	-0.040	0.060	-0.034	-0.086	-0.128	-0.010	-0.137
	[0.099]	[1.025]	[0.205]	[0.045]	[0.064]	[0.045]	[0.064]	[0.139]	[0.065]	[0.180]
asilo_Municipal								0.158*		0.098
								[0.091]		[0.152]
nido	0.095	0.809	0.137	0.063*	0.013	0.058	0.124***	-0.057	0.019	-0.171
	[0.103]	[0.952]	[0.105]	[0.038]	[0.062]	[0.039]	[0.047]	[0.089]	[0.049]	[0.145]
unobsA			-0.151							
			[0.296]							
unobsA2			0.169							
			[0.150]							
unobsA3			0.493							
			[0.433]							
Age	0.049	-0.002	0.038	-0.027	0.004	-0.010	-0.026	0.050	-0.002	-0.038
	[0.078]	[0.097]	[0.079]	[0.045]	[0.071]	[0.047]	[0.054]	[0.073]	[0.051]	[0.073]
Male	-0.511***	-0.514***	-0.508***	-0.546***	-0.506***	-0.580***	-0.572***	-0.603***	-0.501***	-0.453***
	[0.049]	[0.054]	[0.051]	[0.031]	[0.041]	[0.032]	[0.034]	[0.041]	[0.034]	[0.045]
poorBHealth	-0.138	-0.147	-0.131	0.049	-0.044	0.066	-0.072	-0.209**	0.012	0.078
	[0.090]	[0.093]	[0.093]	[0.048]	[0.089]	[0.052]	[0.056]	[0.088]	[0.064]	[0.072]
oldsibs	-0.017	-0.042	-0.019	-0.070**	0.014	-0.089**	-0.059	-0.035	-0.032	0.006
	[0.052]	[0.061]	[0.053]	[0.033]	[0.046]	[0.035]	[0.038]	[0.043]	[0.036]	[0.045]
momMaxEdu_Uni_F	0.015	-0.012	0.013	0.098***	0.199***	0.091**	0.013	0.140**	0.091**	0.092*
	[0.061]	[0.073]	[0.062]	[0.036]	[0.047]	[0.036]	[0.043]	[0.055]	[0.043]	[0.047]
dadMaxEdu_Uni_F	0.063	0.040	0.063	-0.035	-0.087*	-0.044	0.011	-0.072	0.003	0.029
	[0.070]	[0.083]	[0.073]	[0.039]	[0.051]	[0.041]	[0.048]	[0.059]	[0.048]	[0.054]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.060	0.051	0.033	-0.039	-0.346***	-0.055	-0.077	-0.421***	-0.022	0.088
	[0.075]	[0.104]	[0.082]	[0.050]	[0.102]	[0.049]	[0.057]	[0.098]	[0.053]	[0.064]
HighInc_F	-0.075	0.003	-0.025	-0.060	-0.011	-0.039	-0.028	-0.012	-0.081	-0.068
	[0.064]	[0.099]	[0.070]	[0.042]	[0.052]	[0.042]	[0.045]	[0.051]	[0.050]	[0.062]
HighInc_Miss	-0.124*	-0.097	-0.101	-0.110***	-0.054	-0.103**	-0.045	-0.023	-0.145***	-0.140**
	[0.064]	[0.071]	[0.069]	[0.040]	[0.057]	[0.041]	[0.048]	[0.060]	[0.042]	[0.056]
houseOwn_F	0.130*	0.129*	0.165**	0.054	-0.119**	0.013	0.057	-0.045	0.092**	0.009
	[0.066]	[0.076]	[0.072]	[0.042]	[0.060]	[0.041]	[0.048]	[0.062]	[0.046]	[0.054]
distCenter	-0.016	-0.020	-0.019	0.002	-0.023*	-0.001	-0.009	-0.034***	-0.018**	-0.021**
	[0.011]	[0.012]	[0.013]	[0.008]	[0.013]	[0.009]	[0.008]	[0.012]	[0.009]	[0.009]
cgRelig_F	0.008	-0.061	-0.034	0.006	-0.056	0.021	0.004	-0.032	0.023	-0.012
	[0.062]	[0.084]	[0.067]	[0.045]	[0.051]	[0.048]	[0.047]	[0.054]	[0.048]	[0.061]
cgRelig_Miss	-0.233	-0.246	-0.246	-0.254***	-0.525***	-0.241***	-0.257*	-0.310***	-0.224***	-0.434***
	[0.170]	[0.152]	[0.165]	[0.078]	[0.103]	[0.084]	[0.134]	[0.105]	[0.079]	[0.089]
CAPI	0.162***	0.141**	0.156***	-0.013	-0.067	-0.030	0.072*	0.040	0.051	0.012
	[0.050]	[0.057]	[0.053]	[0.032]	[0.049]	[0.034]	[0.037]	[0.046]	[0.036]	[0.047]
momMaxEdu_Uni_Miss	-0.104			0.133		0.139	-0.077		0.066	
	[0.174]			[0.110]		[0.095]	[0.135]		[0.130]	
Parma							-0.001			
							[0.047]			
Reggio								0.087		0.035
								[0.067]		[0.068]
nidoXreggio								0.035		0.227
								[0.132]		[0.174]
Padova									-0.019	
									[0.045]	
Constant	-0.321	0.704	-0.156	1.171	0.841	0.929	1.165	-0.062	0.679	1.401
	[1.458]	[1.871]	[1.489]	[0.854]	[1.297]	[0.880]	[1.009]	[1.337]	[0.964]	[1.333]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.337	0.265	0.348	0.351	0.416	0.383	0.340	0.441	0.324	0.380
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.46	.46	.46	.46	.46	.46	.46	.46	.46	.46
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
