	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.089	-0.976	-0.379**	0.106**	0.123***	0.072	-0.092	-0.179	-0.009	-0.115
	[0.076]	[0.646]	[0.190]	[0.044]	[0.048]	[0.108]	[0.058]	[0.159]	[0.058]	[0.144]
asilo_Municipal								0.121		0.107
								[0.104]		[0.107]
nido	0.067	0.811	0.073	-0.019	-0.044	0.144*	0.045	-0.128	-0.054	-0.108
	[0.080]	[0.545]	[0.080]	[0.043]	[0.053]	[0.082]	[0.048]	[0.103]	[0.052]	[0.095]
unobs			0.357							
			[0.285]							
unobs2			0.108							
			[0.127]							
unobs3			-0.107							
			[0.405]							
Age	0.092	0.078	0.082	0.006	-0.033	-0.264**	0.045	-0.041	0.043	0.109
	[0.067]	[0.075]	[0.066]	[0.053]	[0.077]	[0.131]	[0.054]	[0.083]	[0.054]	[0.067]
Male	0.056	0.054	0.081	0.032	0.035	-0.429***	0.054	0.069	0.040	0.055
	[0.048]	[0.058]	[0.050]	[0.035]	[0.041]	[0.103]	[0.037]	[0.044]	[0.037]	[0.045]
poorBHealth	-0.184**	-0.156	-0.126	-0.068	0.072	0.194***	-0.101	-0.005	-0.101	-0.043
	[0.085]	[0.104]	[0.091]	[0.059]	[0.073]	[0.074]	[0.065]	[0.079]	[0.066]	[0.086]
oldsibs	-0.201*	-0.386**	-0.255**	0.076	0.116	0.549**	-0.067	-0.106	-0.013	0.035
	[0.118]	[0.192]	[0.115]	[0.085]	[0.101]	[0.250]	[0.104]	[0.141]	[0.094]	[0.121]
momMaxEdu_Uni_F	-0.033	-0.024	-0.001	-0.045	-0.129**	-0.437***	-0.063	-0.140***	-0.029	-0.084
	[0.057]	[0.071]	[0.061]	[0.040]	[0.053]	[0.085]	[0.042]	[0.052]	[0.045]	[0.058]
dadMaxEdu_Uni_F	0.048	-0.061	0.023	0.057	0.044	0.851***	0.043	0.005	0.061	0.096*
	[0.060]	[0.114]	[0.062]	[0.042]	[0.060]	[0.069]	[0.044]	[0.061]	[0.046]	[0.054]
momMaxEdu_Uni_Miss	-0.579***	-0.571**	-0.632***	0.073	-0.089	-0.028	-0.325*	-0.376*	-0.383**	-0.400*
	[0.195]	[0.236]	[0.206]	[0.172]	[0.229]	[0.151]	[0.187]	[0.193]	[0.191]	[0.213]
dadMaxEdu_Uni_Miss	0.078	0.133	0.097	-0.097	0.022	-0.324**	-0.008	0.017	-0.083	-0.064
	[0.070]	[0.087]	[0.073]	[0.066]	[0.089]	[0.152]	[0.068]	[0.092]	[0.066]	[0.089]
HighInc_F	-0.040	-0.071	-0.050	-0.084*	-0.103	-0.345***	-0.045	-0.088	-0.080	-0.005
	[0.068]	[0.083]	[0.068]	[0.050]	[0.083]	[0.049]	[0.050]	[0.082]	[0.056]	[0.064]
HighInc_Miss	0.158***	0.122	0.094	0.028	0.028	-0.020	0.058	0.068	0.103**	0.104**
	[0.053]	[0.074]	[0.068]	[0.043]	[0.058]	[0.169]	[0.045]	[0.054]	[0.043]	[0.047]
houseOwn_F	0.094*	0.047	0.070	0.043	0.043	0.550***	0.049	0.045	0.063*	0.054
	[0.048]	[0.064]	[0.047]	[0.037]	[0.054]	[0.091]	[0.038]	[0.050]	[0.038]	[0.049]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.023**	-0.021**	-0.020*	-0.002	0.004	0.116***	-0.004	-0.003	-0.016*	-0.008
	[0.010]	[0.011]	[0.010]	[0.009]	[0.015]	[0.019]	[0.008]	[0.012]	[0.009]	[0.011]
cgRelig_F	0.003	0.021	-0.022	-0.054	0.010	-0.937***	-0.007	0.143	-0.061	-0.168***
	[0.065]	[0.080]	[0.067]	[0.049]	[0.092]	[0.154]	[0.052]	[0.103]	[0.051]	[0.065]
cgRelig_Miss	-0.258	-0.351	-0.215	0.081	0.018	-1.198***	-0.127	0.020	0.060	-0.107
	[0.225]	[0.292]	[0.218]	[0.106]	[0.159]	[0.207]	[0.174]	[0.182]	[0.102]	[0.157]
CAPI	-0.027	-0.019	-0.019	-0.006	-0.095*	0.427***	-0.044	-0.157***	0.011	0.016
	[0.047]	[0.059]	[0.047]	[0.035]	[0.054]	[0.115]	[0.036]	[0.052]	[0.036]	[0.049]
houseOwn_Miss	0.125*	0.095		-0.037		0.278	-0.120		0.179***	
	[0.068]	[0.080]		[0.270]		[0.256]	[0.257]		[0.056]	
Parma							-0.146***			
							[0.048]			
Reggio								0.045		0.080
								[0.076]		[0.065]
nidoXreggio								0.204		0.118
								[0.162]		[0.144]
Padova									-0.184***	
									[0.045]	
Constant	0.171	0.307	0.383	0.664*	0.954*	2.475***	0.516	0.970*	0.589	0.058
	[0.463]	[0.525]	[0.463]	[0.354]	[0.507]	[0.800]	[0.370]	[0.557]	[0.371]	[0.457]
										
Observations	306	306	305	722	719	722	592	589	582	580
R-squared	0.152	-0.220	0.165	0.027	0.064	0.966	0.051	0.122	0.090	0.087
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.79	.79	.79	.79	.79	.79	.79	.79	.79	.79
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
