	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.057	0.221	0.274	0.103**	0.158**	0.109**	-0.048	-0.354***	-0.051	-0.089
	[0.046]	[0.166]	[0.187]	[0.040]	[0.066]	[0.052]	[0.045]	[0.092]	[0.045]	[0.129]
unobs			-0.542*							
			[0.285]							
unobs2			-0.007							
			[0.178]							
unobs3			0.625							
			[0.437]							
Age	0.094	0.088	0.092	-0.017	0.278**	0.190**	0.047	0.170*	0.037	0.071
	[0.067]	[0.072]	[0.067]	[0.051]	[0.122]	[0.083]	[0.055]	[0.087]	[0.053]	[0.076]
Male	0.056	0.053	0.059	0.029	0.076	0.402***	0.053	-0.114**	0.034	-0.021
	[0.047]	[0.050]	[0.048]	[0.035]	[0.071]	[0.092]	[0.036]	[0.055]	[0.037]	[0.053]
poorBHealth	-0.186**	-0.200**	-0.193**	-0.060	-0.205**	-0.417***	-0.107*	-0.098	-0.111*	-0.072
	[0.083]	[0.089]	[0.084]	[0.061]	[0.085]	[0.092]	[0.065]	[0.093]	[0.066]	[0.086]
oldsibs	-0.196	-0.131	-0.172	0.093	0.145	0.099	-0.062	-0.227**	-0.024	0.026
	[0.121]	[0.123]	[0.130]	[0.084]	[0.175]	[0.084]	[0.105]	[0.108]	[0.092]	[0.121]
momMaxEdu_Uni_F	-0.035	-0.038	-0.044	-0.057	0.071	0.248***	-0.063	-0.150**	-0.039	-0.021
	[0.057]	[0.062]	[0.056]	[0.040]	[0.116]	[0.082]	[0.041]	[0.061]	[0.044]	[0.066]
dadMaxEdu_Uni_F	0.057	0.068	0.064	0.042	-0.262***	-0.514***	0.047	-0.330***	0.060	0.141
	[0.059]	[0.065]	[0.058]	[0.042]	[0.084]	[0.135]	[0.044]	[0.071]	[0.046]	[0.096]
momMaxEdu_Uni_Miss	-0.586***	-0.548***	-0.597***	-0.069	-0.238	-0.172	-0.328*	-0.387*	-0.378**	-0.345***
	[0.194]	[0.185]	[0.185]	[0.189]	[0.202]	[0.342]	[0.185]	[0.222]	[0.185]	[0.121]
dadMaxEdu_Uni_Miss	0.080	0.042	0.064	-0.094	-0.116	-0.131***	-0.004	0.079	-0.085	0.161
	[0.072]	[0.070]	[0.072]	[0.063]	[0.110]	[0.048]	[0.069]	[0.103]	[0.066]	[0.169]
HighInc_F	-0.032	-0.053	-0.044	-0.071	-0.840***	0.045	-0.042	-0.055	-0.081	-0.114
	[0.067]	[0.074]	[0.068]	[0.050]	[0.172]	[0.058]	[0.050]	[0.080]	[0.056]	[0.073]
HighInc_Miss	0.166***	0.157***	0.162***	0.047	0.224***	0.245***	0.063	0.158***	0.120***	0.082
	[0.050]	[0.053]	[0.050]	[0.040]	[0.070]	[0.086]	[0.044]	[0.056]	[0.041]	[0.066]
houseOwn_F	0.093*	0.120**	0.105**	0.039	0.580***	-0.069	0.047	-0.008	0.061	0.623***
	[0.048]	[0.053]	[0.050]	[0.037]	[0.182]	[0.097]	[0.038]	[0.065]	[0.038]	[0.172]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.024**	-0.021**	-0.022**	0.004	0.000	0.030**	-0.004	-0.004	-0.017*	0.040**
	[0.010]	[0.010]	[0.010]	[0.009]	[0.022]	[0.015]	[0.008]	[0.014]	[0.009]	[0.016]
cgRelig_F	-0.008	0.040	0.031	-0.047	-0.035	0.039	-0.011	0.013	-0.061	-0.086
	[0.065]	[0.080]	[0.073]	[0.049]	[0.111]	[0.071]	[0.052]	[0.078]	[0.051]	[0.090]
cgRelig_Miss	-0.250	-0.256	-0.271	0.073	-0.202*	-0.148*	-0.129	-0.065	0.066	-0.005
	[0.227]	[0.263]	[0.259]	[0.105]	[0.103]	[0.082]	[0.173]	[0.122]	[0.102]	[0.123]
CAPI	-0.022	-0.052	-0.036	0.019	0.010	0.211***	-0.044	-0.061	0.015	-0.058
	[0.048]	[0.055]	[0.051]	[0.034]	[0.074]	[0.075]	[0.036]	[0.056]	[0.037]	[0.063]
houseOwn_Miss	0.103	0.240**		-0.031		0.037	-0.129		0.186***	
	[0.069]	[0.112]		[0.272]		[0.325]	[0.268]		[0.058]	
Parma							-0.122***			
							[0.042]			
Reggio								0.236***		0.265***
								[0.076]		[0.076]
materna_Municipal								0.289***		0.035
								[0.075]		[0.115]
Padova									-0.201***	
									[0.044]	
Constant	0.181	0.036	-0.004	0.782**	-1.444	-1.000*	0.509	-0.350	0.619*	-0.323
	[0.464]	[0.504]	[0.467]	[0.347]	[1.018]	[0.548]	[0.372]	[0.621]	[0.370]	[0.494]
										
Observations	306	306	305	728	725	725	592	589	582	580
R-squared	0.152	0.044	0.162	0.031	0.996	0.828	0.049	0.999	0.088	0.627
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.79	.79	.79	.79	.79	.79	.79	.79	.79	.79
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
