	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.237	0.642	0.330	0.025	0.063	-0.004	0.141*	0.347	0.185**	0.471*
	[0.157]	[1.097]	[0.271]	[0.054]	[0.081]	[0.056]	[0.079]	[0.257]	[0.081]	[0.259]
asilo_Municipal								-0.082		-0.216
								[0.149]		[0.183]
nido	-0.165	-0.515	-0.223	-0.048	-0.055	0.005	-0.049	-0.011	-0.095	0.207
	[0.159]	[1.018]	[0.161]	[0.044]	[0.074]	[0.048]	[0.057]	[0.158]	[0.062]	[0.167]
unobsA			0.087							
			[0.383]							
unobsA2			0.220							
			[0.173]							
unobsA3			-0.261							
			[0.513]							
Age	-0.192**	-0.187*	-0.196**	-0.084	0.056	-0.089	-0.144**	0.017	-0.121**	-0.092
	[0.089]	[0.110]	[0.091]	[0.055]	[0.094]	[0.060]	[0.063]	[0.108]	[0.061]	[0.067]
Male	0.030	0.032	0.030	-0.047	-0.106*	-0.023	-0.008	-0.063	-0.011	-0.035
	[0.059]	[0.061]	[0.061]	[0.036]	[0.056]	[0.040]	[0.041]	[0.063]	[0.041]	[0.050]
poorBHealth	-0.019	-0.052	-0.042	0.040	0.228**	0.028	0.028	0.291**	-0.018	-0.043
	[0.104]	[0.111]	[0.114]	[0.064]	[0.108]	[0.073]	[0.069]	[0.128]	[0.074]	[0.094]
oldsibs	0.054	0.066	0.063	-0.034	-0.013	-0.030	0.017	0.005	-0.018	-0.029
	[0.063]	[0.070]	[0.063]	[0.039]	[0.061]	[0.042]	[0.045]	[0.074]	[0.043]	[0.044]
momMaxEdu_Uni_F	-0.027	0.024	0.010	-0.028	-0.074	-0.033	-0.000	-0.026	-0.067	-0.082
	[0.073]	[0.083]	[0.074]	[0.046]	[0.081]	[0.049]	[0.052]	[0.093]	[0.053]	[0.059]
dadMaxEdu_Uni_F	0.060	0.007	-0.004	0.073	0.045	0.070	0.078	0.095	0.055	0.041
	[0.085]	[0.091]	[0.089]	[0.050]	[0.079]	[0.054]	[0.058]	[0.092]	[0.057]	[0.064]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.071	-0.160	-0.147	-0.041	-0.283**	-0.053	-0.108*	-0.260**	-0.059	-0.143*
	[0.094]	[0.121]	[0.099]	[0.060]	[0.130]	[0.064]	[0.065]	[0.118]	[0.069]	[0.083]
HighInc_F	0.045	0.007	0.035	0.027	0.004	0.010	0.033	0.045	-0.001	-0.074
	[0.076]	[0.109]	[0.082]	[0.051]	[0.081]	[0.058]	[0.054]	[0.088]	[0.059]	[0.065]
HighInc_Miss	0.108	0.107	0.128	0.107**	0.115*	0.126***	0.056	0.106	0.103**	0.068
	[0.076]	[0.081]	[0.080]	[0.044]	[0.067]	[0.047]	[0.054]	[0.081]	[0.048]	[0.057]
houseOwn_F	-0.040	0.032	0.001	0.011	0.019	0.029	-0.052	-0.090	-0.002	0.092
	[0.082]	[0.092]	[0.088]	[0.050]	[0.072]	[0.056]	[0.058]	[0.082]	[0.052]	[0.060]
distCenter	-0.008	-0.002	0.000	0.024**	-0.010	0.017	0.009	-0.019	0.001	0.001
	[0.013]	[0.014]	[0.015]	[0.011]	[0.017]	[0.013]	[0.010]	[0.015]	[0.011]	[0.012]
cgRelig_F	0.033	0.083	0.066	0.088*	0.172**	0.121**	0.033	0.125	0.090	0.181**
	[0.073]	[0.098]	[0.078]	[0.054]	[0.075]	[0.059]	[0.055]	[0.081]	[0.056]	[0.074]
cgRelig_Miss	-0.089	-0.088	-0.099	0.061	0.269**	0.122	-0.211	-0.311	0.095	0.267**
	[0.263]	[0.271]	[0.260]	[0.090]	[0.110]	[0.094]	[0.260]	[0.281]	[0.094]	[0.105]
CAPI	-0.001	-0.000	-0.016	0.026	0.027	0.006	-0.035	-0.024	0.047	0.011
	[0.060]	[0.063]	[0.063]	[0.037]	[0.058]	[0.040]	[0.042]	[0.063]	[0.041]	[0.049]
momMaxEdu_Uni_Miss	-0.023			-0.058		-0.049	0.048		-0.104	
	[0.211]			[0.129]		[0.136]	[0.164]		[0.133]	
Parma							0.138**			
							[0.057]			
Reggio								-0.090		-0.105*
								[0.096]		[0.064]
nidoXreggio								-0.166		-0.367
								[0.257]		[0.248]
Padova									0.110**	
									[0.053]	
Constant	4.152**	3.919*	4.072**	2.086**	-0.464	2.117*	3.237***	0.402	2.738**	2.244*
	[1.675]	[2.119]	[1.723]	[1.043]	[1.760]	[1.133]	[1.187]	[2.030]	[1.153]	[1.274]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.048	0.048	0.072	0.044	0.156	0.045	0.046	0.138	0.053	0.140
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.61	.61	.61	.61	.61	.61	.61	.61	.61	.61
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
