	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.422***	1.892	0.867***	0.126**	0.208***	0.122**	0.231***	0.485*	0.178**	0.095
	[0.139]	[1.264]	[0.257]	[0.054]	[0.073]	[0.056]	[0.078]	[0.258]	[0.081]	[0.288]
asilo_Municipal								-0.211		0.230
								[0.165]		[0.204]
nido	-0.310**	-1.685	-0.282*	-0.069	-0.110	-0.049	-0.128**	-0.056	-0.055	-0.166
	[0.142]	[1.183]	[0.158]	[0.046]	[0.077]	[0.049]	[0.059]	[0.167]	[0.064]	[0.186]
unobsA			-0.790**							
			[0.342]							
unobsA2			0.089							
			[0.175]							
unobsA3			0.747							
			[0.520]							
Age	0.131	0.193*	0.115	0.153***	0.157	0.126**	0.183***	0.095	0.102	0.190**
	[0.091]	[0.115]	[0.094]	[0.057]	[0.100]	[0.061]	[0.065]	[0.106]	[0.062]	[0.083]
Male	0.088	0.095	0.088	0.081**	0.107*	0.072*	0.097**	0.132**	0.098**	0.083
	[0.057]	[0.071]	[0.059]	[0.038]	[0.057]	[0.041]	[0.043]	[0.060]	[0.041]	[0.056]
poorBHealth	0.064	0.116	0.088	0.065	-0.100	0.066	0.101	-0.032	0.026	0.031
	[0.109]	[0.133]	[0.112]	[0.065]	[0.099]	[0.076]	[0.075]	[0.119]	[0.073]	[0.077]
oldsibs	0.091	0.115	0.082	0.094**	-0.021	0.089**	0.068	0.055	0.077*	-0.072
	[0.059]	[0.082]	[0.061]	[0.040]	[0.075]	[0.042]	[0.045]	[0.065]	[0.042]	[0.059]
momMaxEdu_Uni_F	-0.056	-0.014	-0.067	-0.010	0.069	0.018	0.017	0.056	-0.037	-0.028
	[0.071]	[0.103]	[0.074]	[0.047]	[0.076]	[0.050]	[0.055]	[0.082]	[0.051]	[0.063]
dadMaxEdu_Uni_F	0.171**	0.197*	0.163*	0.064	0.138	0.039	0.036	-0.030	0.128**	0.245***
	[0.082]	[0.113]	[0.089]	[0.050]	[0.090]	[0.054]	[0.060]	[0.091]	[0.056]	[0.076]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.006	-0.083	-0.004	0.009	-0.165**	0.002	0.019	-0.145*	-0.015	-0.100
	[0.084]	[0.127]	[0.091]	[0.062]	[0.075]	[0.066]	[0.065]	[0.076]	[0.066]	[0.085]
HighInc_F	0.102	-0.007	0.069	0.091*	-0.019	0.099*	0.116**	0.080	0.102*	0.024
	[0.073]	[0.122]	[0.079]	[0.053]	[0.087]	[0.058]	[0.056]	[0.082]	[0.058]	[0.072]
HighInc_Miss	0.129*	0.127	0.175**	0.073	0.026	0.057	0.115**	0.104	0.078	0.081
	[0.074]	[0.099]	[0.080]	[0.047]	[0.073]	[0.050]	[0.054]	[0.078]	[0.051]	[0.067]
houseOwn_F	0.027	0.103	0.017	-0.002	-0.122*	0.011	0.010	-0.099	0.009	-0.041
	[0.081]	[0.098]	[0.088]	[0.051]	[0.068]	[0.054]	[0.059]	[0.073]	[0.054]	[0.069]
distCenter	0.022*	0.025*	0.031**	-0.013	-0.045***	-0.011	-0.005	-0.009	0.014	-0.026
	[0.012]	[0.014]	[0.013]	[0.011]	[0.016]	[0.012]	[0.010]	[0.012]	[0.010]	[0.016]
cgRelig_F	0.120*	0.212**	0.160**	0.082	0.023	0.097	0.035	-0.037	0.143**	0.167**
	[0.071]	[0.104]	[0.078]	[0.055]	[0.079]	[0.060]	[0.057]	[0.080]	[0.056]	[0.074]
cgRelig_Miss	0.353***	0.318**	0.310***	0.279***	0.092	0.298***	0.126	-0.281	0.350***	0.207
	[0.105]	[0.143]	[0.101]	[0.096]	[0.167]	[0.101]	[0.223]	[0.292]	[0.095]	[0.137]
CAPI	-0.185***	-0.166**	-0.193***	-0.028	-0.048	-0.036	-0.086**	-0.094	-0.110***	-0.140***
	[0.058]	[0.074]	[0.061]	[0.039]	[0.058]	[0.041]	[0.043]	[0.058]	[0.042]	[0.052]
momMaxEdu_Uni_Miss	-0.039			-0.009		-0.065	-0.131		0.012	
	[0.152]			[0.126]		[0.125]	[0.144]		[0.123]	
Parma							0.049			
							[0.058]			
Reggio								-0.034		0.051
								[0.084]		[0.074]
nidoXreggio								-0.143		-0.091
								[0.262]		[0.277]
Padova									0.075	
									[0.054]	
Constant	-2.223	-3.509	-2.213	-2.464**	-2.255	-1.973*	-3.067**	-1.157	-1.684	-3.112**
	[1.694]	[2.224]	[1.758]	[1.076]	[1.905]	[1.157]	[1.224]	[2.017]	[1.170]	[1.546]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.140	-0.202	0.144	0.062	0.172	0.058	0.072	0.175	0.091	0.170
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.54	.54	.54	.54	.54	.54	.54	.54	.54	.54
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
