	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.013	0.002	-0.006	-0.008	0.015	0.098	0.002	0.038	0.003	-0.257*
	[0.058]	[0.209]	[0.231]	[0.045]	[0.055]	[0.106]	[0.057]	[0.130]	[0.057]	[0.139]
unobs			0.016							
			[0.361]							
unobs2			0.284							
			[0.209]							
unobs3			0.067							
			[0.561]							
Age	0.041	0.041	0.046	0.156***	0.326***	-0.513***	0.083	0.207*	0.084	0.099
	[0.082]	[0.082]	[0.082]	[0.053]	[0.105]	[0.182]	[0.060]	[0.106]	[0.058]	[0.097]
Male	0.004	0.004	0.005	-0.003	0.052	-0.132	-0.014	0.177**	0.020	0.006
	[0.057]	[0.057]	[0.057]	[0.037]	[0.086]	[0.148]	[0.040]	[0.090]	[0.041]	[0.044]
poorBHealth	-0.003	-0.003	0.003	0.072	0.088	0.260	0.074	0.003	-0.030	0.267
	[0.090]	[0.091]	[0.090]	[0.062]	[0.131]	[0.239]	[0.068]	[0.111]	[0.066]	[0.170]
oldsibs	-0.010	-0.012	0.033	0.055	0.055	0.601*	-0.112	0.086	0.082	0.041
	[0.146]	[0.155]	[0.150]	[0.103]	[0.121]	[0.310]	[0.109]	[0.097]	[0.099]	[0.117]
momMaxEdu_Uni_F	0.040	0.040	0.044	0.138***	0.318***	-0.013	0.078*	0.215***	0.107**	0.218***
	[0.070]	[0.070]	[0.072]	[0.043]	[0.088]	[0.172]	[0.047]	[0.067]	[0.050]	[0.065]
dadMaxEdu_Uni_F	-0.037	-0.038	-0.034	-0.107**	0.157	-0.218	-0.071	0.052	-0.118**	-0.147*
	[0.075]	[0.075]	[0.076]	[0.045]	[0.108]	[0.234]	[0.051]	[0.090]	[0.053]	[0.082]
momMaxEdu_Uni_Miss	0.501***	0.499***	0.491***	0.150	0.344	0.174	0.420***	0.345*	0.319*	0.489***
	[0.153]	[0.155]	[0.152]	[0.204]	[0.287]	[0.276]	[0.155]	[0.177]	[0.181]	[0.148]
dadMaxEdu_Uni_Miss	-0.120	-0.118	-0.116	-0.056	0.469***	-0.227*	-0.163**	0.326***	-0.015	-0.048
	[0.107]	[0.111]	[0.110]	[0.063]	[0.118]	[0.120]	[0.070]	[0.113]	[0.073]	[0.074]
HighInc_F	0.029	0.030	0.037	0.069	0.354**	-0.618***	0.084	0.436***	0.060	-0.020
	[0.079]	[0.080]	[0.080]	[0.052]	[0.169]	[0.145]	[0.055]	[0.085]	[0.061]	[0.076]
HighInc_Miss	-0.014	-0.014	-0.020	0.109**	0.299***	-0.013	0.105**	0.524***	0.042	-0.028
	[0.073]	[0.073]	[0.073]	[0.045]	[0.076]	[0.166]	[0.052]	[0.093]	[0.049]	[0.072]
houseOwn_F	0.026	0.025	0.013	0.022	0.056	0.538**	0.031	0.157***	0.039	0.020
	[0.059]	[0.063]	[0.063]	[0.039]	[0.071]	[0.213]	[0.043]	[0.057]	[0.043]	[0.040]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.003	0.003	0.005	0.002	0.027*	-0.280***	0.004	0.037***	0.004	0.005
	[0.011]	[0.011]	[0.011]	[0.009]	[0.015]	[0.036]	[0.008]	[0.014]	[0.010]	[0.009]
cgRelig_F	-0.051	-0.053	-0.089	-0.047	-0.227**	-0.181*	-0.081	-0.089	-0.010	-0.202**
	[0.084]	[0.093]	[0.094]	[0.052]	[0.092]	[0.110]	[0.060]	[0.072]	[0.060]	[0.092]
cgRelig_Miss	-0.022	-0.022	0.194	-0.129	-0.347***	0.171	0.130	-0.076	-0.200	-0.459***
	[0.306]	[0.304]	[0.308]	[0.120]	[0.119]	[0.183]	[0.199]	[0.120]	[0.123]	[0.132]
CAPI	-0.203***	-0.201***	-0.186***	-0.062*	-0.440***	0.436***	-0.091**	-0.215***	-0.120***	-0.139*
	[0.060]	[0.064]	[0.064]	[0.037]	[0.084]	[0.155]	[0.041]	[0.063]	[0.042]	[0.077]
houseOwn_Miss	-0.029	-0.035		0.281		0.570	0.253		-0.079	
	[0.414]	[0.421]		[0.243]		[0.386]	[0.252]		[0.240]	
Parma							-0.030			
							[0.051]			
Reggio								0.046		-0.007
								[0.092]		[0.077]
materna_Municipal								-0.027		0.266**
								[0.108]		[0.124]
Padova									0.037	
									[0.053]	
Constant	0.266	0.272	0.199	-0.639*	-1.842**	4.542***	-0.100	-1.483**	-0.147	-0.057
	[0.573]	[0.590]	[0.588]	[0.360]	[0.755]	[1.160]	[0.415]	[0.690]	[0.407]	[0.615]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.066	0.066	0.074	0.044	0.998	0.946	0.054	0.831	0.046	0.670
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.42	.42	.42	.42	.42	.42	.42	.42	.42	.42
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
