	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.046	0.134	0.099	-0.014	-0.023	-0.016	-0.049	-0.036	-0.029	-0.089
	[0.035]	[0.146]	[0.168]	[0.030]	[0.032]	[0.030]	[0.033]	[0.053]	[0.034]	[0.066]
unobsM			-0.122							
			[0.258]							
unobsM2			-0.160							
			[0.131]							
unobsM3			-0.136							
			[0.371]							
Age	-0.019	-0.004	-0.010	0.024	0.087*	0.026	0.032	0.058	-0.014	0.031
	[0.045]	[0.049]	[0.048]	[0.034]	[0.050]	[0.035]	[0.036]	[0.042]	[0.037]	[0.055]
Male	-0.036	-0.033	-0.031	0.042*	0.029	0.047*	0.003	-0.009	0.020	0.021
	[0.034]	[0.035]	[0.034]	[0.025]	[0.031]	[0.025]	[0.024]	[0.028]	[0.027]	[0.033]
poorBHealth	0.080***	0.099***	0.094***	0.018	0.069*	0.013	0.068***	0.084***	0.022	0.067
	[0.025]	[0.032]	[0.030]	[0.036]	[0.041]	[0.038]	[0.024]	[0.030]	[0.042]	[0.045]
oldsibs	0.041	0.042	0.043	0.022	0.039	0.018	0.033	0.038	0.015	0.042
	[0.032]	[0.033]	[0.033]	[0.024]	[0.031]	[0.025]	[0.023]	[0.025]	[0.027]	[0.034]
momMaxEdu_Uni_F	0.052*	0.071*	0.064*	0.003	0.018	-0.000	0.033	0.045*	0.017	0.023
	[0.027]	[0.036]	[0.034]	[0.028]	[0.033]	[0.029]	[0.022]	[0.023]	[0.030]	[0.040]
dadMaxEdu_Uni_F	-0.036	-0.045	-0.043	0.006	0.008	0.013	0.009	0.006	-0.019	0.007
	[0.036]	[0.043]	[0.038]	[0.031]	[0.035]	[0.031]	[0.026]	[0.026]	[0.034]	[0.044]
momMaxEdu_Uni_Miss	-0.143	-0.139	-0.134	0.024	0.063	0.042	-0.080	-0.068	0.029	0.081
	[0.173]	[0.188]	[0.167]	[0.097]	[0.103]	[0.087]	[0.144]	[0.151]	[0.097]	[0.101]
dadMaxEdu_Uni_Miss	-0.001	-0.021	-0.022	0.008	-0.050	0.013	0.010	-0.010	0.004	-0.042
	[0.050]	[0.060]	[0.056]	[0.041]	[0.071]	[0.041]	[0.036]	[0.055]	[0.045]	[0.078]
HighInc_F	0.040	0.028	0.028	0.039*	0.027	0.038*	0.037*	0.039	0.031	0.027
	[0.028]	[0.032]	[0.030]	[0.021]	[0.027]	[0.022]	[0.023]	[0.025]	[0.024]	[0.033]
HighInc_Miss	-0.149***	-0.159***	-0.159***	-0.196***	-0.256***	-0.199***	-0.126***	-0.135***	-0.195***	-0.255***
	[0.056]	[0.058]	[0.055]	[0.034]	[0.046]	[0.034]	[0.039]	[0.049]	[0.036]	[0.047]
houseOwn_F	0.136**	0.133**	0.129**	0.056	0.076	0.054	0.057	0.064	0.103**	0.117**
	[0.061]	[0.064]	[0.061]	[0.037]	[0.052]	[0.038]	[0.039]	[0.048]	[0.043]	[0.050]
distCenter	-0.000	-0.000	-0.001	-0.004	-0.013*	-0.003	0.002	-0.001	-0.000	-0.007
	[0.007]	[0.008]	[0.007]	[0.006]	[0.008]	[0.006]	[0.005]	[0.006]	[0.007]	[0.008]
cgRelig_F	-0.011	0.037	0.048	-0.010	0.050	-0.008	-0.018	-0.004	0.012	0.082
	[0.044]	[0.051]	[0.051]	[0.031]	[0.048]	[0.031]	[0.032]	[0.041]	[0.035]	[0.052]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.028	-0.047	-0.048	-0.056**	-0.077**	-0.058**	-0.001	0.002	-0.088***	-0.125***
	[0.033]	[0.042]	[0.039]	[0.024]	[0.032]	[0.025]	[0.024]	[0.031]	[0.028]	[0.034]
cgRelig_Miss	0.194***	0.147*		-0.357***		-0.366***	0.139**		-0.319***	
	[0.071]	[0.087]		[0.090]		[0.089]	[0.066]		[0.094]	
Parma							-0.013			
							[0.027]			
Reggio								0.011		0.065
								[0.037]		[0.044]
materna_Municipal								-0.016		0.038
								[0.039]		[0.054]
Padova									-0.035	
									[0.030]	
Constant	1.202	0.812	0.965	0.459	-0.747	0.412	0.286	-0.224	1.151*	0.219
	[0.838]	[0.964]	[0.933]	[0.654]	[0.936]	[0.668]	[0.674]	[0.800]	[0.694]	[1.028]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.145	0.054	0.154	0.209	0.197	0.219	0.085	0.098	0.247	0.245
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.91	.91	.91	.91	.91	.91	.91	.91	.91	.91
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
