	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.187**	0.378	0.132	-0.102**	-0.146***	-0.625***	-0.025	-0.376***	-0.070	-0.337***
	[0.074]	[0.579]	[0.196]	[0.042]	[0.047]	[0.177]	[0.057]	[0.114]	[0.059]	[0.096]
asilo_Municipal								0.102		0.065
								[0.085]		[0.067]
nido	0.193**	-0.275	0.180**	-0.003	-0.000	0.337**	0.018	-0.115	0.087*	0.020
	[0.077]	[0.487]	[0.079]	[0.035]	[0.046]	[0.138]	[0.039]	[0.088]	[0.045]	[0.073]
unobs			-0.341							
			[0.287]							
unobs2			0.177							
			[0.136]							
unobs3			-0.015							
			[0.383]							
Age	-0.007	0.003	0.012	0.152***	0.201***	0.941***	0.036	0.116*	0.072	0.137**
	[0.068]	[0.074]	[0.068]	[0.045]	[0.059]	[0.277]	[0.050]	[0.067]	[0.049]	[0.054]
Male	-0.021	-0.024	-0.050	0.020	0.009	0.103	0.022	0.027	-0.031	-0.076**
	[0.052]	[0.055]	[0.054]	[0.030]	[0.033]	[0.166]	[0.034]	[0.037]	[0.036]	[0.038]
poorBHealth	0.102	0.082	0.039	0.011	0.013	-0.097	0.079	0.038	-0.002	-0.014
	[0.077]	[0.088]	[0.082]	[0.049]	[0.046]	[0.143]	[0.049]	[0.048]	[0.061]	[0.061]
oldsibs	-0.011	0.114	0.098	0.027	0.019	0.061	-0.020	-0.085	0.068	0.116*
	[0.114]	[0.185]	[0.112]	[0.073]	[0.109]	[0.226]	[0.098]	[0.143]	[0.066]	[0.059]
momMaxEdu_Uni_F	-0.022	-0.029	-0.054	-0.018	-0.020	-0.315**	-0.020	-0.041	-0.037	-0.013
	[0.063]	[0.069]	[0.065]	[0.034]	[0.038]	[0.137]	[0.038]	[0.042]	[0.042]	[0.043]
dadMaxEdu_Uni_F	0.028	0.096	0.048	-0.013	-0.053	-0.043	0.035	0.002	-0.038	-0.083
	[0.068]	[0.109]	[0.072]	[0.036]	[0.042]	[0.164]	[0.041]	[0.039]	[0.045]	[0.052]
momMaxEdu_Uni_Miss	0.198	0.193	0.231	0.223***	0.263***	-0.009	0.153	0.161	0.129	0.227**
	[0.167]	[0.179]	[0.179]	[0.041]	[0.054]	[0.270]	[0.122]	[0.104]	[0.129]	[0.115]
dadMaxEdu_Uni_Miss	-0.003	-0.042	-0.027	0.058	0.078	0.167	0.037	0.123*	0.015	0.024
	[0.089]	[0.099]	[0.087]	[0.048]	[0.055]	[0.153]	[0.060]	[0.064]	[0.057]	[0.062]
HighInc_F	-0.123*	-0.103	-0.126*	-0.009	0.011	0.206***	-0.031	-0.037	-0.049	-0.072
	[0.071]	[0.078]	[0.071]	[0.041]	[0.050]	[0.074]	[0.044]	[0.047]	[0.051]	[0.055]
HighInc_Miss	-0.276***	-0.248***	-0.206***	-0.049	-0.041	0.603	-0.135***	-0.147***	-0.156***	-0.170***
	[0.066]	[0.072]	[0.076]	[0.038]	[0.053]	[0.391]	[0.043]	[0.052]	[0.043]	[0.048]
houseOwn_F	0.065	0.091	0.086	0.070**	0.092**	-0.035	0.100***	0.154***	0.076**	0.044
	[0.054]	[0.064]	[0.057]	[0.034]	[0.042]	[0.189]	[0.038]	[0.043]	[0.038]	[0.041]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.009	0.009	0.003	0.017**	-0.112**	0.005	0.013**	-0.000	0.002
	[0.010]	[0.011]	[0.010]	[0.008]	[0.007]	[0.049]	[0.007]	[0.005]	[0.009]	[0.010]
cgRelig_F	-0.040	-0.051	-0.029	-0.026	-0.060	0.285	-0.041	-0.027	-0.037	-0.072
	[0.071]	[0.075]	[0.072]	[0.042]	[0.042]	[0.186]	[0.048]	[0.044]	[0.049]	[0.050]
cgRelig_Miss	0.100	0.197	0.242**	-0.161	-0.156	0.440	-0.155	-0.229	-0.018	0.093
	[0.198]	[0.227]	[0.122]	[0.124]	[0.128]	[0.390]	[0.192]	[0.172]	[0.125]	[0.131]
CAPI	-0.005	-0.013	-0.012	-0.014	-0.058	-0.606***	0.050	0.023	-0.013	-0.057
	[0.053]	[0.057]	[0.052]	[0.030]	[0.036]	[0.118]	[0.034]	[0.035]	[0.036]	[0.039]
houseOwn_Miss	-0.150	-0.022		-0.080		-0.719**	0.143		-0.303	
	[0.497]	[0.437]		[0.269]		[0.362]	[0.177]		[0.309]	
Parma							0.102**			
							[0.042]			
Reggio								-0.150**		-0.053
								[0.059]		[0.062]
nidoXreggio								0.381***		0.249**
								[0.114]		[0.099]
Padova									0.055	
									[0.045]	
Constant	0.815*	0.722	0.480	-0.211	-0.529	-5.152***	0.426	-0.016	0.293	0.012
	[0.478]	[0.528]	[0.493]	[0.309]	[0.399]	[1.718]	[0.349]	[0.469]	[0.339]	[0.361]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.103	-0.024	0.129	0.043	0.099	0.772	0.067	0.143	0.064	0.107
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.72	.72	.72	.72	.72	.72	.72	.72	.72	.72
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
