	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.037	1.397	-0.066	-0.052	0.040	-0.043	0.017	0.296	0.077	0.119
	[0.162]	[1.076]	[0.277]	[0.057]	[0.078]	[0.058]	[0.082]	[0.245]	[0.084]	[0.261]
asilo_Municipal								-0.207		-0.095
								[0.130]		[0.184]
nido	0.017	-1.302	-0.035	-0.072	-0.194***	-0.075	-0.049	0.010	-0.111*	-0.216
	[0.163]	[1.016]	[0.171]	[0.046]	[0.070]	[0.049]	[0.059]	[0.133]	[0.063]	[0.170]
unobsA			0.325							
			[0.393]							
unobsA2			0.014							
			[0.199]							
unobsA3			-0.676							
			[0.593]							
Age	-0.050	0.022	-0.066	-0.014	0.073	-0.005	-0.004	0.141	-0.016	-0.040
	[0.096]	[0.127]	[0.099]	[0.057]	[0.089]	[0.061]	[0.065]	[0.094]	[0.064]	[0.077]
Male	-0.001	0.005	-0.015	0.042	-0.046	0.052	0.042	-0.004	0.001	-0.054
	[0.064]	[0.075]	[0.066]	[0.039]	[0.057]	[0.041]	[0.044]	[0.063]	[0.043]	[0.050]
poorBHealth	0.048	0.068	0.057	-0.027	0.142	-0.041	0.009	0.265***	-0.003	-0.050
	[0.106]	[0.133]	[0.113]	[0.067]	[0.104]	[0.072]	[0.072]	[0.099]	[0.079]	[0.090]
oldsibs	-0.027	-0.007	-0.039	-0.069	0.013	-0.064	-0.040	-0.034	-0.046	-0.024
	[0.065]	[0.079]	[0.067]	[0.042]	[0.063]	[0.044]	[0.047]	[0.070]	[0.046]	[0.053]
momMaxEdu_Uni_F	0.102	0.131	0.107	0.118***	0.166***	0.107**	0.107**	0.226***	0.101*	0.065
	[0.077]	[0.093]	[0.081]	[0.045]	[0.061]	[0.047]	[0.053]	[0.072]	[0.052]	[0.060]
dadMaxEdu_Uni_F	-0.077	-0.018	-0.074	-0.040	-0.088	-0.036	-0.022	-0.012	-0.060	-0.035
	[0.091]	[0.115]	[0.097]	[0.050]	[0.069]	[0.053]	[0.059]	[0.080]	[0.058]	[0.066]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.011	-0.100	-0.037	-0.067	-0.167	-0.068	-0.078	-0.194**	-0.042	-0.033
	[0.096]	[0.118]	[0.105]	[0.063]	[0.103]	[0.068]	[0.068]	[0.096]	[0.072]	[0.085]
HighInc_F	0.076	-0.013	0.069	0.102*	0.085	0.123**	0.078	0.043	0.079	0.021
	[0.078]	[0.104]	[0.085]	[0.053]	[0.072]	[0.056]	[0.056]	[0.077]	[0.061]	[0.072]
HighInc_Miss	0.160*	0.159	0.174**	0.159***	0.128*	0.179***	0.105*	0.068	0.206***	0.174***
	[0.083]	[0.101]	[0.087]	[0.047]	[0.070]	[0.049]	[0.056]	[0.080]	[0.051]	[0.061]
houseOwn_F	-0.065	0.021	-0.040	0.005	0.025	0.002	0.001	-0.013	-0.044	0.021
	[0.083]	[0.095]	[0.090]	[0.053]	[0.081]	[0.058]	[0.060]	[0.081]	[0.056]	[0.069]
distCenter	0.006	0.018	0.015	0.008	-0.006	0.011	0.020**	0.007	-0.007	0.002
	[0.013]	[0.016]	[0.015]	[0.010]	[0.016]	[0.011]	[0.010]	[0.015]	[0.011]	[0.013]
cgRelig_F	0.021	0.099	0.025	0.063	0.142*	0.064	0.046	0.097	0.033	0.096
	[0.075]	[0.097]	[0.080]	[0.053]	[0.078]	[0.057]	[0.057]	[0.076]	[0.056]	[0.072]
cgRelig_Miss	0.066	0.025	0.040	0.076	0.236*	0.055	0.162	0.191	0.007	0.150
	[0.298]	[0.253]	[0.287]	[0.101]	[0.124]	[0.106]	[0.213]	[0.166]	[0.109]	[0.113]
CAPI	0.015	0.015	-0.008	0.015	0.094	0.022	0.025	0.080	0.008	0.019
	[0.062]	[0.072]	[0.066]	[0.039]	[0.059]	[0.041]	[0.044]	[0.060]	[0.044]	[0.055]
momMaxEdu_Uni_Miss	-0.130			-0.079		-0.138	-0.004		-0.196	
	[0.236]			[0.139]		[0.139]	[0.186]		[0.136]	
Parma							0.114*			
							[0.059]			
Reggio								-0.126		-0.127*
								[0.088]		[0.072]
nidoXreggio								-0.128		0.174
								[0.241]		[0.253]
Padova									0.066	
									[0.056]	
Constant	1.436	-0.084	1.743	0.763	-0.888	0.564	0.458	-2.122	0.834	1.303
	[1.796]	[2.434]	[1.870]	[1.084]	[1.665]	[1.141]	[1.210]	[1.753]	[1.201]	[1.436]
										
Observations	281	263	263	629	592	629	518	486	527	496
R-squared	0.033	-0.218	0.040	0.064	0.180	0.069	0.052	0.179	0.066	0.148
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.54	.54	.54	.54	.54	.54	.54	.54	.54	.54
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
