	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.054	-0.354	-0.162	-0.022	0.018	-0.005	0.002	0.009	-0.037	0.091
	[0.100]	[0.850]	[0.185]	[0.038]	[0.047]	[0.036]	[0.054]	[0.115]	[0.058]	[0.196]
asilo_Municipal								-0.136**		-0.206
								[0.067]		[0.168]
nido	0.096	0.373	0.100	0.042	-0.067	0.025	0.033	0.163**	0.054	-0.053
	[0.103]	[0.791]	[0.114]	[0.034]	[0.059]	[0.032]	[0.040]	[0.067]	[0.045]	[0.145]
unobsA			0.199							
			[0.259]							
unobsA2			0.001							
			[0.129]							
unobsA3			-0.265							
			[0.357]							
Age	-0.071	-0.075	-0.059	-0.020	-0.128**	-0.009	0.024	-0.036	-0.086*	-0.184***
	[0.064]	[0.073]	[0.068]	[0.040]	[0.050]	[0.039]	[0.045]	[0.043]	[0.044]	[0.054]
Male	-0.005	0.004	0.005	0.021	0.030	0.005	-0.007	0.016	0.028	0.020
	[0.041]	[0.044]	[0.044]	[0.028]	[0.036]	[0.027]	[0.030]	[0.035]	[0.032]	[0.039]
poorBHealth	-0.020	-0.026	-0.019	0.056	0.086**	0.088***	0.017	0.070*	0.036	0.091
	[0.081]	[0.089]	[0.087]	[0.041]	[0.034]	[0.032]	[0.046]	[0.040]	[0.055]	[0.056]
oldsibs	0.030	0.022	0.029	0.003	0.097*	-0.006	-0.004	-0.009	0.024	0.072
	[0.044]	[0.050]	[0.046]	[0.030]	[0.055]	[0.030]	[0.032]	[0.033]	[0.032]	[0.047]
momMaxEdu_Uni_F	0.017	0.004	0.013	-0.007	-0.031	0.000	0.015	0.017	0.012	0.013
	[0.043]	[0.054]	[0.045]	[0.031]	[0.042]	[0.029]	[0.032]	[0.034]	[0.034]	[0.043]
dadMaxEdu_Uni_F	-0.072	-0.072	-0.067	-0.000	-0.075	-0.001	-0.087**	-0.050	0.031	-0.072
	[0.054]	[0.063]	[0.058]	[0.034]	[0.053]	[0.032]	[0.037]	[0.038]	[0.038]	[0.055]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.032	0.002	-0.019	-0.016	0.029	-0.045	-0.109**	-0.013	0.017	-0.023
	[0.065]	[0.078]	[0.068]	[0.045]	[0.038]	[0.048]	[0.050]	[0.047]	[0.050]	[0.067]
HighInc_F	0.037	0.079	0.062	0.005	0.050	0.006	0.003	-0.010	0.042	0.093**
	[0.044]	[0.059]	[0.045]	[0.032]	[0.039]	[0.029]	[0.032]	[0.029]	[0.035]	[0.041]
HighInc_Miss	-0.123*	-0.117*	-0.123*	-0.164***	-0.248***	-0.168***	-0.172***	-0.297***	-0.125***	-0.149***
	[0.064]	[0.067]	[0.071]	[0.038]	[0.061]	[0.038]	[0.045]	[0.082]	[0.040]	[0.049]
houseOwn_F	-0.060	-0.058	-0.045	0.090**	0.091*	0.072*	-0.056	-0.012	0.079*	0.116**
	[0.053]	[0.064]	[0.061]	[0.040]	[0.048]	[0.040]	[0.037]	[0.041]	[0.045]	[0.054]
distCenter	-0.012	-0.009	-0.009	-0.012	0.012	-0.010	-0.012*	-0.005	-0.008	0.015
	[0.008]	[0.009]	[0.009]	[0.008]	[0.014]	[0.007]	[0.007]	[0.010]	[0.008]	[0.012]
cgRelig_F	0.112**	0.092	0.104*	0.042	0.046	0.022	0.071*	0.070	0.086*	0.091
	[0.055]	[0.073]	[0.060]	[0.041]	[0.062]	[0.039]	[0.041]	[0.059]	[0.044]	[0.060]
cgRelig_Miss	0.279***	0.300***	0.297***	-0.121	-0.062	-0.141	0.295***	0.277***	-0.098	-0.058
	[0.086]	[0.095]	[0.092]	[0.095]	[0.156]	[0.098]	[0.062]	[0.106]	[0.097]	[0.122]
CAPI	-0.085**	-0.078*	-0.075*	-0.033	0.041	-0.029	-0.044	-0.010	-0.065**	-0.020
	[0.042]	[0.047]	[0.045]	[0.028]	[0.037]	[0.027]	[0.031]	[0.038]	[0.032]	[0.039]
momMaxEdu_Uni_Miss	-0.037			0.054		0.024	-0.049		0.022	
	[0.149]			[0.096]		[0.097]	[0.116]		[0.106]	
Parma							0.014			
							[0.041]			
Reggio								-0.028		-0.113**
								[0.056]		[0.056]
nidoXreggio								0.007		0.212
								[0.124]		[0.183]
Padova									-0.021	
									[0.041]	
Constant	2.224*	2.274	2.002	1.174	3.140***	1.021	0.512	1.552**	2.363***	4.148***
	[1.212]	[1.411]	[1.274]	[0.754]	[0.934]	[0.743]	[0.837]	[0.786]	[0.832]	[1.018]
										
Observations	293	274	274	674	636	674	539	506	569	536
R-squared	0.086	0.051	0.077	0.101	0.220	0.107	0.080	0.151	0.113	0.242
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.86	.86	.86	.86	.86	.86	.86	.86	.86	.86
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
