	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.064	-0.297	-0.352	0.032	0.039	0.034	0.058	0.021	0.046	0.142*
	[0.058]	[0.303]	[0.361]	[0.042]	[0.044]	[0.042]	[0.057]	[0.085]	[0.056]	[0.085]
unobsM			0.457							
			[0.509]							
unobsM2			0.161							
			[0.200]							
unobsM3			-0.035							
			[0.621]							
Age	0.205**	0.177*	0.178**	-0.043	-0.049	-0.051	0.083	0.089	0.008	-0.012
	[0.084]	[0.093]	[0.088]	[0.052]	[0.055]	[0.052]	[0.060]	[0.064]	[0.059]	[0.061]
Male	-0.024	-0.031	-0.038	-0.005	-0.014	-0.005	-0.016	-0.015	-0.023	-0.034
	[0.057]	[0.061]	[0.057]	[0.035]	[0.039]	[0.035]	[0.041]	[0.044]	[0.040]	[0.043]
poorBHealth	0.081	0.044	0.044	-0.061	-0.087	-0.072	-0.067	-0.086	0.028	0.001
	[0.097]	[0.116]	[0.103]	[0.062]	[0.068]	[0.063]	[0.070]	[0.075]	[0.068]	[0.073]
oldsibs	0.018	0.016	0.015	-0.013	-0.008	-0.014	-0.010	0.011	-0.000	0.002
	[0.059]	[0.064]	[0.059]	[0.037]	[0.041]	[0.037]	[0.043]	[0.046]	[0.041]	[0.044]
momMaxEdu_Uni_F	0.144**	0.107	0.112	0.150***	0.129***	0.149***	0.156***	0.132***	0.125***	0.097**
	[0.066]	[0.078]	[0.073]	[0.042]	[0.043]	[0.042]	[0.049]	[0.051]	[0.046]	[0.047]
dadMaxEdu_Uni_F	0.050	0.069	0.073	0.109**	0.167***	0.111**	0.065	0.119**	0.105**	0.152***
	[0.074]	[0.086]	[0.077]	[0.045]	[0.047]	[0.045]	[0.054]	[0.055]	[0.051]	[0.052]
momMaxEdu_Uni_Miss	0.317***	0.308***	0.302***	0.215**	0.213**	0.192*	0.319***	0.271***	0.209**	0.191**
	[0.070]	[0.108]	[0.074]	[0.091]	[0.083]	[0.102]	[0.045]	[0.059]	[0.094]	[0.082]
dadMaxEdu_Uni_Miss	-0.197**	-0.158	-0.153	-0.021	0.014	-0.012	-0.098	-0.046	-0.064	0.019
	[0.091]	[0.101]	[0.094]	[0.058]	[0.066]	[0.058]	[0.064]	[0.072]	[0.066]	[0.070]
HighInc_F	-0.000	0.024	0.027	-0.007	-0.028	-0.014	-0.055	-0.083	0.024	0.007
	[0.069]	[0.079]	[0.071]	[0.049]	[0.052]	[0.050]	[0.052]	[0.055]	[0.056]	[0.057]
HighInc_Miss	0.015	0.034	0.040	0.038	0.025	0.039	0.011	-0.023	0.066	0.077
	[0.075]	[0.082]	[0.077]	[0.043]	[0.046]	[0.044]	[0.052]	[0.057]	[0.049]	[0.050]
houseOwn_F	-0.037	-0.031	-0.023	-0.043	-0.058	-0.049	-0.014	-0.019	-0.087*	-0.099*
	[0.078]	[0.080]	[0.080]	[0.047]	[0.051]	[0.046]	[0.057]	[0.060]	[0.050]	[0.051]
distCenter	0.013	0.012	0.013	0.001	0.001	0.002	0.007	0.004	0.013	0.012
	[0.012]	[0.013]	[0.012]	[0.010]	[0.011]	[0.010]	[0.009]	[0.010]	[0.010]	[0.011]
cgRelig_F	-0.091	-0.186*	-0.209**	-0.068	-0.116**	-0.068	-0.063	-0.111*	-0.119**	-0.187***
	[0.065]	[0.109]	[0.106]	[0.047]	[0.047]	[0.047]	[0.052]	[0.058]	[0.050]	[0.048]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.037	0.001	0.005	0.044	0.064	0.042	-0.019	-0.029	-0.000	0.011
	[0.057]	[0.068]	[0.065]	[0.036]	[0.040]	[0.036]	[0.041]	[0.045]	[0.040]	[0.043]
cgRelig_Miss	0.241**	0.335***		0.139**		0.134**	0.224***		0.140**	
	[0.108]	[0.128]		[0.067]		[0.068]	[0.078]		[0.070]	
Parma							0.067			
							[0.053]			
Reggio								-0.042		-0.025
								[0.064]		[0.057]
materna_Municipal								0.043		-0.080
								[0.062]		[0.063]
Padova									-0.019	
									[0.054]	
Constant	-3.169**	-2.387	-2.405	1.472	1.636	1.618	-0.888	-0.908	0.543	1.003
	[1.589]	[1.813]	[1.745]	[0.983]	[1.027]	[0.992]	[1.132]	[1.202]	[1.110]	[1.144]
										
Observations	293	293	290	684	645	684	539	535	569	531
R-squared	0.091	-0.041	0.096	0.075	0.076	0.075	0.060	0.065	0.084	0.089
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
