	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.242**	1.189	-0.235	-0.066	-0.147**	-0.068	-0.099	-0.485***	-0.079	-0.670***
	[0.099]	[1.188]	[0.219]	[0.050]	[0.066]	[0.051]	[0.067]	[0.161]	[0.073]	[0.219]
asilo_Municipal								0.103		0.295
								[0.146]		[0.207]
nido	0.186*	-1.134	0.266***	0.014	0.064	0.014	0.031	0.030	0.011	-0.324*
	[0.100]	[1.116]	[0.068]	[0.040]	[0.060]	[0.042]	[0.047]	[0.162]	[0.055]	[0.188]
unobsA			-0.012							
			[0.352]							
unobsA2			-0.160							
			[0.170]							
unobsA3			-0.311							
			[0.484]							
Age	0.034	0.113	0.031	-0.053	-0.062	-0.036	0.000	0.012	-0.041	-0.067
	[0.083]	[0.108]	[0.086]	[0.051]	[0.072]	[0.054]	[0.056]	[0.072]	[0.058]	[0.070]
Male	-0.050	-0.023	-0.031	0.008	-0.026	0.006	-0.026	-0.065	-0.009	0.013
	[0.056]	[0.070]	[0.058]	[0.034]	[0.050]	[0.035]	[0.039]	[0.059]	[0.039]	[0.048]
poorBHealth	-0.137	-0.145	-0.172	-0.066	0.043	-0.108	-0.125*	0.025	-0.066	-0.031
	[0.101]	[0.128]	[0.106]	[0.059]	[0.080]	[0.068]	[0.068]	[0.088]	[0.069]	[0.071]
oldsibs	0.085	0.131*	0.087	0.025	0.009	0.041	0.050	-0.009	0.041	0.035
	[0.057]	[0.078]	[0.059]	[0.035]	[0.052]	[0.036]	[0.040]	[0.064]	[0.038]	[0.044]
momMaxEdu_Uni_F	0.022	0.063	0.011	0.122***	0.067	0.142***	0.089*	0.040	0.082*	0.075
	[0.069]	[0.101]	[0.071]	[0.041]	[0.072]	[0.042]	[0.048]	[0.086]	[0.046]	[0.053]
dadMaxEdu_Uni_F	0.105	0.143	0.105	0.089**	0.136**	0.066	0.062	0.132*	0.111**	0.124**
	[0.075]	[0.102]	[0.081]	[0.043]	[0.062]	[0.045]	[0.052]	[0.076]	[0.049]	[0.056]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.041	-0.163	-0.092	-0.033	0.167**	-0.079	-0.088	0.094	0.022	0.107
	[0.088]	[0.130]	[0.100]	[0.057]	[0.068]	[0.061]	[0.062]	[0.065]	[0.062]	[0.072]
HighInc_F	-0.082	-0.176	-0.095	-0.044	0.040	-0.047	-0.122**	-0.067	-0.035	0.018
	[0.071]	[0.113]	[0.078]	[0.047]	[0.075]	[0.049]	[0.050]	[0.080]	[0.054]	[0.063]
HighInc_Miss	-0.080	-0.096	-0.082	0.043	0.032	0.029	-0.066	-0.095	0.042	0.086
	[0.072]	[0.094]	[0.078]	[0.043]	[0.073]	[0.045]	[0.049]	[0.082]	[0.049]	[0.068]
houseOwn_F	-0.033	0.042	-0.026	-0.017	0.026	-0.024	0.056	0.085	-0.089*	-0.075
	[0.074]	[0.092]	[0.080]	[0.045]	[0.060]	[0.046]	[0.054]	[0.080]	[0.046]	[0.053]
distCenter	0.007	0.015	0.013	0.003	0.022*	0.009	0.007	0.014	0.000	0.006
	[0.012]	[0.013]	[0.012]	[0.009]	[0.012]	[0.010]	[0.009]	[0.011]	[0.010]	[0.012]
cgRelig_F	-0.143**	-0.064	-0.130*	-0.080*	0.036	-0.092**	-0.092*	-0.031	-0.121***	-0.101
	[0.060]	[0.093]	[0.068]	[0.046]	[0.073]	[0.046]	[0.048]	[0.076]	[0.046]	[0.067]
cgRelig_Miss	0.215**	0.175	0.191*	0.067	0.190*	0.053	0.178**	0.313***	0.078	0.121
	[0.106]	[0.136]	[0.107]	[0.063]	[0.101]	[0.065]	[0.075]	[0.105]	[0.064]	[0.092]
CAPI	-0.005	0.010	-0.015	0.053	0.068	0.047	-0.008	0.031	0.036	0.045
	[0.057]	[0.071]	[0.060]	[0.034]	[0.052]	[0.035]	[0.039]	[0.057]	[0.039]	[0.048]
momMaxEdu_Uni_Miss	0.235***			0.092		0.093	0.280***		0.067	
	[0.074]			[0.113]		[0.118]	[0.047]		[0.110]	
Parma							0.039			
							[0.050]			
Reggio								0.005		0.038
								[0.092]		[0.066]
nidoXreggio								0.263		0.612***
								[0.171]		[0.200]
Padova									-0.051	
									[0.050]	
Constant	0.219	-1.433	0.220	1.705*	1.636	1.410	0.762	0.385	1.603	1.930
	[1.569]	[2.090]	[1.611]	[0.975]	[1.357]	[1.032]	[1.047]	[1.352]	[1.106]	[1.318]
										
Observations	293	274	274	674	636	674	539	506	569	536
R-squared	0.078	-0.296	0.088	0.067	0.131	0.078	0.068	0.105	0.069	0.171
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.71	.71	.71	.71	.71	.71	.71	.71	.71	.71
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
