	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.334***	1.228	-0.741***	-0.002	0.007	-0.040	-0.068	-0.253	0.046	-0.532**
	[0.116]	[1.291]	[0.269]	[0.055]	[0.072]	[0.057]	[0.076]	[0.162]	[0.084]	[0.238]
asilo_Municipal								-0.009		0.216
								[0.127]		[0.214]
nido	0.318***	-1.127	0.327**	-0.060	0.022	-0.016	0.050	0.135	-0.075	-0.288
	[0.119]	[1.205]	[0.130]	[0.046]	[0.065]	[0.049]	[0.055]	[0.135]	[0.065]	[0.200]
unobsA			0.755*							
			[0.401]							
unobsA2			-0.006							
			[0.176]							
unobsA3			-0.955*							
			[0.536]							
Age	-0.155*	-0.063	-0.144	0.022	0.039	0.015	-0.029	0.040	-0.055	-0.038
	[0.088]	[0.119]	[0.089]	[0.056]	[0.075]	[0.059]	[0.062]	[0.088]	[0.061]	[0.067]
Male	-0.014	0.007	0.000	-0.043	0.010	-0.052	-0.023	0.042	-0.028	-0.043
	[0.059]	[0.074]	[0.061]	[0.038]	[0.054]	[0.040]	[0.042]	[0.060]	[0.042]	[0.048]
poorBHealth	0.093	0.127	0.127	-0.004	-0.085	-0.082	-0.025	-0.035	0.035	-0.048
	[0.095]	[0.114]	[0.096]	[0.065]	[0.074]	[0.075]	[0.073]	[0.082]	[0.073]	[0.081]
oldsibs	-0.106*	-0.063	-0.113*	0.001	-0.018	0.001	-0.073	-0.073	-0.011	-0.059
	[0.063]	[0.086]	[0.064]	[0.039]	[0.057]	[0.041]	[0.044]	[0.065]	[0.043]	[0.046]
momMaxEdu_Uni_F	0.017	0.063	0.009	0.125***	0.119	0.100**	0.115**	0.157*	0.025	-0.013
	[0.072]	[0.105]	[0.075]	[0.046]	[0.076]	[0.050]	[0.052]	[0.082]	[0.054]	[0.063]
dadMaxEdu_Uni_F	0.031	0.050	0.014	-0.113**	-0.103	-0.099*	-0.008	-0.009	-0.062	-0.048
	[0.083]	[0.113]	[0.089]	[0.051]	[0.072]	[0.054]	[0.057]	[0.084]	[0.060]	[0.069]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.021	-0.061	0.054	-0.145**	-0.364***	-0.142**	-0.126**	-0.320***	0.014	0.004
	[0.085]	[0.133]	[0.092]	[0.060]	[0.097]	[0.064]	[0.064]	[0.106]	[0.066]	[0.076]
HighInc_F	0.109	-0.009	0.128	0.076	0.106	0.066	0.062	0.120	0.047	-0.031
	[0.075]	[0.127]	[0.082]	[0.052]	[0.077]	[0.056]	[0.054]	[0.079]	[0.060]	[0.068]
HighInc_Miss	0.017	0.021	0.008	0.085*	0.158**	0.090*	-0.007	0.084	0.084	0.046
	[0.077]	[0.098]	[0.085]	[0.048]	[0.074]	[0.050]	[0.055]	[0.081]	[0.052]	[0.062]
houseOwn_F	0.150*	0.157	0.112	0.080	0.040	0.064	0.131**	0.063	0.126**	0.159***
	[0.083]	[0.101]	[0.092]	[0.051]	[0.069]	[0.054]	[0.059]	[0.082]	[0.055]	[0.059]
distCenter	0.003	0.005	-0.006	0.005	0.011	0.008	0.012	0.005	-0.005	0.001
	[0.013]	[0.015]	[0.015]	[0.010]	[0.015]	[0.011]	[0.010]	[0.014]	[0.011]	[0.012]
cgRelig_F	-0.167**	-0.052	-0.166**	-0.001	0.090	0.013	-0.113**	-0.064	-0.020	0.053
	[0.070]	[0.101]	[0.078]	[0.055]	[0.080]	[0.059]	[0.056]	[0.086]	[0.056]	[0.074]
cgRelig_Miss	0.293***	0.277**	0.344***	0.194**	0.347***	0.207**	0.044	-0.263	0.212**	0.339***
	[0.100]	[0.131]	[0.108]	[0.085]	[0.111]	[0.088]	[0.242]	[0.300]	[0.084]	[0.099]
CAPI	-0.035	-0.003	-0.027	-0.018	-0.014	-0.036	-0.084**	-0.037	0.016	-0.004
	[0.059]	[0.074]	[0.063]	[0.038]	[0.056]	[0.040]	[0.042]	[0.062]	[0.042]	[0.049]
momMaxEdu_Uni_Miss	-0.363**			0.075		0.042	-0.248*		0.032	
	[0.158]			[0.124]		[0.127]	[0.147]		[0.135]	
Parma							0.023			
							[0.056]			
Reggio								0.138		-0.052
								[0.096]		[0.065]
nidoXreggio								0.104		0.594***
								[0.167]		[0.224]
Padova									0.033	
									[0.055]	
Constant	3.471**	1.626	3.512**	0.139	-0.342	0.278	1.118	-0.318	1.523	1.212
	[1.656]	[2.295]	[1.673]	[1.048]	[1.405]	[1.119]	[1.168]	[1.653]	[1.159]	[1.271]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.096	-0.279	0.085	0.053	0.241	0.053	0.075	0.199	0.042	0.156
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.58	.58	.58	.58	.58	.58	.58	.58	.58	.58
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
